id	description	new	current_study	erroneous
D672B9D3B6	 K11-4B P.bursaria MT078144.1	Paramecium bursaria K11-4B MT078144.1	False	False
0DA736A8B4	 HSG1-11 P.chlorelligerum KX669632.1	Paramecium chlorelligerum HSG1-11 KX669632.1	False	False
C86BA12696	 P.multimicronucleatum Wg8 JF741271.1 USA, VA	Paramecium multimicronucleatum Wg8 JF741271.1	False	False
2CA228C318	 P.multimicronucleatum OLI-Parame-mult-01 FJ905143.1 USA?	Paramecium multimicronucleatum OLI-Parame-mult-01 FJ905143.1	False	True
8A4F393EE2	 P.multimicronucleatum MB2-5 JF741245.1 Moldova	Paramecium multimicronucleatum MB2-5 JF741245.1	False	False
E552EBAFBC	 P.multimicronucleatum OLI-Parame-mult-03 FJ905145.1 Japan	Paramecium multimicronucleatum OLI-Parame-mult-03 FJ905145.1	False	False
722F01C5C5	 P.multimicronucleatum OLI-Parame-mult-02 FJ905144.1 USA?	Paramecium multimicronucleatum OLI-Parame-mult-02 FJ905144.1	False	True
EBFA7DD46A	 P.multimicronucleatum haplotype C12 MH544200.1 China	Paramecium multimicronucleatum C12 MH544200.1	False	False
A7AB85E8F4	 P.multimicronucleatum haplotype C3(1) MH544190.1 China	Paramecium multimicronucleatum C3(1) MH544190.1	False	False
398BC9F0A6	 P.multimicronucleatum haplotype C7 MH544195.1 China	Paramecium multimicronucleatum haplotype C7 MH544195.1	False	False
93521CD8CF	 P.multimicronucleatum haplotype C3(2) MH544191.1 China	Paramecium multimicronucleatum C3(2) MH544191.1	False	False
DCE4CA6E9F	 P.multimicronucleatum L72-1 MT078145.1 Mexico	Paramecium multimicronucleatum L72-1 MT078145.1	False	False
F724837C78	 P.multimicronucleatum K4-2 MT078146.1 Mexico	Paramecium multimicronucleatum K4-2 MT078146.1	False	False
A3C44B6286	 P.multimicronucleatum Chp5-3 MT078147.1 Mexico	Paramecium multimicronucleatum Chp5-3 MT078147.1	False	False
4DDEC6F136	 P.multimicronucleatum T42-1 MT078148.1 Mexico	Paramecium multimicronucleatum T42-1 MT078148.1	False	True
61A7F37EDB	 P.multimicronucleatum SMM81-1 MT078149.1 Mexico	Paramecium multimicronucleatum SMM81-1 MT078149.1	False	True
D42CF8B604	 P.caudatum V-1 MT078150.1 Mexico	Paramecium caudatum V-1 MT078150.1	False	False
A95308D321	P.caudatum OLI-Parame-caud-01 FJ905142.1 USA?	Paramecium caudatum OLI-Parame-caud-01 FJ905142.1	False	False
627066E65E	P.caudatum OLI-Parame-caud-02 FJ905148.1 Russia, SPb	Paramecium caudatum OLI-Parame-caud-02 FJ905148.1	False	False
ACED648291	P.caudatum SH42 MG013510.1 Germany	Paramecium caudatum SH42 MG013510.1	False	False
CC238B0E02	P.caudatum HUN-BA, FN256277.1 haplotype PcCOI_a12 Hungary	Paramecium caudatum HUN-BA PcCOI_a12 FN256277.1	False	False
F237741182	P.caudatum CA JF304187.1 Cyprus	Paramecium caudatum CA JF304187.1	False	False
AC762631DE	P.caudatum PcC30 JX082093.1 China	Paramecium caudatum PcC30 JX082093.1	False	False
7E92BF7010	P.caudatum BRA-RIO FN256282.1 haplotype PcCOI_b03 Brazil	Paramecium caudatum BRA-RIO PcCOI_b03 FN256282.1	False	False
5ADB88ED59	P.caudatum INK-1 HQ149722.1 Indonesia	Paramecium caudatum INK-1 HQ149722.1	False	False
C1733C4F28	 P.caudatum K5-2 MT078151.1 Mexico	Paramecium caudatum K5-2 MT078151.1	False	False
031A9CFEC2	LB2 Mexico	Paramecium multimicronucleatum LB2	True	False
DC0B2129D2	 “Paramecium germanicum” GO1 KM091240.1 Germany	Paramecium germanicum GO1 KM091240.1	False	False
D07EFB68E7	strain 14 PP-2 Russia, Pskov region	Paramecium fokini PP-2	True	False
F318F59B0F	SD11-9 Russia, Saint Petersburg	Paramecium lynni SD11-9	True	False
9431152FC5	HSG3-10 Russia, Saint Petersburg	Paramecium lynni HSG3-10	True	False
30C2FD8A01	CB8-2 MN264581.1 (Rautian) China	Paramecium sp. CB8-2 MN264581.1	False	True
A8218B3E57	G1-2 MN264582.1 (Rautian)	Paramecium sp. G1-2 MN264582.1	False	True
53503D6095	V105-1 MN264579.1 (Rautian) Russia, Vologda region	Paramecium sp. V105-1 MN264579.1	False	True
16843D49A4	P.multimicronucleatum AMA5-7 MN264578.1 (Rautian)	Paramecium multimicronucleatum AMA5-7 MN264578.1	False	False
8EE7FD8714	P.multimicronucleatum AM MN264577.1 (Rautian)	Paramecium multimicronucleatum AM MN264577.1	False	True
220EAAD2B0	P.multimicronucleatum GB4-26 MN264576.1 (Rautian) UK?	Paramecium multimicronucleatum GB4-26 MN264576.1	False	True
BFC0749C2E	 P. multimicronucleatum Kr113-3 JF741258.1 Russia, Krasnoyarsk	Paramecium multimicronucleatum Kr113-3 JF741258.1	False	True
A7EC234259	P.multimicronucleatum mult M04(ParameciumDB)Australia	Paramecium multimicronucleatum M04	True	False
444FFB7439	P.multimicronucleatum Peniche31(ParameciumDB)Portugal	P.multimicronucleatum Peniche31(ParameciumDB)Portugal	False	False
F08D71F52A	P.multimicronucleatum TRB101-1 JF741262.1 Russia, Baikal	Paramecium multimicronucleatum TRB101-1 JF741262.1	False	True
9156E7F5A4	P.multimicronucleatum TRB101-4 JF741263.1 Russia, Baikal	Paramecium multimicronucleatum TRB101-4 JF741263.1	False	True
AEA7F78B55	SK6-3 Mexico	Paramecium multimicronucleatum SK6-3	True	False
9A1E663DD4	R51-6 Mexico	Paramecium multimicronucleatum R51-6 	True	False
5BF10D766D	ChP10-2 Mexico	Paramecium multimicronucleatum ChP10-2	True	False
D256C67FFF	ChP3-4 Mexico	Paramecium multimicronucleatum ChP3-4	True	False
09818CD798	E59-1B Mexico	Paramecium multimicronucleatum E59-1B	True	False
773DCCCCDC	SMM80-11 Mexico	Paramecium multimicronucleatum SMM80-11	True	False
38BDB80DAD	CyL3-21 Cyprus	Paramecium fokini CyL3-21 	True	False
7494335801	CyP5-3 Cyprus	Paramecium multimicronucleatum CyP5-3	True	False
1977BF7EEA	PO16-1 (COIlongF needed) Russia, Pskov region	Paramecium lynni PO16-1	True	False
F7E8090468	SP-1 Russia, St Petersburg	Paramecium lynni SP-1	True	False
0F4C6E2516	Or4-4 Russia, Orenburg	Paramecium caudatum Or4-4	True	False
15C07A9133	N6 (OP13) Russia, SPb	Paramecium fokini OP13	True	False
9E859C52A3	N16 (Ns2-16) Russia, Novosibirsk	Paramecium multimicronucleatum Ns2-16	True	False
CCF009256A	N12 (AB9-8) USA, MA	Paramecium fokini AB9-8	True	False
192CEFD2FF	ThK-16 Thailand	Paramecium multimicronucleatum ThK-16	True	False
72207BD9C2	 P.multimicronucleatum BSP-7 AM072772.1 Brazil	Paramecium multimicronucleatum BSP-7 AM072772.1	False	False
FE264F291B	 P.multimicronucleatum SPb63-2 JF741248.1 Russia, SPb	Paramecium multimicronucleatum SPb63-2 JF741248.1	False	False
90DA061236	 P.multimicronucleatum ISN-11 AM072769.1 Italy	Paramecium multimicronucleatum ISN-11 AM072769.1	False	False
6B4644843A	 P.multimicronucleatum AH1-5 AM072768.1 Hawaii	Paramecium multimicronucleatum AH1-5 AM072768.1	False	False
851092BA2B	 P.multimicronucleatum BR JF304189.1 USA, LA	Paramecium multimicronucleatum BR JF304189.1	False	True
478A44DB63	 P.multimicronucleatum US_Bl 16I1 MK806287.1 USA, IN	Paramecium multimicronucleatum US_Bl 16I1 MK806287.1	False	True
D1C78F52DE	 P.multimicronucleatum haplotype C1(1) MH544185.1 China	Paramecium multimicronucleatum C1(1) MH544185.1	False	False
DAFDE97886	 P.multimicronucleatum haplotype C6 MH544194.1 China	Paramecium multimicronucleatum C6 MH544194.1	False	False
D37234374D	 P.caudatum INP-3 HQ149724.1 Indonesia	Paramecium caudatum INP-3 HQ149724.1	False	False
980BD6810F	 P.caudatum INL-1 HQ149723.1 Indonesia	Paramecium caudatum INL-1 HQ149723.1	False	False
9314DEFD04	mito_caud_C083 USA, IN	Paramecium caudatum C083	False	False
B0D943A032	mito_caud_43c3d USA, IN	Paramecium caudatum 43c3d	False	False
9DCCE12C27	mito_caud_GB-E, UK	Paramecium caudatum GB-E	False	False
7BB04C49FA	mito_caud_C026 USA, LA	Paramecium caudatum C026	False	False
64D09C8265	mito_caud_C104 Spain	Paramecium caudatum C104	False	False
703F925411	 P.caudatum POE-1 HQ149725.1 Portugal	Paramecium caudatum POE-1 HQ149725.1	False	False
498F65BF91	 P.caudatum G-E12 FN256263.1 Germany	Paramecium caudatum G-E12 FN256263.1	False	False
919557D0E8	 P.caudatum SLO-R FN256281.1 Slovenia	Paramecium caudatum SLO-R FN256281.1	False	False
14F0399D6D	 P.caudatum M3 KY399443.1	Paramecium caudatum M3 KY399443.1	False	False
5CE4755708	 P.caudatum RanNy1602-AP18 MG589328.1 Germany	Paramecium caudatum RanNy1602-AP18 MG589328.1	False	False
C4B3BD8448	 P.caudatum G-PL-2 FN256264.1 Germany	Paramecium caudatum G-PL-2 FN256264.1	False	False
D313469451	OmN-1 USA, NE	Paramecium multimicronucleatum OmN-1	True	False
1C5E5DABDA	ID1-13 India	Paramecium multimicronucleatum ID1-13	True	False
2E118B095E	MSA-5 Malta	Paramecium multimicronucleatum MSA-5	True	False
FAB022D02D	IP2-1 Italy	Paramecium multimicronucleatum IP2-1	True	False
6DC73DA0EA	PL4-1 Portugal	Paramecium fokini PL4-1	True	False
2D644362F4	227 MT318934 P.septaurelia	Paramecium septaurelia 227 MT318934.1	False	False
25AEE1942C	V1-4 PBIAU.V1-4.MITO.1.G040 P.biaurelia	V1-4 PBIAU.V1-4.MITO.1.G040 P.biaurelia	False	False
32A7465FB2	 51 M15281.1 P.tetraurelia	Paramecium tetraurelia 51 M15281.1	False	False
4893C0A749	N1A PQUAD.NiA.MITO.1.G040 P.quadecaurelia	N1A PQUAD.NiA.MITO.1.G040 P.quadecaurelia	False	False
7713A4FCDD	 AZ8-4 PSEXA.AZ8-4.MITO.1.G040 P.sexaurelia	 AZ8-4 PSEXA.AZ8-4.MITO.1.G040 P.sexaurelia	False	False
D5AEFEC51E	 274 PDODE.274.MITO.1.G040 P.dodecaurelia	 274 PDODE.274.MITO.1.G040 P.dodecaurelia	False	False
724EE3C5D9	 223 PDECA.223.MITO.1.G040 P.decaurelia	 223 PDECA.223.MITO.1.G040 P.decaurelia	False	False
D64611FBD5	AZ9-3 PPRIM.AZ9-3.MITO.1.G040 P.primaurelia	AZ9-3 PPRIM.AZ9-3.MITO.1.G040 P.primaurelia	False	False
B73A02B804	TE PNOVA.TE.MITO.1.G040 P.novaurelia	TE PNOVA.TE.MITO.1.G040 P.novaurelia	False	False
0DA0BF2C37	M PJENN.M.MITO.1.G040 P.jenningsi	M PJENN.M.MITO.1.G040 P.jenningsi	False	False
9CC87D5816	FT8 Paramecium sp.	Paramecium sp. FT8	True	False
E9B50906F0	IP P. bursaria JF304186	Paramecium bursaria IP JF304186.1	False	False
94EE43C368	Pb1C30 P. bursaria JX082041	Paramecium bursaria Pb1C30 JX082041.1	False	False
017078C790	 OLI-Parame-burs-01 P. bursaria FJ905152.1	Paramecium bursaria OLI-Parame-burs-01 FJ905152.1	False	False
6EA216BAD7	 P. chlorelligerum KX669634	Paramecium chlorelligerum KX669634.1	False	False
EB7EE0E3E7	ShKm41 Kemerovo region, Russia	Paramecium lynni ShKm41 	True	False
FJ905155.1	FJ905155.1	Paramecium polycaryum OLI-Parame-poly-01 FJ905155.1 	False	False
JX082120.1	JX082120.1	Paramecium nephridiatum PnC72 JX082120.1	False	False
JX082111.1	JX082111.1	Paramecium nephridiatum PnC43 JX082111.1	False	False
JX082125.1	JX082125.1	Paramecium nephridiatum PnC77 JX082125.1	False	False
JX082123.1	JX082123.1	Paramecium nephridiatum PnC75 JX082123.1	False	False
JX082077.1	JX082077.1	Paramecium caudatum PcC24 JX082077.1	False	False
FJ905147.1	FJ905147.1	Paramecium calkinsi GN5-1 FJ905147.1	False	False
JX082147.1	JX082147.1	Paramecium duboscqui PdC95 JX082147.1	False	False
FJ905153.1	FJ905153.1	Paramecium putrinum OLI-Parame-putr-01 FJ905153.1	False	False
MG589327.1	MG589327.1	Paramecium putrinum Etu 7-4 MG589327.1	False	False
KM091238.1	KM091238.1	Paramecium buetschlii KM091238.1	False	False
