## 1.1.1
## spades=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/contigs.fasta
## covsum=Sum of cov in blobDB.json
## cov0=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/map2cov.aln-pe_sorted.bam.cov
## cov1=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/map2cov.aln-unpaired_sorted.bam.cov
## bam0=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/mapping/aln-pe_sorted.bam
## bam1=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/mapping/aln-unpaired_sorted.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p	bam1_mean	bam1_std	bam1_read_map	bam1_read_map_p	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p	cov1_mean	cov1_std	cov1_read_map	cov1_read_map_p	covsum_mean	covsum_std	covsum_read_map	covsum_read_map_p	spades_mean	spades_std	spades_read_map	spades_read_map_p
all	None	29,414	0.0%	56,268,117	0.0%	7,090	0.0	0.0	69.7	453.2	44,898,819	0.0%	0.1	0.3	38,617	0.0%	69.7	453.2	44,898,819	0.0%	0.1	0.3	38,617	0.0%	166.1	1062.7	89,874,872	0.0%	26.5	184.2	0	0.0%
Ciliophora	#1f77b4	8,755	100.0%	37,729,192	100.0%	8,885	0.0	0.0	92.9	163.3	38,521,627	0.0%	0.1	0.1	33,777	0.0%	92.9	163.3	38,521,627	0.0%	0.1	0.1	33,777	0.0%	218.4	380.1	77,110,808	0.0%	32.4	53.5	0	0.0%
no-hit	#d3d3d3	20,071	0.0%	12,137,009	0.0%	798	0.0	0.0	61.3	537.5	5,530,535	0.0%	0.1	0.3	3,814	0.0%	61.3	537.5	5,530,535	0.0%	0.1	0.3	3,814	0.0%	147.4	1260.9	11,068,698	0.0%	24.6	220.1	0	0.0%
Proteobacteria	#ff7f0e	510	100.0%	5,960,417	100.0%	26,633	0.0	0.0	7.6	8.9	739,088	0.0%	0.1	0.0	886	0.0%	7.6	8.9	739,088	0.0%	0.1	0.0	886	0.0%	18.1	20.8	1,479,948	0.0%	2.6	3.0	0	0.0%
undef	#d62728	32	100.0%	148,860	100.0%	16,604	0.0	0.0	14.3	33.3	48,950	0.0%	0.1	0.0	42	0.0%	14.3	33.3	48,950	0.0%	0.1	0.0	42	0.0%	33.8	77.8	97,984	0.0%	4.9	11.2	0	0.0%
Streptophyta	#9467bd	7	100.0%	72,856	100.0%	45,427	0.0	0.0	43.6	44.5	7,485	0.0%	0.1	0.0	12	0.0%	43.6	44.5	7,485	0.0%	0.1	0.0	12	0.0%	104.8	106.4	14,994	0.0%	17.4	17.7	0	0.0%
Arthropoda	#e377c2	3	100.0%	58,663	100.0%	54,680	0.0	0.0	47.6	54.0	7,465	0.0%	0.1	0.0	6	0.0%	47.6	54.0	7,465	0.0%	0.1	0.0	6	0.0%	111.8	126.0	14,942	0.0%	16.3	17.8	0	0.0%
Microsporidia	#7f7f7f	10	100.0%	53,877	100.0%	9,245	0.0	0.0	56.0	34.9	22,435	0.0%	0.1	0.1	37	0.0%	56.0	34.9	22,435	0.0%	0.1	0.1	37	0.0%	130.6	81.3	44,944	0.0%	18.4	11.6	0	0.0%
Bacteria-undef	#bcbd22	2	100.0%	49,961	100.0%	49,634	0.0	0.0	5.3	3.2	3,686	0.0%	0.1	0.0	3	0.0%	5.3	3.2	3,686	0.0%	0.1	0.0	3	0.0%	12.7	7.4	7,378	0.0%	1.9	1.0	0	0.0%
other	#ffffff	24	100.0%	57,282	100.0%	6,192	0.0	0.0	30.4	36.3	17,548	0.0%	0.2	0.3	40	0.0%	30.4	36.3	17,548	0.0%	0.2	0.3	40	0.0%	71.8	85.2	35,176	0.0%	10.7	12.8	0	0.0%
