## 1.1.1
## cov0=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/aln-pe_sorted.bam.cov
## cov1=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/aln-unpaired_sorted.bam.cov
## covsum=Sum of cov in blobDB.json
## spades=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/contigs.fasta
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p	cov1_mean	cov1_std	cov1_read_map	cov1_read_map_p	covsum_mean	covsum_std	covsum_read_map	covsum_read_map_p	spades_mean	spades_std	spades_read_map	spades_read_map_p
all	None	29,414	0.0%	56,268,117	0.0%	7,090	0.0	0.0	69.7	453.2	44,898,819	0.0%	0.1	0.3	38,617	0.0%	96.3	613.3	44,937,436	0.0%	26.5	184.2	0	0.0%
Paramecium tetraurelia	#1f77b4	8,489	100.0%	36,722,962	100.0%	8,871	0.0	0.0	91.5	64.1	36,242,322	0.0%	0.1	0.1	32,067	0.0%	123.6	85.9	36,274,389	0.0%	32.0	21.9	0	0.0%
no-hit	#d3d3d3	20,071	0.0%	12,137,009	0.0%	798	0.0	0.0	61.3	537.5	5,530,535	0.0%	0.1	0.3	3,814	0.0%	86.0	728.0	5,534,349	0.0%	24.6	220.1	0	0.0%
Aquabacter spiritensis	#ff7f0e	77	100.0%	1,098,984	100.0%	29,806	0.0	0.0	6.9	1.2	72,919	0.0%	0.1	0.0	121	0.0%	9.4	1.6	73,040	0.0%	2.4	0.4	0	0.0%
Aquabacter cavernae	#d62728	46	100.0%	721,560	100.0%	31,791	0.0	0.0	7.2	0.9	48,371	0.0%	0.1	0.0	74	0.0%	9.8	1.2	48,445	0.0%	2.4	0.3	0	0.0%
Halteria grandinella	#9467bd	182	100.0%	527,398	100.0%	6,708	0.0	0.0	59.0	58.5	395,226	0.0%	0.1	0.1	390	0.0%	79.9	79.1	395,616	0.0%	20.8	20.7	0	0.0%
Rhizobiales bacterium 32-66-8	#e377c2	42	100.0%	416,602	100.0%	23,937	0.0	0.0	7.8	7.1	27,936	0.0%	0.1	0.0	41	0.0%	10.2	7.1	27,977	0.0%	2.3	0.3	0	0.0%
Holospora undulata	#7f7f7f	2	100.0%	302,867	100.0%	255,990	0.0	0.0	56.8	3.1	154,931	0.0%	0.1	0.0	165	0.0%	75.9	4.1	155,096	0.0%	19.0	0.9	0	0.0%
Alphaproteobacteria bacterium 40-19	#bcbd22	3	100.0%	280,548	100.0%	218,768	0.0	0.0	57.2	1.4	137,116	0.0%	0.1	0.0	120	0.0%	76.4	1.9	137,236	0.0%	19.0	0.5	0	0.0%
other	#ffffff	502	100.0%	4,060,187	100.0%	18,720	0.0	0.0	60.7	631.2	2,289,463	0.0%	0.1	0.3	1,825	0.0%	81.0	836.7	2,291,288	0.0%	20.2	205.2	0	0.0%
Microvirga sp. R24	None	1	100.0%	278	100.0%	278	0.0	0.0	1.2	0.0	3	0.0%	0.1	0.0	0	0.0%	1.9	0.0	3	0.0%	0.6	0.0	0	0.0%
Kaistia soli	None	2	100.0%	5,153	100.0%	4,912	0.0	0.0	4.6	3.2	333	0.0%	0.1	0.0	1	0.0%	6.4	4.1	334	0.0%	1.7	1.0	0	0.0%
Ancylobacter sp. FA202	None	4	100.0%	1,219	100.0%	281	0.0	0.0	1.6	0.2	17	0.0%	0.1	0.0	0	0.0%	2.4	0.4	17	0.0%	0.7	0.2	0	0.0%
Brevundimonas intermedia	None	1	100.0%	232	100.0%	232	0.0	0.0	1.5	0.0	3	0.0%	0.1	0.0	0	0.0%	2.3	0.0	3	0.0%	0.7	0.0	0	0.0%
Branchiostoma floridae	None	1	100.0%	1,600	100.0%	1,600	0.0	0.0	14.6	0.0	202	0.0%	0.6	0.0	8	0.0%	19.5	0.0	210	0.0%	4.3	0.0	0	0.0%
Zavarzinia sp. HR-AS	None	1	100.0%	28,848	100.0%	28,848	0.0	0.0	8.8	0.0	2,202	0.0%	0.1	0.0	2	0.0%	11.9	0.0	2,204	0.0%	3.0	0.0	0	0.0%
