,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_N6
Pmult_OmN-1,,,,,,,,,,,,,,
Pmult_R51-6,0.01337,,,,,,,,,,,,,
Pmult_SK6-3,0.02594,0.02880,,,,,,,,,,,,
Pmult_C3,0.03754,0.03763,0.03879,,,,,,,,,,,
Pmult_CyP5-3,0.04622,0.04055,0.04466,0.02020,,,,,,,,,,
Pmult_ChP3-4,0.04925,0.04646,0.05362,0.04179,0.04622,,,,,,,,,
Pmult_ThK-16,0.04936,0.04365,0.04778,0.02305,0.00265,0.04936,,,,,,,,
Pmult_MB2-5,0.05206,0.04866,0.05199,0.04651,0.05363,0.00315,0.05746,,,,,,,
Pmult_IP2-1,0.04768,0.04489,0.05203,0.04026,0.04466,0.00132,0.04778,0.00315,,,,,,
Pfok_strain12,0.10020,0.09850,0.09434,0.09801,0.09635,0.11759,0.10020,0.12229,0.11557,,,,,
Pfok_CyL3-21,0.08409,0.07425,0.08573,0.07889,0.07916,0.10095,0.08281,0.11014,0.09903,0.08668,,,,
Pfok_US_Bl_16I1,0.10454,0.09764,0.10060,0.09166,0.09349,0.11644,0.09727,0.12047,0.11444,0.04470,0.07423,,,
Pfok_strain14,0.08703,0.07683,0.08696,0.07988,0.08192,0.10453,0.08572,0.11014,0.10253,0.08792,0.00136,0.07676,,
Pfok_N6,0.08779,0.07786,0.08946,0.08253,0.08282,0.10483,0.08652,0.11488,0.10288,0.09038,0.00265,0.07777,0.00411,
