,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_ChP5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_strain4,0.0005907297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_R51-6,0.0000000000,0.0005907297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_K4-2,0.0000000000,0.0005907297,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_CyP5-3,0.0011760349,0.0017735380,0.0011760349,0.0011760349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_BNB-2015,0.0086577101,0.0095406946,0.0086577101,0.0086577101,0.0069185209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_FT5,0.0089107962,0.0095564212,0.0089107962,0.0089107962,0.0077168286,0.0157495859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_FT2,0.0077241415,0.0083634545,0.0077241415,0.0077241415,0.0065308491,0.0157841684,0.0131635296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_SK6-3,0.0005882972,0.0011829242,0.0005882972,0.0005882972,0.0017662293,0.0095406946,0.0095166366,0.0083286295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_ThK-16,0.0029562273,0.0029632350,0.0029562273,0.0029562273,0.0017723897,0.0069185209,0.0095501007,0.0083579311,0.0035518681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
