,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_FT2,Pfok_T42-1
Pmult_ChP5-3,,0.0005907319,0.0005882994,0.0029552671,0.0017717960,0.0089102757,0.0083958500,0.0086567619,0.0143686721,0.0150440864,0.0149809914,0.0147211578,0.0301804858,0.0319299725,0.0319299725,0.0320677311,0.0345177097,0.0314660055,0.0345243742,0.0509610339,0.0523509651,0.0498237691,0.0498237691,0.0508486102,0.0567841750,0.0618143856,0.0618000208,0.0615233062,0.0615233062,0.0590325972,0.0621417529,0.0707522066,0.0773977746,0.0636741200,0.0759912630,0.0696001962,0.0695261838,0.0898794200,0.0914404465,0.0000000000,0.0000000000,0.0011760609,0.0077238060,0.0149809914
Pmult_strain4,,,0.0011829190,0.0029632288,0.0017765656,0.0095557839,0.0090067434,0.0095395383,0.0150490309,0.0156653068,0.0156653068,0.0153539838,0.0308352022,0.0327256040,0.0327256040,0.0327256040,0.0353308069,0.0321234328,0.0353376541,0.0518842433,0.0530575489,0.0507426850,0.0507426850,0.0515591303,0.0555919214,0.0613890500,0.0625243390,0.0625243390,0.0625243390,0.0600204473,0.0631892547,0.0718294489,0.0781616493,0.0646910550,0.0770991148,0.0703487235,0.0702670059,0.0911055297,0.0926787062,0.0005907319,0.0005907319,0.0017735630,0.0083630222,0.0156653068
Pmult_SK6-3,,,,0.0035506843,0.0023653008,0.0095160049,0.0090067434,0.0095395383,0.0149858946,0.0156653068,0.0155995259,0.0153539838,0.0308352022,0.0325848464,0.0325848464,0.0327256040,0.0351782757,0.0321234328,0.0351850662,0.0502680492,0.0530575489,0.0505186880,0.0505186880,0.0515591303,0.0574958215,0.0625388129,0.0625243390,0.0622440351,0.0622440351,0.0589801923,0.0613915349,0.0715004813,0.0781616493,0.0644000516,0.0752383250,0.0703487235,0.0702670059,0.0898794200,0.0914404465,0.0005882994,0.0005882994,0.0017662541,0.0083282011,0.0155995259
Pmult_ThK-16,,,,,0.0011781391,0.0095460988,0.0071908548,0.0069176555,0.0174660253,0.0175081962,0.0180848041,0.0159605624,0.0327521738,0.0326906376,0.0326906376,0.0321234328,0.0352928333,0.0340462716,0.0352996661,0.0518265877,0.0510335379,0.0506862152,0.0506862152,0.0495215101,0.0563115510,0.0606164569,0.0625800898,0.0631219870,0.0631219870,0.0612900759,0.0645102212,0.0724325563,0.0796228861,0.0659617331,0.0783877764,0.0696001962,0.0710097044,0.0909938113,0.0925646855,0.0029552671,0.0029552671,0.0017717960,0.0083545532,0.0180848041
Pmult_OmN-1,,,,,,0.0107476558,0.0083958500,0.0086567619,0.0162488623,0.0162880644,0.0168660605,0.0147211578,0.0314915501,0.0339507967,0.0339507967,0.0333851158,0.0365598105,0.0327824991,0.0365668744,0.0531326421,0.0523509651,0.0519944327,0.0519944327,0.0508486102,0.0576370870,0.0619555188,0.0632504860,0.0637914890,0.0637914890,0.0612900759,0.0645102212,0.0731205195,0.0789274742,0.0659617331,0.0783877764,0.0696001962,0.0710097044,0.0924277880,0.0940031549,0.0017717960,0.0017717960,0.0029552671,0.0095554382,0.0168660605
Pmult_FT5,,,,,,,0.0126722735,0.0157464248,0.0236070853,0.0243376969,0.0242345124,0.0241926701,0.0398614253,0.0390553130,0.0390553130,0.0392253932,0.0403481232,0.0411776967,0.0403558675,0.0570266193,0.0592344414,0.0573122013,0.0573122013,0.0585022911,0.0644255756,0.0695734915,0.0702362957,0.0699187504,0.0699187504,0.0680884083,0.0708377870,0.0779536499,0.0876292041,0.0713648317,0.0839293122,0.0767391807,0.0773469700,0.0967438583,0.0967082210,0.0089102757,0.0089102757,0.0077162953,0.0131619789,0.0242345124
Pmult_BR3,,,,,,,,0.0130861727,0.0226059616,0.0232383428,0.0232383428,0.0229850125,0.0368750540,0.0362378243,0.0362378243,0.0362378243,0.0375370989,0.0381908160,0.0375444052,0.0542913422,0.0560016033,0.0545658465,0.0545658465,0.0552384767,0.0566404493,0.0651993224,0.0672304937,0.0672304937,0.0672304937,0.0666219012,0.0678779127,0.0780134212,0.0828901603,0.0713634241,0.0826432952,0.0747442870,0.0756665788,0.0964371908,0.0964012771,0.0083958500,0.0083958500,0.0071908548,0.0126848121,0.0232383428
Pmult_BNB-2015,,,,,,,,,0.0284412202,0.0284412202,0.0284412202,0.0284412202,0.0418187440,0.0408896956,0.0408896956,0.0418222070,0.0418429416,0.0436904246,0.0428434692,0.0616058455,0.0702285714,0.0660073908,0.0660073908,0.0660073908,0.0660073908,0.0660073908,0.0838512003,0.0838512003,0.0838512003,0.0745843063,0.0729371760,0.0883183001,0.0965742209,0.0814501208,0.0932855743,0.0888858124,0.0851548214,0.1018633008,0.1030743867,0.0086567619,0.0086567619,0.0069176555,0.0157810831,0.0284412202
Pfok_US_Bl_16I1,,,,,,,,,,0.0017729906,0.0017656864,0.0000000000,0.0269905556,0.0281351283,0.0281351283,0.0270063926,0.0306985080,0.0264051438,0.0300627389,0.0489969348,0.0564248939,0.0538377474,0.0538377474,0.0549498602,0.0608741461,0.0659630823,0.0652754791,0.0649820910,0.0649820910,0.0583677763,0.0600629160,0.0708917634,0.0798691901,0.0657739824,0.0736721186,0.0765583313,0.0683311639,0.0942697727,0.0958460413,0.0143686721,0.0143686721,0.0155781077,0.0224012734,0.0017656864
Pfok_strain14,,,,,,,,,,,0.0000000000,0.0018082546,0.0257435780,0.0270063926,0.0270063926,0.0270063926,0.0295745292,0.0264051438,0.0289373357,0.0485629188,0.0564248939,0.0540771633,0.0540771633,0.0549498602,0.0589654140,0.0655277583,0.0639317439,0.0639317439,0.0639317439,0.0599668870,0.0617362839,0.0725957056,0.0784745967,0.0647243081,0.0733245473,0.0751363830,0.0683311639,0.0932259863,0.0948052766,0.0150440864,0.0150440864,0.0162602408,0.0231258154,0.0000000000
Pfok_CyL3-21,,,,,,,,,,,,0.0018082546,0.0257435780,0.0268909079,0.0268909079,0.0270063926,0.0294475894,0.0264051438,0.0288132195,0.0483497104,0.0564248939,0.0538377474,0.0538377474,0.0549498602,0.0608741461,0.0666724140,0.0639317439,0.0636446141,0.0636446141,0.0596979465,0.0614482354,0.0722627494,0.0784745967,0.0644330002,0.0729909000,0.0751363830,0.0683311639,0.0927857770,0.0943566430,0.0149809914,0.0149809914,0.0161919931,0.0230277466,0.0000000000
