,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_N6
Pmult_OmN-1,0.0,0.115,0.158,0.189,0.209,0.215,0.215,0.22,0.212,0.29,0.269,0.295,0.274,0.276
Pmult_R51-6,0.115,0.0,0.166,0.189,0.195,0.209,0.202,0.213,0.205,0.288,0.254,0.286,0.258,0.262
Pmult_SK6-3,0.158,0.166,0.0,0.192,0.205,0.224,0.212,0.22,0.221,0.283,0.272,0.29,0.274,0.279
Pmult_C3,0.189,0.189,0.192,0.0,0.141,0.199,0.15,0.209,0.195,0.288,0.262,0.281,0.263,0.267
Pmult_CyP5-3,0.209,0.195,0.205,0.141,0.0,0.209,0.051,0.224,0.205,0.285,0.262,0.283,0.266,0.267
Pmult_ChP3-4,0.215,0.209,0.224,0.199,0.209,0.0,0.215,0.056,0.036,0.312,0.293,0.312,0.297,0.297
Pmult_ThK-16,0.215,0.202,0.212,0.15,0.051,0.215,0.0,0.231,0.212,0.29,0.267,0.288,0.271,0.271
Pmult_MB2-5,0.22,0.213,0.22,0.209,0.224,0.056,0.231,0.0,0.056,0.315,0.304,0.317,0.304,0.309
Pmult_IP2-1,0.212,0.205,0.221,0.195,0.205,0.036,0.212,0.056,0.0,0.31,0.29,0.31,0.295,0.295
Pfok_strain12,0.29,0.288,0.283,0.288,0.285,0.312,0.29,0.315,0.31,0.0,0.274,0.205,0.274,0.281
Pfok_CyL3-21,0.269,0.254,0.272,0.262,0.262,0.293,0.267,0.304,0.29,0.274,0.0,0.257,0.037,0.063
Pfok_US_Bl_16I1,0.295,0.286,0.29,0.281,0.283,0.312,0.288,0.317,0.31,0.205,0.257,0.0,0.258,0.264
Pfok_strain14,0.274,0.258,0.274,0.263,0.266,0.297,0.271,0.304,0.295,0.274,0.037,0.258,0.0,0.074
Pfok_N6,0.276,0.262,0.279,0.267,0.267,0.297,0.271,0.309,0.295,0.281,0.063,0.264,0.074,0.0
