,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_N6
Pmult_OmN-1,0.0,0.013369999999999998,0.025939999999999998,0.03754,0.04622,0.04925,0.04936,0.05206,0.04768,0.1002,0.08409,0.10454000000000001,0.08703,0.08778999999999999
Pmult_R51-6,0.013369999999999998,0.0,0.0288,0.037630000000000004,0.04055,0.04646,0.04365,0.04866,0.04489,0.0985,0.07425,0.09764,0.07683,0.07786
Pmult_SK6-3,0.025939999999999998,0.0288,0.0,0.03879,0.044660000000000005,0.05362000000000001,0.04778,0.051989999999999995,0.05202999999999999,0.09434,0.08573,0.1006,0.08696,0.08946
Pmult_C3,0.03754,0.037630000000000004,0.03879,0.0,0.0202,0.04179,0.02305,0.04651,0.040260000000000004,0.09801,0.07889,0.09166,0.07987999999999999,0.08252999999999999
Pmult_CyP5-3,0.04622,0.04055,0.044660000000000005,0.0202,0.0,0.04622,0.00265,0.05363,0.044660000000000005,0.09635,0.07916000000000001,0.09349,0.08192,0.08282
Pmult_ChP3-4,0.04925,0.04646,0.05362000000000001,0.04179,0.04622,0.0,0.04936,0.00315,0.00132,0.11759000000000001,0.10095,0.11644000000000002,0.10453,0.10482999999999999
Pmult_ThK-16,0.04936,0.04365,0.04778,0.02305,0.00265,0.04936,0.0,0.057460000000000004,0.04778,0.1002,0.08281000000000001,0.09727000000000001,0.08572,0.08652
Pmult_MB2-5,0.05206,0.04866,0.051989999999999995,0.04651,0.05363,0.00315,0.057460000000000004,0.0,0.00315,0.12229000000000001,0.11014000000000002,0.12047000000000001,0.11014000000000002,0.11488
Pmult_IP2-1,0.04768,0.04489,0.05202999999999999,0.040260000000000004,0.044660000000000005,0.00132,0.04778,0.00315,0.0,0.11557,0.09902999999999999,0.11444000000000001,0.10253,0.10288
Pfok_strain12,0.1002,0.0985,0.09434,0.09801,0.09635,0.11759000000000001,0.1002,0.12229000000000001,0.11557,0.0,0.08668,0.0447,0.08792,0.09038
Pfok_CyL3-21,0.08409,0.07425,0.08573,0.07889,0.07916000000000001,0.10095,0.08281000000000001,0.11014000000000002,0.09902999999999999,0.08668,0.0,0.07422999999999999,0.0013599999999999999,0.00265
Pfok_US_Bl_16I1,0.10454000000000001,0.09764,0.1006,0.09166,0.09349,0.11644000000000002,0.09727000000000001,0.12047000000000001,0.11444000000000001,0.0447,0.07422999999999999,0.0,0.07676000000000001,0.07777
Pfok_strain14,0.08703,0.07683,0.08696,0.07987999999999999,0.08192,0.10453,0.08572,0.11014000000000002,0.10253,0.08792,0.0013599999999999999,0.07676000000000001,0.0,0.00411
Pfok_N6,0.08778999999999999,0.07786,0.08946,0.08252999999999999,0.08282,0.10482999999999999,0.08652,0.11488,0.10288,0.09038,0.00265,0.07777,0.00411,0.0
