,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_N6
Pmult_OmN-1,0.0,1.318,2.503,3.557,4.348,4.611,4.611,4.859,4.48,8.432,7.246,8.421,7.483,7.368
Pmult_R51-6,1.318,0.0,2.767,3.557,3.821,4.348,4.084,4.545,4.216,8.3,6.456,7.895,6.667,6.579
Pmult_SK6-3,2.503,2.767,0.0,3.689,4.216,5.007,4.48,4.859,4.875,7.763,7.378,8.158,7.483,7.5
Pmult_C3,3.557,3.557,3.689,0.0,1.976,3.953,2.24,4.389,3.821,8.3,6.851,7.905,6.939,6.842
Pmult_CyP5-3,4.348,3.821,4.216,1.976,0.0,4.348,0.264,5.016,4.216,7.622,6.851,7.218,7.075,6.842
Pmult_ChP3-4,4.611,4.348,5.007,3.953,4.348,0.0,4.611,0.313,0.132,9.75,8.564,9.75,8.844,8.553
Pmult_ThK-16,4.611,4.084,4.48,2.24,0.264,4.611,0.0,5.329,4.48,7.884,7.115,7.48,7.347,7.105
Pmult_MB2-5,4.859,4.545,4.859,4.389,5.016,0.313,5.329,0.0,0.313,9.921,9.248,10.031,9.248,9.233
Pmult_IP2-1,4.48,4.216,4.875,3.821,4.216,0.132,4.48,0.313,0.0,9.618,8.432,9.618,8.707,8.421
Pfok_strain12,8.432,8.3,7.763,8.3,7.622,9.75,7.884,9.921,9.618,0.0,7.51,4.216,7.493,7.632
Pfok_CyL3-21,7.246,6.456,7.378,6.851,6.851,8.564,7.115,9.248,8.432,7.51,0.0,6.588,0.136,0.132
Pfok_US_Bl_16I1,8.421,7.895,8.158,7.905,7.218,9.75,7.48,10.031,9.618,4.216,6.588,0.0,6.676,6.711
Pfok_strain14,7.483,6.667,7.483,6.939,7.075,8.844,7.347,9.248,8.707,7.493,0.136,6.676,0.0,0.272
Pfok_N6,7.368,6.579,7.5,6.842,6.842,8.553,7.105,9.233,8.421,7.632,0.132,6.711,0.272,0.0
