,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_ChP5-3,0.0,0.0,0.0,0.0,0.0005909801,0.0,0.0,0.0011809705,0.0011809705,0.0011809705,0.0017670469,0.0011761095,0.0017680882999999998,0.0011761095,0.0011838333000000001,0.0047449318,0.0087102176,0.008951997,0.0084297967,0.0077536992,0.0029508954,0.0029508954,0.0029652336,0.0,0.0005885455000000001,0.004759030300000001,0.0035664395,0.0011775614999999999,0.014447944099999999,0.015137605600000001,0.015073743899999999,0.014804278799999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.0149891174,0.014447944099999999
Pmult_PS23,0.0,0.0,0.0,0.0,0.000619153,0.0,0.0,0.0012372196000000001,0.0012372196000000001,0.0012372196000000001,0.0012372196000000001,0.0012372196000000001,0.0018590194,0.0012372196000000001,0.0012403619,0.0049936988,0.0045680686,0.0087809211,0.0062873063,0.0075217059999999995,0.0024795791,0.0024795791,0.0024922376,0.0,0.000619153,0.0024829561999999998,0.0012404375,0.000619153,0.015217106599999999,0.0158775281,0.0158775281,0.0155421536,0.0158775281,0.0158775281,0.0158775281,0.0158775281,0.0158775281,0.0158775281,0.015217106599999999,0.015217106599999999
Pmult_ChP10-2,0.0,0.0,0.0,0.0,0.0005909801,0.0,0.0,0.0011809705,0.0011809705,0.0011809705,0.0017670469,0.0011761095,0.0017680882999999998,0.0011761095,0.0011838333000000001,0.0047449318,0.0087102176,0.008951997,0.0084297967,0.0077536992,0.0029508954,0.0029508954,0.0029652336,0.0,0.0005885455000000001,0.004759030300000001,0.0035664395,0.0011775614999999999,0.014447944099999999,0.015137605600000001,0.015073743899999999,0.014804278799999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.0149891174,0.014447944099999999
Pmult_L72-1,0.0,0.0,0.0,0.0,0.0005909801,0.0,0.0,0.0011809705,0.0011809705,0.0011809705,0.0017670469,0.0011761095,0.0017680882999999998,0.0011761095,0.0011838333000000001,0.0047449318,0.0087102176,0.008951997,0.0084297967,0.0077536992,0.0029508954,0.0029508954,0.0029652336,0.0,0.0005885455000000001,0.004759030300000001,0.0035664395,0.0011775614999999999,0.014447944099999999,0.015137605600000001,0.015073743899999999,0.014804278799999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.0149891174,0.014447944099999999
Pmult_strain4,0.0005909801,0.000619153,0.0005909801,0.0005909801,0.0,0.0005909801,0.0005909801,0.0017743623000000001,0.0017743623000000001,0.0017743623000000001,0.0017743623000000001,0.0017743623000000001,0.0023697008,0.0017743623000000001,0.0017786695,0.0053691238,0.0096041764,0.0096046346,0.0090468746,0.008398959000000001,0.0035616029,0.0035616029,0.0035790082,0.0005909801,0.0011839022,0.002966993,0.0017787732,0.0011839022,0.015138517399999999,0.0157690767,0.0157690767,0.0154470516,0.0157690767,0.0157690767,0.0157690767,0.0157690767,0.0157690767,0.0157690767,0.0157089977,0.015138517399999999
Pmult_R51-6,0.0,0.0,0.0,0.0,0.0005909801,0.0,0.0,0.0011809705,0.0011809705,0.0011809705,0.0017670469,0.0011761095,0.0017680882999999998,0.0011761095,0.0011838333000000001,0.0047449318,0.0087102176,0.008951997,0.0084297967,0.0077536992,0.0029508954,0.0029508954,0.0029652336,0.0,0.0005885455000000001,0.004759030300000001,0.0035664395,0.0011775614999999999,0.014447944099999999,0.015137605600000001,0.015073743899999999,0.014804278799999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.0149891174,0.014447944099999999
Pmult_K4-2,0.0,0.0,0.0,0.0,0.0005909801,0.0,0.0,0.0011809705,0.0011809705,0.0011809705,0.0017670469,0.0011761095,0.0017680882999999998,0.0011761095,0.0011838333000000001,0.0047449318,0.0087102176,0.008951997,0.0084297967,0.0077536992,0.0029508954,0.0029508954,0.0029652336,0.0,0.0005885455000000001,0.004759030300000001,0.0035664395,0.0011775614999999999,0.014447944099999999,0.015137605600000001,0.015073743899999999,0.014804278799999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.015073743899999999,0.0149891174,0.014447944099999999
Pmult_AC2,0.0011809705,0.0012372196000000001,0.0011809705,0.0011809705,0.0017743623000000001,0.0011809705,0.0011809705,0.0,0.0,0.0,0.0,0.0,0.0005909801,0.0023638309,0.0023695626999999998,0.0035706915,0.0069602208999999995,0.0077848186,0.0072198288000000005,0.0065831278000000005,0.0017764615,0.0017764615,0.0017851232999999999,0.0011809705,0.0017743623000000001,0.0011839022,0.0023697008,0.0017743623000000001,0.0157302749,0.0163612065,0.0163612065,0.0160505776,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163225059,0.0157302749
Pmult_PC6,0.0011809705,0.0012372196000000001,0.0011809705,0.0011809705,0.0017743623000000001,0.0011809705,0.0011809705,0.0,0.0,0.0,0.0,0.0,0.0005909801,0.0023638309,0.0023695626999999998,0.0035706915,0.0069602208999999995,0.0077848186,0.0072198288000000005,0.0065831278000000005,0.0017764615,0.0017764615,0.0017851232999999999,0.0011809705,0.0017743623000000001,0.0011839022,0.0023697008,0.0017743623000000001,0.0157302749,0.0163612065,0.0163612065,0.0160505776,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163225059,0.0157302749
Pmult_TP2_India,0.0011809705,0.0012372196000000001,0.0011809705,0.0011809705,0.0017743623000000001,0.0011809705,0.0011809705,0.0,0.0,0.0,0.0,0.0,0.0005909801,0.0023638309,0.0023695626999999998,0.0035706915,0.0069602208999999995,0.0077848186,0.0072198288000000005,0.0065831278000000005,0.0017764615,0.0017764615,0.0017851232999999999,0.0011809705,0.0017743623000000001,0.0011839022,0.0023697008,0.0017743623000000001,0.0157302749,0.0163612065,0.0163612065,0.0160505776,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163612065,0.0163225059,0.0157302749
