,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_ChP5-3,100.0,99.941,100.0,100.0,99.882,99.397,99.295,99.53,99.941,99.823,99.941,98.649,98.585,98.591,98.617,98.591,100.0,99.941,99.941,99.823,99.941,99.295,99.397,98.649,98.585,98.591,98.617,97.114,97.009,97.009,96.996,96.831,97.055,96.77,95.367,95.809,96.019,96.019,95.943,95.892,95.876,94.947,94.968,94.968,94.718,94.59,93.618,93.416,94.678,93.746,93.972,93.934,92.344,92.344
Pmult_strain4,99.941,100.0,99.941,99.941,99.823,99.31,99.233,99.469,99.882,99.823,99.941,98.585,98.526,98.526,98.557,98.526,99.941,100.0,99.882,99.823,99.941,99.233,99.31,98.585,98.526,98.526,98.557,97.055,96.938,96.938,96.938,96.759,96.996,96.698,95.289,95.75,95.944,95.944,95.883,95.882,95.816,94.888,94.888,94.888,94.638,94.505,93.533,93.357,94.598,93.662,93.913,93.875,92.254,92.254
Pmult_R51-6,100.0,99.941,100.0,100.0,99.882,99.397,99.295,99.53,99.941,99.823,99.941,98.649,98.585,98.591,98.617,98.591,100.0,99.941,99.941,99.823,99.941,99.295,99.397,98.649,98.585,98.591,98.617,97.114,97.009,97.009,96.996,96.831,97.055,96.77,95.367,95.809,96.019,96.019,95.943,95.892,95.876,94.947,94.968,94.968,94.718,94.59,93.618,93.416,94.678,93.746,93.972,93.934,92.344,92.344
Pmult_K4-2,100.0,99.941,100.0,100.0,99.882,99.397,99.295,99.53,99.941,99.823,99.941,98.649,98.585,98.591,98.617,98.591,100.0,99.941,99.941,99.823,99.941,99.295,99.397,98.649,98.585,98.591,98.617,97.114,97.009,97.009,96.996,96.831,97.055,96.77,95.367,95.809,96.019,96.019,95.943,95.892,95.876,94.947,94.968,94.968,94.718,94.59,93.618,93.416,94.678,93.746,93.972,93.934,92.344,92.344
Pmult_CyP5-3,99.882,99.823,99.882,99.882,100.0,99.569,99.413,99.648,99.824,99.941,99.823,98.592,98.527,98.533,98.558,98.533,99.882,99.823,99.824,99.941,99.823,99.413,99.569,98.592,98.527,98.533,98.558,96.996,97.126,97.126,97.114,96.948,96.938,96.888,95.364,95.806,96.016,96.016,95.94,95.89,95.873,94.944,94.965,94.965,94.718,94.59,93.677,93.357,94.678,93.746,93.972,93.934,92.344,92.344
Pmult_BNB-2015,99.397,99.31,99.397,99.397,99.569,100.0,98.881,99.053,99.31,99.569,99.397,97.676,97.676,97.676,97.676,97.676,99.397,99.31,99.31,99.569,99.397,98.881,100.0,97.676,97.676,97.676,97.676,96.389,96.561,96.561,96.475,96.475,96.303,96.299,94.506,94.602,95.03,95.03,95.03,95.03,95.03,93.579,93.579,93.579,93.729,93.969,92.624,92.367,93.579,92.985,92.784,93.121,91.409,91.416
Pmult_FT5,99.295,99.233,99.295,99.295,99.413,98.881,100.0,99.062,99.237,99.352,99.234,98.006,97.939,97.947,97.958,97.947,99.295,99.233,99.237,99.352,99.234,100.0,98.881,98.006,97.939,97.947,97.958,96.41,96.542,96.542,96.527,96.368,96.351,96.307,94.792,95.221,95.433,95.433,95.346,95.305,95.278,94.36,94.383,94.383,94.135,93.989,93.212,92.773,94.214,93.283,93.506,93.467,91.818,91.827
Pmult_FT2,99.53,99.469,99.53,99.53,99.648,99.053,99.062,100.0,99.472,99.588,99.47,98.24,98.174,98.182,98.198,98.182,99.53,99.469,99.472,99.588,99.47,99.062,99.053,98.24,98.174,98.182,98.198,96.645,96.776,96.776,96.763,96.602,96.586,96.542,95.026,95.457,95.667,95.667,95.585,95.54,95.517,94.595,94.617,94.617,94.37,94.232,93.329,93.008,94.331,93.4,93.625,93.584,91.998,92.007
Pmult_SK6-3,99.941,99.882,99.941,99.941,99.824,99.31,99.237,99.472,100.0,99.764,99.882,98.591,98.526,98.532,98.557,98.532,99.941,99.882,100.0,99.764,99.882,99.237,99.31,98.591,98.526,98.532,98.557,97.055,96.95,96.95,96.938,96.772,96.996,96.712,95.425,95.752,95.963,95.963,95.886,95.836,95.818,94.888,94.909,94.909,94.718,94.59,93.56,93.416,94.62,93.805,93.913,93.938,92.344,92.344
Pmult_ThK-16,99.823,99.823,99.823,99.823,99.941,99.569,99.352,99.588,99.764,100.0,99.882,98.529,98.525,98.47,98.558,98.47,99.823,99.823,99.764,100.0,99.882,99.352,99.569,98.529,98.525,98.47,98.558,96.993,97.059,97.059,97.111,96.881,96.934,96.82,95.291,95.806,95.946,95.946,95.94,95.953,95.873,94.938,94.891,94.891,94.644,94.512,93.6,93.349,94.604,93.669,93.972,93.927,92.263,92.263
