,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_ChP5-3,0.0,0.024,0.024,0.042,0.024,0.084,0.084,0.078,0.116,0.119,0.119,0.118,0.17,0.173,0.173,0.173,0.178,0.172,0.18,0.215,0.205,0.2,0.2,0.201,0.203,0.203,0.225,0.224,0.224,0.23,0.233,0.253,0.257,0.231,0.25,0.246,0.246,0.277,0.277
Pmult_strain4,0.024,0.0,0.034,0.042,0.024,0.088,0.088,0.083,0.119,0.121,0.121,0.12,0.172,0.175,0.175,0.175,0.18,0.173,0.182,0.217,0.206,0.201,0.201,0.203,0.203,0.205,0.226,0.226,0.226,0.232,0.234,0.254,0.258,0.232,0.252,0.247,0.247,0.278,0.278
Pmult_SK6-3,0.024,0.034,0.0,0.049,0.034,0.087,0.088,0.083,0.119,0.121,0.121,0.12,0.172,0.175,0.175,0.175,0.18,0.173,0.181,0.214,0.206,0.201,0.201,0.203,0.204,0.204,0.226,0.226,0.226,0.23,0.233,0.254,0.257,0.232,0.249,0.247,0.246,0.277,0.277
Pmult_ThK-16,0.042,0.042,0.049,0.0,0.034,0.08,0.077,0.066,0.121,0.121,0.124,0.12,0.173,0.171,0.171,0.17,0.177,0.175,0.178,0.217,0.205,0.201,0.201,0.201,0.201,0.203,0.225,0.226,0.226,0.231,0.234,0.253,0.258,0.232,0.252,0.246,0.246,0.278,0.278
Pmult_OmN-1,0.024,0.024,0.034,0.034,0.0,0.087,0.084,0.078,0.119,0.119,0.121,0.118,0.17,0.175,0.175,0.173,0.18,0.172,0.182,0.217,0.205,0.201,0.201,0.201,0.201,0.203,0.225,0.226,0.226,0.231,0.234,0.254,0.257,0.232,0.252,0.246,0.246,0.278,0.278
Pmult_FT5,0.084,0.088,0.087,0.08,0.087,0.0,0.103,0.106,0.141,0.144,0.143,0.143,0.189,0.186,0.186,0.186,0.191,0.191,0.192,0.228,0.219,0.214,0.214,0.216,0.217,0.217,0.237,0.237,0.237,0.242,0.245,0.261,0.269,0.241,0.259,0.255,0.256,0.286,0.286
Pmult_BR3,0.084,0.088,0.088,0.077,0.084,0.103,0.0,0.102,0.14,0.142,0.142,0.141,0.185,0.182,0.182,0.182,0.187,0.187,0.188,0.224,0.215,0.21,0.21,0.212,0.212,0.213,0.234,0.234,0.234,0.241,0.241,0.263,0.264,0.242,0.258,0.253,0.255,0.285,0.285
Pmult_BNB-2015,0.078,0.083,0.083,0.066,0.078,0.106,0.102,0.0,0.152,0.152,0.152,0.152,0.19,0.185,0.185,0.188,0.188,0.192,0.192,0.234,0.232,0.223,0.223,0.223,0.223,0.223,0.253,0.253,0.253,0.25,0.246,0.272,0.276,0.253,0.265,0.269,0.262,0.293,0.293
Pfok_US_Bl_16I1,0.116,0.119,0.119,0.121,0.119,0.141,0.14,0.152,0.0,0.042,0.042,0.0,0.166,0.166,0.166,0.163,0.171,0.163,0.17,0.213,0.216,0.211,0.211,0.213,0.214,0.215,0.235,0.235,0.235,0.231,0.231,0.258,0.258,0.236,0.247,0.253,0.243,0.276,0.276
Pfok_strain14,0.119,0.121,0.121,0.121,0.119,0.144,0.142,0.152,0.042,0.0,0.0,0.042,0.163,0.163,0.163,0.163,0.168,0.163,0.166,0.212,0.216,0.211,0.211,0.213,0.213,0.216,0.233,0.233,0.233,0.234,0.234,0.261,0.255,0.235,0.247,0.252,0.243,0.276,0.276
Pfok_CyL3-21,0.119,0.121,0.121,0.124,0.121,0.143,0.142,0.152,0.042,0.0,0.0,0.042,0.163,0.163,0.163,0.163,0.168,0.163,0.166,0.211,0.216,0.211,0.211,0.213,0.214,0.216,0.233,0.232,0.232,0.234,0.234,0.261,0.255,0.234,0.247,0.252,0.243,0.276,0.276
Pfok_strain12,0.118,0.12,0.12,0.12,0.118,0.143,0.141,0.152,0.0,0.042,0.042,0.0,0.168,0.168,0.168,0.164,0.173,0.164,0.172,0.214,0.218,0.214,0.214,0.214,0.214,0.213,0.238,0.238,0.238,0.234,0.234,0.262,0.26,0.238,0.25,0.255,0.245,0.279,0.279
Psch_BM,0.17,0.172,0.172,0.173,0.17,0.189,0.185,0.19,0.166,0.163,0.163,0.168,0.0,0.073,0.073,0.073,0.084,0.069,0.077,0.191,0.187,0.183,0.183,0.184,0.185,0.189,0.207,0.207,0.207,0.228,0.228,0.254,0.247,0.223,0.249,0.253,0.25,0.278,0.278
Pprim_CyL4-1,0.173,0.175,0.175,0.171,0.175,0.186,0.182,0.185,0.166,0.163,0.163,0.168,0.073,0.0,0.0,0.034,0.048,0.049,0.064,0.189,0.193,0.189,0.189,0.191,0.192,0.196,0.209,0.208,0.208,0.226,0.226,0.252,0.25,0.218,0.244,0.252,0.249,0.278,0.278
Ppent_Nr1-10,0.173,0.175,0.175,0.171,0.175,0.186,0.182,0.185,0.166,0.163,0.163,0.168,0.073,0.0,0.0,0.034,0.048,0.049,0.064,0.189,0.193,0.189,0.189,0.191,0.192,0.196,0.209,0.208,0.208,0.226,0.226,0.252,0.25,0.218,0.244,0.252,0.249,0.278,0.278
Pbi_FGC3,0.173,0.175,0.175,0.17,0.173,0.186,0.182,0.188,0.163,0.163,0.163,0.164,0.073,0.034,0.034,0.0,0.054,0.042,0.064,0.191,0.193,0.189,0.189,0.191,0.191,0.196,0.21,0.21,0.21,0.224,0.224,0.251,0.251,0.218,0.246,0.254,0.251,0.277,0.277
Ptetr_Lab,0.178,0.18,0.18,0.177,0.18,0.191,0.187,0.188,0.171,0.168,0.168,0.173,0.084,0.048,0.048,0.054,0.0,0.06,0.077,0.192,0.198,0.194,0.194,0.196,0.197,0.2,0.212,0.211,0.211,0.228,0.228,0.254,0.252,0.222,0.249,0.257,0.253,0.281,0.281
Pnov_UV1-3,0.172,0.173,0.173,0.175,0.172,0.191,0.187,0.192,0.163,0.163,0.163,0.164,0.069,0.049,0.049,0.042,0.06,0.0,0.077,0.19,0.194,0.191,0.191,0.192,0.193,0.197,0.209,0.209,0.209,0.224,0.223,0.251,0.248,0.219,0.246,0.254,0.251,0.278,0.278
Pjen_FT3,0.18,0.182,0.181,0.178,0.182,0.192,0.188,0.192,0.17,0.166,0.166,0.172,0.077,0.064,0.064,0.064,0.077,0.077,0.0,0.189,0.191,0.188,0.188,0.189,0.191,0.194,0.209,0.208,0.208,0.23,0.23,0.257,0.25,0.22,0.247,0.255,0.249,0.281,0.281
Psp_FT8,0.215,0.217,0.214,0.217,0.217,0.228,0.224,0.234,0.213,0.212,0.211,0.214,0.191,0.189,0.189,0.191,0.192,0.19,0.189,0.0,0.196,0.2,0.2,0.2,0.203,0.203,0.221,0.221,0.221,0.243,0.244,0.27,0.265,0.238,0.258,0.257,0.254,0.288,0.288
Pgerm_GO1,0.205,0.206,0.206,0.205,0.205,0.219,0.215,0.232,0.216,0.216,0.216,0.218,0.187,0.193,0.193,0.193,0.198,0.194,0.191,0.196,0.0,0.064,0.064,0.065,0.069,0.077,0.138,0.138,0.138,0.244,0.25,0.275,0.265,0.237,0.265,0.265,0.265,0.295,0.295
Plyn_PO16-1,0.2,0.201,0.201,0.201,0.201,0.214,0.21,0.223,0.211,0.211,0.211,0.214,0.183,0.189,0.189,0.189,0.194,0.191,0.188,0.2,0.064,0.0,0.0,0.0,0.034,0.049,0.135,0.135,0.135,0.236,0.241,0.269,0.26,0.233,0.262,0.264,0.266,0.294,0.294
Plyn_SP-1,0.2,0.201,0.201,0.201,0.201,0.214,0.21,0.223,0.211,0.211,0.211,0.214,0.183,0.189,0.189,0.189,0.194,0.191,0.188,0.2,0.064,0.0,0.0,0.0,0.034,0.049,0.135,0.135,0.135,0.236,0.241,0.269,0.26,0.233,0.262,0.264,0.266,0.294,0.294
