,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_ChP5-3,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.034,0.034,0.034,0.034,0.034,0.042,0.034,0.034,0.069,0.078,0.084,0.084,0.069,0.048,0.048,0.073,0.0,0.024,0.042,0.024,0.034,0.116,0.119,0.119,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.116
Pmult_PS23,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.035,0.035,0.035,0.035,0.035,0.043,0.035,0.035,0.07,0.052,0.086,0.075,0.07,0.05,0.05,0.075,0.0,0.025,0.035,0.0,0.025,0.119,0.122,0.122,0.12,0.122,0.122,0.122,0.122,0.122,0.122,0.119,0.119
Pmult_ChP10-2,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.034,0.034,0.034,0.034,0.034,0.042,0.034,0.034,0.069,0.078,0.084,0.084,0.069,0.048,0.048,0.073,0.0,0.024,0.042,0.024,0.034,0.116,0.119,0.119,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.116
Pmult_L72-1,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.034,0.034,0.034,0.034,0.034,0.042,0.034,0.034,0.069,0.078,0.084,0.084,0.069,0.048,0.048,0.073,0.0,0.024,0.042,0.024,0.034,0.116,0.119,0.119,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.116
Pmult_strain4,0.024,0.025,0.024,0.024,0.0,0.024,0.024,0.042,0.042,0.042,0.042,0.042,0.049,0.042,0.042,0.073,0.083,0.088,0.088,0.073,0.054,0.054,0.077,0.024,0.034,0.042,0.024,0.034,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_R51-6,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.034,0.034,0.034,0.034,0.034,0.042,0.034,0.034,0.069,0.078,0.084,0.084,0.069,0.048,0.048,0.073,0.0,0.024,0.042,0.024,0.034,0.116,0.119,0.119,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.116
Pmult_K4-2,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.034,0.034,0.034,0.034,0.034,0.042,0.034,0.034,0.069,0.078,0.084,0.084,0.069,0.048,0.048,0.073,0.0,0.024,0.042,0.024,0.034,0.116,0.119,0.119,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.116
Pmult_AC2,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.024,0.049,0.049,0.059,0.066,0.077,0.077,0.059,0.034,0.034,0.064,0.034,0.042,0.0,0.034,0.042,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_PC6,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.024,0.049,0.049,0.059,0.066,0.077,0.077,0.059,0.034,0.034,0.064,0.034,0.042,0.0,0.034,0.042,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_TP2_India,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.024,0.049,0.049,0.059,0.066,0.077,0.077,0.059,0.034,0.034,0.064,0.034,0.042,0.0,0.034,0.042,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
