,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1
Pmult_ChP5-3,0.0,0.0005909149,0.0,0.0,0.0011760355,0.0086939147,0.0089388851,0.0084207482,0.007745276800000001,0.0005884808,0.0029584604999999997,0.00177374,0.0144250396,0.015110397,0.015046758300000001,0.0147802643,0.015046758300000001
Pmult_strain4,0.0005909149,0.0,0.0005909149,0.0005909149,0.0017740866,0.0095848961,0.0095896201,0.009036326400000001,0.0083890226,0.0011836619,0.0029659840999999997,0.0017782471,0.015113043100000001,0.0157392928,0.0157392928,0.0154205596,0.0157392928
Pmult_R51-6,0.0,0.0005909149,0.0,0.0,0.0011760355,0.0086939147,0.0089388851,0.0084207482,0.007745276800000001,0.0005884808,0.0029584604999999997,0.00177374,0.0144250396,0.015110397,0.015046758300000001,0.0147802643,0.015046758300000001
Pmult_K4-2,0.0,0.0005909149,0.0,0.0,0.0011760355,0.0086939147,0.0089388851,0.0084207482,0.007745276800000001,0.0005884808,0.0029584604999999997,0.00177374,0.0144250396,0.015110397,0.015046758300000001,0.0147802643,0.015046758300000001
Pmult_CyP5-3,0.0011760355,0.0017740866,0.0011760355,0.0011760355,0.0,0.006947615600000001,0.0077412881,0.0072123740000000006,0.0065488171,0.0017667732999999998,0.00177374,0.0029584604999999997,0.0156385847,0.0163312256,0.0162623977,0.0160239677,0.0162623977
Pmult_BNB-2015,0.0086939147,0.0095848961,0.0086939147,0.0086939147,0.006947615600000001,0.0,0.0158675318,0.0131662679,0.0159032022,0.0095848961,0.006947615600000001,0.0086939147,0.0287232033,0.0287232033,0.0287232033,0.0287232033,0.0287232033
Pmult_FT5,0.0089388851,0.0095896201,0.0089388851,0.0089388851,0.0077412881,0.0158675318,0.0,0.0127437525,0.013233017,0.0095495627,0.0095876326,0.0107940781,0.0237728895,0.024520698599999998,0.024416014399999998,0.024366526200000002,0.024416014399999998
Pmult_BR3,0.0084207482,0.009036326400000001,0.0084207482,0.0084207482,0.0072123740000000006,0.0131662679,0.0127437525,0.0,0.012750466200000001,0.009036326400000001,0.0072123740000000006,0.0084207482,0.0227609015,0.023408571099999997,0.023408571099999997,0.023145033199999998,0.023408571099999997
Pmult_FT2,0.007745276800000001,0.0083890226,0.007745276800000001,0.007745276800000001,0.0065488171,0.0159032022,0.013233017,0.012750466200000001,0.0,0.0083539872,0.0083872963,0.0095926099,0.0225495051,0.023290295699999998,0.0231908763,0.0231125215,0.0231908763
Pmult_SK6-3,0.0005884808,0.0011836619,0.0005884808,0.0005884808,0.0017667732999999998,0.0095848961,0.0095495627,0.009036326400000001,0.0083539872,0.0,0.0035556470000000003,0.0023686487,0.015049382,0.0157392928,0.0156729045,0.0154205596,0.0156729045
Pmult_ThK-16,0.0029584604999999997,0.0029659840999999997,0.0029584604999999997,0.0029584604999999997,0.00177374,0.006947615600000001,0.0095876326,0.0072123740000000006,0.0083872963,0.0035556470000000003,0.0,0.0011781137,0.0175530477,0.017595628999999998,0.01818337,0.0160239677,0.01818337
Pmult_OmN-1,0.00177374,0.0017782471,0.00177374,0.00177374,0.0029584604999999997,0.0086939147,0.0107940781,0.0084207482,0.0095926099,0.0023686487,0.0011781137,0.0,0.0163305405,0.0163701289,0.016958751100000002,0.0147802643,0.016958751100000002
Pfok_US_Bl_16I1,0.0144250396,0.015113043100000001,0.0144250396,0.0144250396,0.0156385847,0.0287232033,0.0237728895,0.0227609015,0.0225495051,0.015049382,0.0175530477,0.0163305405,0.0,0.0017737855,0.0017664747,0.0,0.0017664747
Pfok_strain14,0.015110397,0.0157392928,0.015110397,0.015110397,0.0163312256,0.0287232033,0.024520698599999998,0.023408571099999997,0.023290295699999998,0.0157392928,0.017595628999999998,0.0163701289,0.0017737855,0.0,0.0,0.0018090816000000001,0.0
Pfok_CyL3-21,0.015046758300000001,0.0157392928,0.015046758300000001,0.015046758300000001,0.0162623977,0.0287232033,0.024416014399999998,0.023408571099999997,0.0231908763,0.0156729045,0.01818337,0.016958751100000002,0.0017664747,0.0,0.0,0.0018090816000000001,0.0
Pfok_strain12,0.0147802643,0.0154205596,0.0147802643,0.0147802643,0.0160239677,0.0287232033,0.024366526200000002,0.023145033199999998,0.0231125215,0.0154205596,0.0160239677,0.0147802643,0.0,0.0018090816000000001,0.0018090816000000001,0.0,0.0018090816000000001
Pfok_T42-1,0.015046758300000001,0.0157392928,0.015046758300000001,0.015046758300000001,0.0162623977,0.0287232033,0.024416014399999998,0.023408571099999997,0.0231908763,0.0156729045,0.01818337,0.016958751100000002,0.0017664747,0.0,0.0,0.0018090816000000001,0.0
