,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_ChP5-3,100.0,100.0,100.0,100.0,99.941,100.0,100.0,99.882,99.882,99.882,99.882,99.882,99.824,99.882,99.882,99.53,99.397,99.295,99.29,99.53,99.765,99.765,99.471,100.0,99.941,99.823,99.941,99.882,98.649,98.585,98.591,98.617,98.591,98.591,98.591,98.591,98.591,98.591,98.6,98.649
Pmult_PS23,100.0,100.0,100.0,100.0,99.938,100.0,100.0,99.876,99.876,99.876,99.876,99.876,99.815,99.876,99.876,99.506,99.726,99.259,99.442,99.506,99.753,99.753,99.443,100.0,99.938,99.876,100.0,99.938,98.579,98.518,98.518,98.55,98.518,98.518,98.518,98.518,98.518,98.518,98.579,98.579
Pmult_ChP10-2,100.0,100.0,100.0,100.0,99.941,100.0,100.0,99.882,99.882,99.882,99.882,99.882,99.824,99.882,99.882,99.53,99.397,99.295,99.29,99.53,99.765,99.765,99.471,100.0,99.941,99.823,99.941,99.882,98.649,98.585,98.591,98.617,98.591,98.591,98.591,98.591,98.591,98.591,98.6,98.649
Pmult_L72-1,100.0,100.0,100.0,100.0,99.941,100.0,100.0,99.882,99.882,99.882,99.882,99.882,99.824,99.882,99.882,99.53,99.397,99.295,99.29,99.53,99.765,99.765,99.471,100.0,99.941,99.823,99.941,99.882,98.649,98.585,98.591,98.617,98.591,98.591,98.591,98.591,98.591,98.591,98.6,98.649
Pmult_strain4,99.941,99.938,99.941,99.941,100.0,99.941,99.941,99.823,99.823,99.823,99.823,99.823,99.764,99.823,99.823,99.469,99.31,99.233,99.23,99.469,99.705,99.705,99.409,99.941,99.882,99.823,99.941,99.882,98.585,98.526,98.526,98.557,98.526,98.526,98.526,98.526,98.526,98.526,98.533,98.585
Pmult_R51-6,100.0,100.0,100.0,100.0,99.941,100.0,100.0,99.882,99.882,99.882,99.882,99.882,99.824,99.882,99.882,99.53,99.397,99.295,99.29,99.53,99.765,99.765,99.471,100.0,99.941,99.823,99.941,99.882,98.649,98.585,98.591,98.617,98.591,98.591,98.591,98.591,98.591,98.591,98.6,98.649
Pmult_K4-2,100.0,100.0,100.0,100.0,99.941,100.0,100.0,99.882,99.882,99.882,99.882,99.882,99.824,99.882,99.882,99.53,99.397,99.295,99.29,99.53,99.765,99.765,99.471,100.0,99.941,99.823,99.941,99.882,98.649,98.585,98.591,98.617,98.591,98.591,98.591,98.591,98.591,98.591,98.6,98.649
Pmult_AC2,99.882,99.876,99.882,99.882,99.823,99.882,99.882,100.0,100.0,100.0,100.0,100.0,99.941,99.764,99.764,99.646,99.569,99.41,99.408,99.646,99.882,99.882,99.587,99.882,99.823,100.0,99.882,99.823,98.586,98.527,98.527,98.558,98.527,98.527,98.527,98.527,98.527,98.527,98.534,98.586
Pmult_PC6,99.882,99.876,99.882,99.882,99.823,99.882,99.882,100.0,100.0,100.0,100.0,100.0,99.941,99.764,99.764,99.646,99.569,99.41,99.408,99.646,99.882,99.882,99.587,99.882,99.823,100.0,99.882,99.823,98.586,98.527,98.527,98.558,98.527,98.527,98.527,98.527,98.527,98.527,98.534,98.586
Pmult_TP2_India,99.882,99.876,99.882,99.882,99.823,99.882,99.882,100.0,100.0,100.0,100.0,100.0,99.941,99.764,99.764,99.646,99.569,99.41,99.408,99.646,99.882,99.882,99.587,99.882,99.823,100.0,99.882,99.823,98.586,98.527,98.527,98.558,98.527,98.527,98.527,98.527,98.527,98.527,98.534,98.586
Pmult_N16,99.882,99.876,99.882,99.882,99.823,99.882,99.882,100.0,100.0,100.0,100.0,100.0,99.941,99.765,99.764,99.647,99.569,99.412,99.408,99.647,99.882,99.882,99.588,99.882,99.824,99.941,99.823,99.823,98.591,98.527,98.532,98.558,98.532,98.532,98.532,98.532,98.532,98.532,98.539,98.591
Pmult_CyP5-3,99.882,99.876,99.882,99.882,99.823,99.882,99.882,100.0,100.0,100.0,100.0,100.0,99.941,99.765,99.764,99.647,99.569,99.413,99.408,99.648,99.882,99.882,99.588,99.882,99.824,99.941,99.823,99.765,98.592,98.527,98.533,98.558,98.533,98.533,98.533,98.533,98.533,98.533,98.54,98.592
Pmult_N17,99.824,99.815,99.824,99.824,99.764,99.824,99.824,99.941,99.941,99.941,99.941,99.941,100.0,99.706,99.705,99.588,99.483,99.354,99.349,99.589,99.824,99.824,99.529,99.823,99.765,99.882,99.764,99.764,98.532,98.468,98.473,98.498,98.473,98.473,98.473,98.473,98.473,98.473,98.478,98.532
Pmult_Or4-3,99.882,99.876,99.882,99.882,99.823,99.882,99.882,99.764,99.764,99.764,99.765,99.765,99.706,100.0,99.764,99.412,99.224,99.178,99.171,99.413,99.647,99.647,99.353,99.882,99.824,99.705,99.823,99.765,98.532,98.467,98.473,98.497,98.473,98.473,98.473,98.473,98.473,98.473,98.478,98.532
Pmult_LSA,99.882,99.876,99.882,99.882,99.823,99.882,99.882,99.764,99.764,99.764,99.764,99.764,99.705,99.764,100.0,99.41,99.224,99.175,99.171,99.41,99.646,99.646,99.35,99.882,99.823,99.764,99.882,99.823,98.526,98.467,98.467,98.497,98.467,98.467,98.467,98.467,98.467,98.467,98.472,98.526
Pmult_MSA-5,99.53,99.506,99.53,99.53,99.469,99.53,99.53,99.646,99.646,99.646,99.647,99.647,99.588,99.412,99.41,100.0,99.052,99.06,99.053,99.295,99.53,99.53,99.235,99.528,99.471,99.588,99.47,99.412,98.298,98.232,98.239,98.257,98.239,98.239,98.239,98.239,98.239,98.239,98.236,98.298
Pmult_BNB-2015,99.397,99.726,99.397,99.397,99.31,99.397,99.397,99.569,99.569,99.569,99.569,99.569,99.483,99.224,99.224,99.052,100.0,98.881,98.966,99.053,99.483,99.483,98.965,99.397,99.31,99.569,99.397,99.31,97.676,97.676,97.676,97.676,97.676,97.676,97.676,97.676,97.676,97.676,97.928,97.676
Pmult_FT5,99.295,99.259,99.295,99.295,99.233,99.295,99.295,99.41,99.41,99.41,99.412,99.413,99.354,99.178,99.175,99.06,98.881,100.0,98.936,99.062,99.296,99.296,99.002,99.292,99.237,99.352,99.234,99.178,98.006,97.939,97.947,97.958,97.947,97.947,97.947,97.947,97.947,97.947,97.934,98.006
Pmult_BR3,99.29,99.442,99.29,99.29,99.23,99.29,99.29,99.408,99.408,99.408,99.408,99.408,99.349,99.171,99.171,99.053,98.966,98.936,100.0,99.054,99.29,99.29,98.993,99.29,99.23,99.408,99.29,99.23,98.048,97.989,97.989,98.017,97.989,97.989,97.989,97.989,97.989,97.989,98.1,98.048
Pmult_FT2,99.53,99.506,99.53,99.53,99.469,99.53,99.53,99.646,99.646,99.646,99.647,99.648,99.589,99.413,99.41,99.295,99.053,99.062,99.054,100.0,99.531,99.531,99.237,99.528,99.472,99.588,99.47,99.413,98.24,98.174,98.182,98.198,98.182,98.182,98.182,98.182,98.182,98.182,98.177,98.24
Pmult_FT1,99.765,99.753,99.765,99.765,99.705,99.765,99.765,99.882,99.882,99.882,99.882,99.882,99.824,99.647,99.646,99.53,99.483,99.296,99.29,99.531,100.0,99.765,99.471,99.764,99.706,99.823,99.705,99.647,98.473,98.408,98.415,98.437,98.415,98.415,98.415,98.415,98.415,98.415,98.418,98.473
Pmult_FT4,99.765,99.753,99.765,99.765,99.705,99.765,99.765,99.882,99.882,99.882,99.882,99.882,99.824,99.647,99.646,99.53,99.483,99.296,99.29,99.531,99.765,100.0,99.471,99.764,99.706,99.823,99.705,99.647,98.473,98.408,98.415,98.437,98.415,98.415,98.415,98.415,98.415,98.415,98.418,98.473
Pmult_para200,99.471,99.443,99.471,99.471,99.409,99.471,99.471,99.587,99.587,99.587,99.588,99.588,99.529,99.353,99.35,99.235,98.965,99.002,98.993,99.237,99.471,99.471,100.0,99.468,99.412,99.528,99.41,99.353,98.179,98.112,98.12,98.135,98.12,98.12,98.12,98.12,98.12,98.12,98.113,98.179
Pmult_Pm,100.0,100.0,100.0,100.0,99.941,100.0,100.0,99.882,99.882,99.882,99.882,99.882,99.823,99.882,99.882,99.528,99.397,99.292,99.29,99.528,99.764,99.764,99.468,100.0,99.941,99.882,100.0,99.941,98.644,98.585,98.585,98.617,98.585,98.585,98.585,98.585,98.585,98.585,98.594,98.644
Pmult_SK6-3,99.941,99.938,99.941,99.941,99.882,99.941,99.941,99.823,99.823,99.823,99.824,99.824,99.765,99.824,99.823,99.471,99.31,99.237,99.23,99.472,99.706,99.706,99.412,99.941,100.0,99.764,99.882,99.941,98.591,98.526,98.532,98.557,98.532,98.532,98.532,98.532,98.532,98.532,98.539,98.591
Pmult_ThK-16,99.823,99.876,99.823,99.823,99.823,99.823,99.823,100.0,100.0,100.0,99.941,99.941,99.882,99.705,99.764,99.588,99.569,99.352,99.408,99.588,99.823,99.823,99.528,99.882,99.764,100.0,99.882,99.764,98.529,98.525,98.47,98.558,98.47,98.47,98.47,98.47,98.47,98.47,98.475,98.529
Pmult_OmN-1,99.941,100.0,99.941,99.941,99.941,99.941,99.941,99.882,99.882,99.882,99.823,99.823,99.764,99.823,99.882,99.47,99.397,99.234,99.29,99.47,99.705,99.705,99.41,100.0,99.882,99.882,100.0,99.882,98.587,98.583,98.528,98.617,98.528,98.528,98.528,98.528,98.528,98.528,98.535,98.587
Pmult_LB-1,99.882,99.938,99.882,99.882,99.882,99.882,99.882,99.823,99.823,99.823,99.823,99.765,99.764,99.765,99.823,99.412,99.31,99.178,99.23,99.413,99.647,99.647,99.353,99.941,99.941,99.764,99.882,100.0,98.532,98.526,98.473,98.557,98.473,98.473,98.473,98.473,98.473,98.473,98.478,98.532
