,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06
Pbur_K11-4B,0.0,10.703,31.949,31.949,30.351,29.233,31.31,31.47,30.511,30.511,28.594,28.754,29.393,29.233,26.677,26.677,26.677,26.837,26.837,26.677,26.997,26.997,26.997,28.754,27.636,40.735,41.534,39.776,39.936,39.936,30.99,32.748,32.109,29.712,27.636,29.712
Pbur_OLI,10.703,0.0,33.387,33.387,28.754,27.157,28.914,28.435,27.157,27.157,28.914,29.073,29.712,28.754,26.997,26.997,26.997,27.157,26.997,26.997,26.997,26.837,26.837,28.275,27.157,40.096,39.297,38.818,38.658,39.297,31.31,33.387,32.109,30.511,26.837,30.511
Pclor_HSG1-11,31.949,33.387,0.0,0.0,29.553,28.754,30.032,29.872,30.351,30.351,27.955,28.435,29.553,28.115,27.316,27.316,27.316,27.476,27.316,27.316,27.955,27.796,27.796,28.594,28.754,37.54,38.658,37.38,39.297,37.061,26.997,29.553,27.316,30.671,28.435,29.073
Pclor_Kon,31.949,33.387,0.0,0.0,29.553,28.754,30.032,29.872,30.351,30.351,27.955,28.435,29.553,28.115,27.316,27.316,27.316,27.476,27.316,27.316,27.955,27.796,27.796,28.594,28.754,37.54,38.658,37.38,39.297,37.061,26.997,29.553,27.316,30.671,28.435,29.073
Pmult_OmN-1,30.351,28.754,29.553,29.553,0.0,4.473,4.633,8.786,7.987,7.987,12.939,12.78,11.342,13.099,13.259,13.259,13.259,13.419,13.099,13.259,14.377,14.217,14.217,14.856,16.773,25.399,25.08,23.962,25.24,23.163,22.684,27.157,25.24,26.997,25.399,24.601
Pmult_CyP5-3,29.233,27.157,28.754,28.754,4.473,0.0,4.792,8.307,7.508,7.508,12.78,12.62,11.342,13.578,13.898,13.898,13.898,14.058,13.738,13.898,14.696,14.537,14.537,15.176,16.134,25.879,25.08,24.281,25.08,23.642,22.204,26.837,25.08,27.476,24.92,24.76
Pmult_ChP3-4,31.31,28.914,30.032,30.032,4.633,4.792,0.0,10.064,9.105,9.105,14.856,15.016,12.46,14.696,14.217,14.217,14.217,14.377,14.058,14.217,15.335,15.176,15.176,15.655,17.891,25.24,24.601,23.962,24.121,22.684,23.482,29.073,26.997,28.275,25.879,26.677
Pfok_strain12,31.47,28.435,29.872,29.872,8.786,8.307,10.064,0.0,7.348,7.348,15.335,14.696,14.696,14.696,14.377,14.377,14.377,14.537,14.696,14.377,15.176,15.335,15.335,15.176,18.211,27.636,26.997,25.719,26.997,25.559,23.962,28.275,25.719,26.997,25.24,24.281
Pfok_CyL3-21,30.511,27.157,30.351,30.351,7.987,7.508,9.105,7.348,0.0,0.0,13.898,14.058,14.856,14.537,14.377,14.377,14.377,14.537,14.537,14.377,15.176,15.016,15.016,13.898,17.732,26.837,26.677,25.08,26.837,25.559,23.163,27.316,25.24,27.316,25.24,24.92
Pfok_strain14,30.511,27.157,30.351,30.351,7.987,7.508,9.105,7.348,0.0,0.0,13.898,14.058,14.856,14.537,14.377,14.377,14.377,14.537,14.537,14.377,15.176,15.016,15.016,13.898,17.732,26.837,26.677,25.08,26.837,25.559,23.163,27.316,25.24,27.316,25.24,24.92
Pcaud_V-1,28.594,28.914,27.955,27.955,12.939,12.78,14.856,15.335,13.898,13.898,0.0,0.799,7.029,7.987,12.3,12.3,12.3,12.46,11.981,12.3,13.099,12.939,12.939,12.46,15.655,25.24,26.198,22.364,24.92,22.204,23.482,25.399,24.601,26.997,24.121,24.281
Pcaud_OR4-4,28.754,29.073,28.435,28.435,12.78,12.62,15.016,14.696,14.058,14.058,0.799,0.0,7.188,7.668,12.3,12.3,12.3,12.46,11.981,12.3,13.099,12.939,12.939,12.3,15.815,25.559,25.879,22.045,24.601,22.524,23.163,25.399,24.601,27.157,24.121,24.121
Pcaud_SH42,29.393,29.712,29.553,29.553,11.342,11.342,12.46,14.696,14.856,14.856,7.029,7.188,0.0,8.946,11.342,11.342,11.342,11.502,11.182,11.342,12.46,12.3,12.3,13.419,15.176,25.879,24.76,22.843,23.802,23.482,23.802,26.518,25.24,28.754,24.76,26.038
Pcaud_INL-1,29.233,28.754,28.115,28.115,13.099,13.578,14.696,14.696,14.537,14.537,7.987,7.668,8.946,0.0,10.863,10.863,10.863,11.022,11.022,10.863,11.342,11.182,11.182,12.78,14.856,24.92,25.08,22.843,24.441,23.163,23.642,26.518,24.121,28.914,24.601,25.399
Plyn_SD11-9,26.677,26.997,27.316,27.316,13.259,13.898,14.217,14.377,14.377,14.377,12.3,12.3,11.342,10.863,0.0,0.0,0.0,0.16,0.319,0.16,2.077,1.917,1.917,13.738,13.419,25.879,26.358,25.559,26.997,24.601,23.323,26.038,22.843,27.316,24.76,25.08
Plyn_V105-1,26.677,26.997,27.316,27.316,13.259,13.898,14.217,14.377,14.377,14.377,12.3,12.3,11.342,10.863,0.0,0.0,0.0,0.16,0.319,0.16,2.077,1.917,1.917,13.738,13.419,25.879,26.358,25.559,26.997,24.601,23.323,26.038,22.843,27.316,24.76,25.08
Plyn_PO16-1,26.677,26.997,27.316,27.316,13.259,13.898,14.217,14.377,14.377,14.377,12.3,12.3,11.342,10.863,0.0,0.0,0.0,0.16,0.319,0.16,2.077,1.917,1.917,13.738,13.419,25.879,26.358,25.559,26.997,24.601,23.323,26.038,22.843,27.316,24.76,25.08
