,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1
Pmult_ChP5-3,0.0,0.059,0.0,0.0,0.118,0.603,0.47,0.235,0.059,0.118,0.0,1.233,1.297,1.292,1.263,1.292
Pmult_strain4,0.059,0.0,0.059,0.059,0.177,0.69,0.531,0.295,0.118,0.177,0.059,1.297,1.356,1.356,1.323,1.356
Pmult_R51-6,0.0,0.059,0.0,0.0,0.118,0.603,0.47,0.235,0.059,0.118,0.0,1.233,1.297,1.292,1.263,1.292
Pmult_K4-2,0.0,0.059,0.0,0.0,0.118,0.603,0.47,0.235,0.059,0.118,0.0,1.233,1.297,1.292,1.263,1.292
Pmult_CyP5-3,0.118,0.177,0.118,0.118,0.0,0.431,0.352,0.117,0.176,0.0,0.118,1.174,1.237,1.232,1.202,1.232
Pmult_BNB-2015,0.603,0.69,0.603,0.603,0.431,0.0,0.775,0.602,0.69,0.431,0.603,1.979,1.979,1.979,1.979,1.979
Pmult_FT5,0.47,0.531,0.47,0.47,0.352,0.775,0.0,0.469,0.528,0.353,0.471,1.525,1.59,1.584,1.562,1.584
Pmult_FT2,0.235,0.295,0.235,0.235,0.117,0.602,0.469,0.0,0.294,0.118,0.236,1.29,1.355,1.349,1.321,1.349
Pmult_SK6-3,0.059,0.118,0.059,0.059,0.176,0.69,0.528,0.294,0.0,0.177,0.059,1.292,1.356,1.351,1.323,1.351
Pmult_ThK-16,0.118,0.177,0.118,0.118,0.0,0.431,0.353,0.118,0.177,0.0,0.118,1.177,1.239,1.236,1.202,1.236
Pmult_OmN-1,0.0,0.059,0.0,0.0,0.118,0.603,0.471,0.236,0.059,0.118,0.0,1.237,1.299,1.296,1.263,1.296
Pfok_US_Bl_16I1,1.233,1.297,1.233,1.233,1.174,1.979,1.525,1.29,1.292,1.177,1.237,0.0,0.177,0.176,0.0,0.176
Pfok_strain14,1.297,1.356,1.297,1.297,1.237,1.979,1.59,1.355,1.356,1.239,1.299,0.177,0.0,0.0,0.181,0.0
Pfok_CyL3-21,1.292,1.356,1.292,1.292,1.232,1.979,1.584,1.349,1.351,1.236,1.296,0.176,0.0,0.0,0.181,0.0
Pfok_strain12,1.263,1.323,1.263,1.263,1.202,1.979,1.562,1.321,1.323,1.202,1.263,0.0,0.181,0.181,0.0,0.181
Pfok_T42-1,1.292,1.356,1.292,1.292,1.232,1.979,1.584,1.349,1.351,1.236,1.296,0.176,0.0,0.0,0.181,0.0
