,Pmult_ChP5-3,Pmult_strain16,Pmult_strain17,Pmult_G1-2,Pmult_PrO166-3,Pmult_strain4,Pmult_Kr154-4,Pmult_Ir3-6,Pmult_D237-6,Pmult_SPb63-2,Pmult_SR212-9,Pmult_SR213-1,Pmult_AMA5-7,Pmult_ThK-16,Pmult_K4-2,Pmult_SK6-3,Pmult_Wg8,Pmult_BR,Pmult_R51-6,Pmult_L72-1,Pmult_CyP5-3,Pmult_ITR,Pmult_OmN-1,Pmult_Or4-3,Pmult_LB-1,Pmult_MSA-5,Pmult_ChP10-2,Pfok_FCB10-1,Pfok_SMM81-1,Pfok_PL4-1,Pfok_T42-1,Pfok_AM,Pfok_strain14,Pfok_CyL3-21,Pfok_strain6,Pfok_strain12,Pfok_US_Bl_16I1,Plyn_SP-1,Plyn_HSG3-10,Plyn_SD11-9,Plyn_ShKm41,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_PO16-1,Plyn_C8-2,Plyn_V105-1,Pcaud_Kr113-3,Pcaud_K5-2,Pcaud_43c3d,Pcaud_CA,Pcaud_GB4-26
Pmult_ChP5-3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_strain16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_strain17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_G1-2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_PrO166-3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_strain4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_Kr154-4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_Ir3-6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_D237-6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
Pmult_SPb63-2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.906,99.812,99.906,99.812,99.812,99.718,98.117,98.117,98.117,98.023,98.023,98.023,98.023,97.928,98.117,98.117,93.709,93.709,93.521,93.803,93.803,93.803,93.897,93.897,93.897,93.427,93.333,93.016,93.615,93.803
