,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1
Pmult_ChP5-3,,0.0005909149,0.0000000000,0.0000000000,0.0011760355,0.0086939147,0.0089388851,0.0084207482,0.0077452768,0.0005884808,0.0029584605,0.0017737400,0.0144250396,0.0151103970,0.0150467583,0.0147802643,0.0150467583
Pmult_strain4,,,0.0005909149,0.0005909149,0.0017740866,0.0095848961,0.0095896201,0.0090363264,0.0083890226,0.0011836619,0.0029659841,0.0017782471,0.0151130431,0.0157392928,0.0157392928,0.0154205596,0.0157392928
Pmult_R51-6,,,,0.0000000000,0.0011760355,0.0086939147,0.0089388851,0.0084207482,0.0077452768,0.0005884808,0.0029584605,0.0017737400,0.0144250396,0.0151103970,0.0150467583,0.0147802643,0.0150467583
Pmult_K4-2,,,,,0.0011760355,0.0086939147,0.0089388851,0.0084207482,0.0077452768,0.0005884808,0.0029584605,0.0017737400,0.0144250396,0.0151103970,0.0150467583,0.0147802643,0.0150467583
Pmult_CyP5-3,,,,,,0.0069476156,0.0077412881,0.0072123740,0.0065488171,0.0017667733,0.0017737400,0.0029584605,0.0156385847,0.0163312256,0.0162623977,0.0160239677,0.0162623977
Pmult_BNB-2015,,,,,,,0.0158675318,0.0131662679,0.0159032022,0.0095848961,0.0069476156,0.0086939147,0.0287232033,0.0287232033,0.0287232033,0.0287232033,0.0287232033
Pmult_FT5,,,,,,,,0.0127437525,0.0132330170,0.0095495627,0.0095876326,0.0107940781,0.0237728895,0.0245206986,0.0244160144,0.0243665262,0.0244160144
Pmult_BR3,,,,,,,,,0.0127504662,0.0090363264,0.0072123740,0.0084207482,0.0227609015,0.0234085711,0.0234085711,0.0231450332,0.0234085711
Pmult_FT2,,,,,,,,,,0.0083539872,0.0083872963,0.0095926099,0.0225495051,0.0232902957,0.0231908763,0.0231125215,0.0231908763
Pmult_SK6-3,,,,,,,,,,,0.0035556470,0.0023686487,0.0150493820,0.0157392928,0.0156729045,0.0154205596,0.0156729045
Pmult_ThK-16,,,,,,,,,,,,0.0011781137,0.0175530477,0.0175956290,0.0181833700,0.0160239677,0.0181833700
Pmult_OmN-1,,,,,,,,,,,,,0.0163305405,0.0163701289,0.0169587511,0.0147802643,0.0169587511
Pfok_US_Bl_16I1,,,,,,,,,,,,,,0.0017737855,0.0017664747,0.0000000000,0.0017664747
Pfok_strain14,,,,,,,,,,,,,,,0.0000000000,0.0018090816,0.0000000000
Pfok_CyL3-21,,,,,,,,,,,,,,,,0.0018090816,0.0000000000
Pfok_strain12,,,,,,,,,,,,,,,,,0.0018090816
Pfok_T42-1,,,,,,,,,,,,,,,,,
