,Pmult_G1-2,Pmult_C7,Pmult_AMA5-7,Pmult_ISN-11,Pmult_C1(1),Pmult_ID1-13,Pmult_MSA-5,Pmult_AH1-5,Pmult_N16,Pmult_C6,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_LB2,Pmult_C3(1),Pmult_C3(2),Pmult_SPb63-2,Pmult_BSP-7,Pmult_K4-2,Pmult_SMM80-11,Pmult_ChP10-2,Pmult_L72-1,Pmult_Peniche31,Pmult_Wg8,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_OLI-Parame-mult-03,Pmult_C12,Pmult_Chp5-3,Pmult_E59-1B,Pmult_IP2-1,Pfok_SMM81-1,Pfok_T42-1,Pfok_AM,Pfok_M04,Pfok_BR,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_PL4-1,Pfok_strain14,Pfok_N6,Pfok_OLI-Parame-mult-01,Pfok_OLI-Parame-mult-02
Pmult_G1-2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.319,0.319,4.473,3.674,4.153,4.153,2.236,2.236,2.077,4.473,3.514,3.674,4.0,3.834,3.994,4.153,0.0,4.792,0.319,5.112,4.792,4.792,4.792,4.792,4.792,7.508,7.508,7.492,7.508,7.484,7.643,7.508,6.969,7.508,7.508,7.496,7.143,7.143
Pmult_C7,0.16,0.0,0.16,0.155,0.132,0.132,0.132,0.309,0.395,0.395,4.348,3.821,4.348,4.348,2.108,2.24,2.194,4.791,3.821,3.821,4.09,3.953,4.084,4.075,0.132,4.48,0.395,5.172,4.348,4.348,4.348,4.348,4.348,6.719,6.719,7.329,6.719,7.413,7.49,6.719,7.087,6.719,6.831,6.711,7.518,7.49
Pmult_AMA5-7,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.319,0.319,4.473,3.674,4.153,4.153,2.236,2.236,2.077,4.473,3.514,3.674,4.0,3.834,3.994,4.153,0.0,4.792,0.319,5.112,4.792,4.792,4.792,4.792,4.792,7.508,7.508,7.492,7.508,7.484,7.643,7.508,6.969,7.508,7.508,7.496,7.143,7.143
Pmult_ISN-11,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.155,0.309,0.309,4.482,3.709,4.328,4.328,2.164,2.318,2.077,4.637,3.555,3.709,4.025,3.864,4.019,4.153,0.0,4.637,0.309,5.112,4.637,4.637,4.637,4.637,4.637,7.573,7.573,7.492,7.573,7.484,7.55,7.573,7.053,7.573,7.609,7.562,7.064,7.064
Pmult_C1(1),0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.155,0.264,0.264,4.348,3.821,4.216,4.216,1.976,2.108,2.038,4.637,3.821,3.821,4.09,3.953,4.084,4.075,0.0,4.348,0.264,5.016,4.216,4.216,4.216,4.216,4.216,6.851,6.851,7.492,6.851,7.552,7.622,6.851,7.218,6.851,6.967,6.842,7.66,7.622
Pmult_ID1-13,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.155,0.264,0.264,4.348,3.821,4.216,4.216,1.976,2.108,2.038,4.637,3.821,3.821,4.09,3.953,4.084,4.075,0.0,4.348,0.264,5.016,4.216,4.216,4.216,4.216,4.216,6.851,6.851,7.492,6.851,7.552,7.622,6.851,7.218,6.851,6.967,6.842,7.66,7.622
Pmult_MSA-5,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.155,0.264,0.264,4.348,3.821,4.216,4.216,1.976,2.108,2.038,4.637,3.821,3.821,4.09,3.953,4.084,4.075,0.0,4.348,0.264,5.016,4.216,4.216,4.216,4.216,4.216,6.851,6.851,7.492,6.851,7.552,7.622,6.851,7.218,6.851,6.967,6.842,7.66,7.622
Pmult_AH1-5,0.16,0.309,0.16,0.155,0.155,0.155,0.155,0.0,0.464,0.464,4.637,3.864,4.482,4.482,2.318,2.473,2.236,4.791,3.709,3.864,4.18,4.019,4.173,4.313,0.155,4.791,0.464,5.272,4.791,4.791,4.791,4.791,4.791,7.728,7.728,7.655,7.728,7.643,7.704,7.728,6.897,7.728,7.764,7.716,7.221,7.221
Pmult_N16,0.319,0.395,0.319,0.309,0.264,0.264,0.264,0.464,0.0,0.527,4.611,4.084,4.48,4.48,2.24,2.372,2.351,4.946,4.084,4.084,4.354,4.216,4.348,4.389,0.264,4.611,0.527,5.329,4.48,4.48,4.48,4.48,4.48,7.115,7.115,7.818,7.115,7.832,7.884,7.115,7.48,7.115,7.24,7.105,7.943,7.884
Pmult_C6,0.319,0.395,0.319,0.309,0.264,0.264,0.264,0.464,0.527,0.0,4.348,3.821,4.216,4.216,2.24,2.372,2.351,4.946,3.821,3.821,4.09,3.953,4.084,4.075,0.264,4.348,0.527,5.016,4.216,4.216,4.216,4.216,4.216,7.115,7.115,7.818,7.115,7.552,7.622,7.115,7.48,7.115,7.24,7.105,7.66,7.622
Pmult_OmN-1,4.473,4.348,4.473,4.482,4.348,4.348,4.348,4.637,4.611,4.348,0.0,1.318,2.503,2.503,3.557,3.426,3.448,5.255,1.581,1.318,1.319,1.186,0.527,0.627,4.348,4.611,4.611,4.859,4.48,4.48,4.48,4.48,4.48,7.246,7.246,7.98,7.246,8.555,8.432,7.246,8.421,7.246,7.377,7.368,8.097,7.895
Pmult_R51-6,3.674,3.821,3.674,3.709,3.821,3.821,3.821,3.864,4.084,3.821,1.318,0.0,2.767,2.767,3.557,3.426,3.448,5.41,0.264,0.0,0.528,0.395,1.054,0.94,3.821,4.348,4.084,4.545,4.216,4.216,4.216,4.216,4.216,6.456,6.456,6.84,6.456,8.415,8.3,6.456,7.895,6.456,6.557,6.579,7.812,7.632
Pmult_SK6-3,4.153,4.348,4.153,4.328,4.216,4.216,4.216,4.482,4.48,4.216,2.503,2.767,0.0,0.0,3.689,3.557,3.448,4.791,3.03,2.767,2.77,2.635,2.24,2.194,4.216,5.007,4.48,4.859,4.875,4.875,4.875,4.875,4.875,7.378,7.378,7.438,7.378,7.563,7.763,7.378,8.158,7.378,7.377,7.5,7.518,7.49
Pmult_LB2,4.153,4.348,4.153,4.328,4.216,4.216,4.216,4.482,4.48,4.216,2.503,2.767,0.0,0.0,3.689,3.557,3.448,4.791,3.03,2.767,2.77,2.635,2.24,2.194,4.216,5.007,4.48,4.859,4.875,4.875,4.875,4.875,4.875,7.378,7.378,7.438,7.378,7.563,7.763,7.378,8.158,7.378,7.377,7.5,7.518,7.49
Pmult_C3(1),2.236,2.108,2.236,2.164,1.976,1.976,1.976,2.318,2.24,2.24,3.557,3.557,3.689,3.689,0.0,0.132,0.47,3.709,3.821,3.557,3.562,3.426,3.557,3.292,1.976,3.953,2.24,4.389,3.821,3.821,3.821,3.821,3.821,6.851,6.851,7.329,6.851,8.135,8.3,6.851,7.905,6.851,6.831,6.842,7.681,7.773
Pmult_C3(2),2.236,2.24,2.236,2.318,2.108,2.108,2.108,2.473,2.372,2.372,3.426,3.426,3.557,3.557,0.132,0.0,0.47,3.555,3.689,3.426,3.43,3.294,3.426,3.292,2.108,4.084,2.372,4.389,3.953,3.953,3.953,3.953,3.953,6.719,6.719,7.329,6.719,8.135,8.169,6.719,7.773,6.719,6.694,6.711,7.539,7.642
Pmult_SPb63-2,2.077,2.194,2.077,2.077,2.038,2.038,2.038,2.236,2.351,2.351,3.448,3.448,3.448,3.448,0.47,0.47,0.0,3.674,3.605,3.448,3.297,3.135,3.292,3.448,2.038,4.232,2.351,4.545,4.232,4.232,4.232,4.232,4.232,7.053,7.053,7.166,7.053,8.189,8.346,7.053,8.15,7.053,7.053,7.042,7.717,7.717
Pmult_BSP-7,4.473,4.791,4.473,4.637,4.637,4.637,4.637,4.791,4.946,4.946,5.255,5.41,4.791,4.791,3.709,3.555,3.674,0.0,5.564,5.41,5.728,5.564,5.1,5.272,4.637,6.337,4.946,6.55,6.337,6.337,6.337,6.337,6.337,8.501,8.501,8.469,8.501,8.772,8.796,8.501,9.119,8.501,8.54,8.488,8.796,8.796
Pmult_K4-2,3.514,3.821,3.514,3.555,3.821,3.821,3.821,3.709,4.084,3.821,1.581,0.264,3.03,3.03,3.821,3.689,3.605,5.564,0.0,0.264,0.792,0.659,1.318,1.097,3.821,4.611,4.084,4.702,4.48,4.48,4.48,4.48,4.48,6.719,6.719,7.003,6.719,7.972,8.016,6.719,7.612,6.719,6.694,6.842,7.365,7.349
Pmult_SMM80-11,3.674,3.821,3.674,3.709,3.821,3.821,3.821,3.864,4.084,3.821,1.318,0.0,2.767,2.767,3.557,3.426,3.448,5.41,0.264,0.0,0.528,0.395,1.054,0.94,3.821,4.348,4.084,4.545,4.216,4.216,4.216,4.216,4.216,6.456,6.456,6.84,6.456,8.415,8.3,6.456,7.895,6.456,6.557,6.579,7.812,7.632
Pmult_ChP10-2,4.0,4.09,4.0,4.025,4.09,4.09,4.09,4.18,4.354,4.09,1.319,0.528,2.77,2.77,3.562,3.43,3.297,5.728,0.792,0.528,0.0,0.132,1.055,0.785,4.09,4.354,4.354,4.396,4.222,4.222,4.222,4.222,4.222,6.728,6.728,7.178,6.728,8.427,8.311,6.728,8.169,6.728,6.84,6.851,7.824,7.642
Pmult_L72-1,3.834,3.953,3.834,3.864,3.953,3.953,3.953,4.019,4.216,3.953,1.186,0.395,2.635,2.635,3.426,3.294,3.135,5.564,0.659,0.395,0.132,0.0,0.922,0.627,3.953,4.216,4.216,4.232,4.084,4.084,4.084,4.084,4.084,6.588,6.588,7.003,6.588,8.275,8.169,6.588,8.026,6.588,6.694,6.711,7.67,7.5
Pmult_Peniche31,3.994,4.084,3.994,4.019,4.084,4.084,4.084,4.173,4.348,4.084,0.527,1.054,2.24,2.24,3.557,3.426,3.292,5.1,1.318,1.054,1.055,0.922,0.0,0.157,4.084,4.084,4.348,4.389,3.953,3.953,3.953,3.953,3.953,6.983,6.983,7.492,6.983,8.451,8.432,6.983,8.158,6.983,7.104,7.105,7.955,7.895
Pmult_Wg8,4.153,4.075,4.153,4.153,4.075,4.075,4.075,4.313,4.389,4.075,0.627,0.94,2.194,2.194,3.292,3.292,3.448,5.272,1.097,0.94,0.785,0.627,0.157,0.0,4.075,4.232,4.389,4.545,4.232,4.232,4.232,4.232,4.232,7.524,7.524,7.655,7.524,8.504,8.661,7.524,8.451,7.524,7.524,7.668,8.019,8.019
Pmult_CyP5-3,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.155,0.264,0.264,4.348,3.821,4.216,4.216,1.976,2.108,2.038,4.637,3.821,3.821,4.09,3.953,4.084,4.075,0.0,4.348,0.264,5.016,4.216,4.216,4.216,4.216,4.216,6.851,6.851,7.492,6.851,7.552,7.622,6.851,7.218,6.851,6.967,6.842,7.66,7.622
Pmult_ChP3-4,4.792,4.48,4.792,4.637,4.348,4.348,4.348,4.791,4.611,4.348,4.611,4.348,5.007,5.007,3.953,4.084,4.232,6.337,4.611,4.348,4.354,4.216,4.084,4.232,4.348,0.0,4.611,0.313,0.132,0.132,0.132,0.132,0.132,8.564,8.564,9.121,8.564,9.718,9.75,8.564,9.75,8.564,8.743,8.553,9.246,9.223
