,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pbur_K11-4B,0.0,0.1182417122,0.526278299,0.526278299,0.4712743505,0.44378132909999995,0.4977367922,0.5136944699,0.47098936630000005,0.49696522530000004,0.4559109464,0.46213808359999997,0.5184996449,0.5311972853,0.4025801843,0.46532654590000005,0.4034144776,0.4692339083,0.4009050006,0.3935522347,0.46999332509999997,0.46999332509999997,0.42219869880000005,0.43173393479999994,0.4535091541,0.812543501,0.869450673,0.8037448419,0.7573531907,0.7761601267,0.5003716014,0.5443308118,0.5403555855,0.5106208632,0.4260551351,0.4952338707,0.4529261857,0.47022374060000005,0.45005172740000005,0.4517825411,0.6050407068,0.49341271789999996,0.4980346723,0.4754949415
Pbur_OLI,0.1182417122,0.0,0.5599345395,0.5599345395,0.435788781,0.39799808159999994,0.440412852,0.4382971662,0.3927602364,0.4167889974,0.45430386030000003,0.4605060283,0.5181598258,0.5131169178,0.42051562789999997,0.4720556735,0.4209010075,0.4759925765,0.4113576903,0.41065836299999997,0.47475856310000003,0.4707345793,0.4266233554,0.4151035739,0.4345929564,0.7830565876000001,0.7678277655,0.7490015067,0.7393526961,0.7360866958,0.5181797389,0.5868940101,0.5360389682,0.4891303223,0.40467129770000004,0.5183415248,0.4213838668,0.42095704869999995,0.4038233266,0.4053380118,0.5265446852000001,0.43650787560000004,0.42447506520000006,0.3966203392
Pclor_HSG1-11,0.526278299,0.5599345395,0.0,0.0,0.4498261137,0.4339430938,0.46237126310000004,0.4588906521,0.4796990993,0.491859758,0.411991723,0.42385142,0.49534719899999996,0.4831220436,0.42915760979999995,0.4799496458,0.4317229299,0.4839270586,0.42183041880000005,0.42526870759999996,0.5023142749,0.49812673469999996,0.45478518869999995,0.4421320489,0.4826553903,0.70773998,0.7503265886,0.6762567321999999,0.75664137,0.6632042217,0.4153412001,0.4729796882,0.4139494519,0.5334349407,0.4566782754,0.47332415009999995,0.4477026021,0.44252847939999995,0.4371123196,0.4416941743,0.5664384282,0.458344665,0.47660052399999997,0.4841988873
Pclor_Kon,0.526278299,0.5599345395,0.0,0.0,0.4498261137,0.4339430938,0.46237126310000004,0.4588906521,0.4796990993,0.491859758,0.411991723,0.42385142,0.49534719899999996,0.4831220436,0.42915760979999995,0.4799496458,0.4317229299,0.4839270586,0.42183041880000005,0.42526870759999996,0.5023142749,0.49812673469999996,0.45478518869999995,0.4421320489,0.4826553903,0.70773998,0.7503265886,0.6762567321999999,0.75664137,0.6632042217,0.4153412001,0.4729796882,0.4139494519,0.5334349407,0.4566782754,0.47332415009999995,0.4477026021,0.44252847939999995,0.4371123196,0.4416941743,0.5664384282,0.458344665,0.47660052399999997,0.4841988873
Pmult_OmN-1,0.4712743505,0.435788781,0.4498261137,0.4498261137,0.0,0.0459054667,0.048924004199999996,0.09677122169999999,0.0817183861,0.08460141380000001,0.1553342401,0.1514888878,0.1386550034,0.1599131325,0.1548596246,0.1683331714,0.1601137976,0.1706655639,0.1563939128,0.1552468486,0.18324004989999998,0.1808407059,0.1779382258,0.17941942019999998,0.2223792445,0.3571124553,0.36244963350000003,0.3530750274,0.34840278840000005,0.3175592108,0.3007734525,0.3999175138,0.3594294095,0.3490590288,0.33757021159999995,0.36391811799999996,0.013363011299999998,0.0257923024,0.037264286,0.048953271799999996,0.05167149730000001,0.0473969322,0.10137934369999999,0.08519743279999999
Pmult_CyP5-3,0.44378132909999995,0.39799808159999994,0.4339430938,0.4339430938,0.0459054667,0.0,0.0459054667,0.0932104169,0.0769305745,0.0796326324,0.1538756776,0.1501226381,0.1418508353,0.1695873044,0.1619447103,0.1793223414,0.1671100805,0.18171130289999998,0.1651423033,0.1640546312,0.1896068655,0.1871663141,0.18122765920000003,0.1819755166,0.20741775269999999,0.3621153668,0.3679095326,0.3521591933,0.34682557159999994,0.3163966814,0.29338120149999997,0.3942293759,0.3514046357,0.3584234648,0.3194822136,0.3609570312,0.0401956255,0.044393792599999995,0.0201635429,0.0026488508,0.053273097199999994,0.044393792599999995,0.0909757738,0.08036648519999999
Pmult_ChP3-4,0.4977367922,0.440412852,0.46237126310000004,0.46237126310000004,0.048924004199999996,0.0459054667,0.0,0.1135621898,0.0981795706,0.10170304359999999,0.18620012219999998,0.1861443291,0.156664785,0.18598038890000002,0.17238880420000002,0.1839067094,0.1773863548,0.1863110211,0.17517383690000002,0.1742172354,0.1989741062,0.1964977289,0.19585973350000002,0.1919127928,0.23884235,0.355662515,0.3609255424,0.35285672079999997,0.3378848365,0.3122190328,0.3215175104,0.43361608259999995,0.39615849369999995,0.3901350583,0.35108080350000004,0.4085761117,0.0460779049,0.0532757941,0.0415491634,0.048953271799999996,0.0031449163,0.0013209584,0.11307967990000001,0.10181523640000001
Pfok_strain12,0.5136944699,0.4382971662,0.4588906521,0.4588906521,0.09677122169999999,0.0932104169,0.1135621898,0.0,0.08440455460000001,0.0856950802,0.19086457469999998,0.18882041440000003,0.1959722022,0.18441839289999998,0.1813093697,0.1864184286,0.1840884939,0.1888323314,0.19186109399999998,0.18295067469999998,0.1975519144,0.200042028,0.2076148992,0.18596443329999998,0.2465588436,0.3953974557,0.3871918636,0.3842639863,0.3928305388,0.37571633520000003,0.3291777741,0.4259147376,0.37611919969999996,0.35809437130000005,0.3431719724,0.35276008270000003,0.0950431051,0.091417394,0.09484134960000001,0.09677122169999999,0.1177501767,0.11170260470000001,0.0443694797,0.0878883333
Pfok_CyL3-21,0.47098936630000005,0.3927602364,0.4796990993,0.4796990993,0.0817183861,0.0769305745,0.0981795706,0.08440455460000001,0.0,0.0013622244000000001,0.1695935911,0.17344502260000003,0.1918938625,0.186672048,0.1655834978,0.18910544070000002,0.1709597421,0.1915571159,0.1726472475,0.1634297034,0.200262445,0.1977457421,0.18738732,0.16409798,0.23728971210000002,0.38864285740000004,0.4010055363,0.378804875,0.3871403674,0.3605848796,0.303251396,0.41055410789999996,0.3611974115,0.3640550964,0.3338999797,0.370935819,0.0721186717,0.0833908386,0.076860605,0.0803445586,0.106969165,0.09639150810000001,0.0726799632,0.0026494224
Pfok_strain14,0.49696522530000004,0.4167889974,0.491859758,0.491859758,0.08460141380000001,0.0796326324,0.10170304359999999,0.0856950802,0.0013622244000000001,0.0,0.17000384699999999,0.17398549230000002,0.1941398843,0.1843405437,0.1644374752,0.18910544070000002,0.1641494601,0.1915571159,0.173213189,0.1668404097,0.200262445,0.1977457421,0.18722159239999997,0.16635569449999998,0.23966059539999998,0.3889313579,0.3993411303,0.3730652918,0.384453249,0.3551846132,0.31732096460000003,0.41741812079999996,0.3762222363,0.3785251256,0.3381533522,0.37395793829999996,0.074638172,0.08465451660000001,0.0778966832,0.0831828568,0.106969165,0.0998407421,0.07518790610000001,0.0041097760999999995
