,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pbur_K11-4B,100.0,89.331,68.153,68.153,69.904,71.019,68.949,68.79,69.745,69.745,71.497,71.338,70.701,70.86,73.408,73.408,73.408,73.248,73.248,73.408,73.089,73.089,73.089,71.338,72.452,59.395,58.599,60.35,59.713,60.191,69.108,67.357,67.994,68.949,72.134,70.382,70.701,70.064,70.86,70.701,68.949,68.949,69.268,69.427
Pbur_OLI,89.331,100.0,66.72,66.72,71.497,73.089,71.338,71.815,73.089,73.089,71.178,71.019,70.382,71.338,73.089,73.089,73.089,72.93,73.089,73.089,73.089,73.248,73.248,71.815,72.93,60.032,60.828,61.306,60.987,60.828,68.79,66.72,67.994,69.108,73.089,69.586,72.293,72.293,72.93,72.771,71.338,71.338,72.293,72.771
Pclor_HSG1-11,68.153,66.72,100.0,100.0,70.701,71.497,70.223,70.382,69.904,69.904,72.134,71.656,70.541,71.975,72.771,72.771,72.771,72.611,72.771,72.771,72.134,72.293,72.293,71.497,71.338,62.58,61.465,62.739,60.35,63.057,73.089,70.541,72.771,67.357,70.064,71.019,70.86,70.541,71.497,71.178,70.064,70.223,69.745,69.586
Pclor_Kon,68.153,66.72,100.0,100.0,70.701,71.497,70.223,70.382,69.904,69.904,72.134,71.656,70.541,71.975,72.771,72.771,72.771,72.611,72.771,72.771,72.134,72.293,72.293,71.497,71.338,62.58,61.465,62.739,60.35,63.057,73.089,70.541,72.771,67.357,70.064,71.019,70.86,70.541,71.497,71.178,70.064,70.223,69.745,69.586
Pmult_OmN-1,69.904,71.497,70.701,70.701,100.0,95.541,95.382,91.242,92.038,92.038,87.261,87.42,88.854,87.102,86.943,86.943,86.943,86.783,87.102,86.943,85.828,85.987,85.987,85.35,83.439,74.841,75.159,76.274,74.522,77.07,77.548,73.089,75.0,75.159,75.318,75.637,98.885,97.452,96.656,95.223,95.064,95.382,90.605,91.72
Pmult_CyP5-3,71.019,73.089,71.497,71.497,95.541,100.0,95.223,91.72,92.516,92.516,87.42,87.58,88.854,86.624,86.306,86.306,86.306,86.146,86.465,86.306,85.51,85.669,85.669,85.032,84.076,74.363,75.159,75.955,74.682,76.592,78.025,73.408,75.159,74.682,75.955,75.478,96.338,95.86,97.771,99.682,94.904,95.223,91.561,92.197
Pmult_ChP3-4,68.949,71.338,70.223,70.223,95.382,95.223,100.0,89.968,90.924,90.924,85.35,85.191,87.739,85.51,85.987,85.987,85.987,85.828,86.146,85.987,84.873,85.032,85.032,84.554,82.325,75.0,75.637,76.274,75.637,77.548,76.752,71.178,73.248,73.408,74.682,73.567,95.86,95.064,95.86,94.904,99.682,100.0,89.809,90.605
Pfok_strain12,68.79,71.815,70.382,70.382,91.242,91.72,89.968,100.0,92.675,92.675,84.873,85.51,85.51,85.51,85.828,85.828,85.828,85.669,85.51,85.828,85.032,84.873,84.873,85.032,82.006,72.611,73.248,74.522,72.771,74.682,76.274,71.975,74.522,75.159,75.478,75.955,91.561,91.879,91.72,91.401,89.968,89.968,96.019,92.357
Pfok_CyL3-21,69.745,73.089,69.904,69.904,92.038,92.516,90.924,92.675,100.0,100.0,86.306,86.146,85.35,85.669,85.828,85.828,85.828,85.669,85.669,85.828,85.032,85.191,85.191,86.306,82.484,73.408,73.567,75.159,72.93,74.682,77.07,72.93,75.0,74.522,75.478,75.318,93.153,92.197,92.675,92.197,90.605,90.924,93.79,99.682
Pfok_strain14,69.745,73.089,69.904,69.904,92.038,92.516,90.924,92.675,100.0,100.0,86.306,86.146,85.35,85.669,85.828,85.828,85.828,85.669,85.669,85.828,85.032,85.191,85.191,86.306,82.484,73.408,73.567,75.159,72.93,74.682,77.07,72.93,75.0,74.522,75.478,75.318,93.153,92.197,92.675,92.197,90.605,90.924,93.79,99.682
