,Pmult_strain4,Pmult_Kr154-4,Pmult_ThK-16,Pmult_R51-6,Pmult_L72-1,Pmult_CyP5-3,Pmult_OmN-1,Pmult_ChP10-2,Pfok_FCB10-1,Pfok_SMM81-1,Pfok_PL4-1,Pfok_T42-1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain6,Pfok_strain12,Plyn_SP-1,Plyn_HSG3-10,Plyn_SD11-9,Plyn_ShKm41,Plyn_TRB101-1,Plyn_PO16-1,Plyn_C8-2,Plyn_V105-1,Pcaud_Kr113-3,Pcaud_K5-2,Pcaud_CA,Pcaud_GB4-26
Pmult_strain4,0.0,0.0,0.0,0.031,0.031,0.031,0.043,0.053,0.137,0.137,0.137,0.141,0.141,0.141,0.144,0.137,0.251,0.251,0.255,0.249,0.249,0.247,0.247,0.247,0.256,0.258,0.253,0.249
Pmult_Kr154-4,0.0,0.0,0.0,0.031,0.031,0.031,0.043,0.053,0.137,0.137,0.137,0.141,0.141,0.141,0.144,0.137,0.251,0.251,0.255,0.249,0.249,0.247,0.247,0.247,0.256,0.258,0.253,0.249
Pmult_ThK-16,0.0,0.0,0.0,0.031,0.031,0.031,0.043,0.053,0.137,0.137,0.137,0.141,0.141,0.141,0.144,0.137,0.251,0.251,0.255,0.249,0.249,0.247,0.247,0.247,0.256,0.258,0.253,0.249
Pmult_R51-6,0.031,0.031,0.031,0.0,0.0,0.043,0.031,0.043,0.134,0.134,0.134,0.137,0.137,0.137,0.141,0.134,0.253,0.253,0.256,0.251,0.251,0.249,0.249,0.249,0.258,0.26,0.255,0.251
Pmult_L72-1,0.031,0.031,0.031,0.0,0.0,0.043,0.031,0.043,0.134,0.134,0.134,0.137,0.137,0.137,0.141,0.134,0.253,0.253,0.256,0.251,0.251,0.249,0.249,0.249,0.258,0.26,0.255,0.251
Pmult_CyP5-3,0.031,0.031,0.031,0.043,0.043,0.0,0.053,0.061,0.141,0.141,0.141,0.144,0.144,0.144,0.147,0.141,0.251,0.251,0.255,0.249,0.249,0.247,0.247,0.247,0.256,0.258,0.253,0.249
Pmult_OmN-1,0.043,0.043,0.043,0.031,0.031,0.053,0.0,0.053,0.137,0.137,0.137,0.141,0.141,0.141,0.144,0.137,0.255,0.255,0.258,0.253,0.253,0.251,0.251,0.251,0.26,0.262,0.256,0.253
Pmult_ChP10-2,0.053,0.053,0.053,0.043,0.043,0.061,0.053,0.0,0.141,0.141,0.141,0.144,0.144,0.144,0.147,0.141,0.256,0.256,0.26,0.255,0.255,0.253,0.253,0.253,0.262,0.264,0.258,0.255
Pfok_FCB10-1,0.137,0.137,0.137,0.134,0.134,0.141,0.137,0.141,0.0,0.0,0.0,0.031,0.031,0.031,0.043,0.097,0.247,0.247,0.251,0.245,0.245,0.243,0.243,0.243,0.243,0.245,0.239,0.235
Pfok_SMM81-1,0.137,0.137,0.137,0.134,0.134,0.141,0.137,0.141,0.0,0.0,0.0,0.031,0.031,0.031,0.043,0.097,0.247,0.247,0.251,0.245,0.245,0.243,0.243,0.243,0.243,0.245,0.239,0.235
Pfok_PL4-1,0.137,0.137,0.137,0.134,0.134,0.141,0.137,0.141,0.0,0.0,0.0,0.031,0.031,0.031,0.043,0.097,0.247,0.247,0.251,0.245,0.245,0.243,0.243,0.243,0.243,0.245,0.239,0.235
Pfok_T42-1,0.141,0.141,0.141,0.137,0.137,0.144,0.141,0.144,0.031,0.031,0.031,0.0,0.043,0.043,0.053,0.102,0.249,0.249,0.253,0.247,0.247,0.245,0.245,0.245,0.245,0.247,0.241,0.237
Pfok_strain14,0.141,0.141,0.141,0.137,0.137,0.144,0.141,0.144,0.031,0.031,0.031,0.043,0.0,0.0,0.031,0.092,0.245,0.245,0.249,0.243,0.243,0.241,0.241,0.241,0.241,0.243,0.241,0.237
Pfok_CyL3-21,0.141,0.141,0.141,0.137,0.137,0.144,0.141,0.144,0.031,0.031,0.031,0.043,0.0,0.0,0.031,0.092,0.245,0.245,0.249,0.243,0.243,0.241,0.241,0.241,0.241,0.243,0.241,0.237
Pfok_strain6,0.144,0.144,0.144,0.141,0.141,0.147,0.144,0.147,0.043,0.043,0.043,0.053,0.031,0.031,0.0,0.097,0.247,0.247,0.251,0.245,0.245,0.243,0.243,0.243,0.243,0.245,0.243,0.239
Pfok_strain12,0.137,0.137,0.137,0.134,0.134,0.141,0.137,0.141,0.097,0.097,0.097,0.102,0.092,0.092,0.097,0.0,0.251,0.251,0.255,0.249,0.249,0.247,0.247,0.247,0.249,0.251,0.249,0.245
Plyn_SP-1,0.251,0.251,0.251,0.253,0.253,0.251,0.255,0.256,0.247,0.247,0.247,0.249,0.245,0.245,0.247,0.251,0.0,0.0,0.061,0.031,0.031,0.043,0.061,0.061,0.176,0.179,0.182,0.182
Plyn_HSG3-10,0.251,0.251,0.251,0.253,0.253,0.251,0.255,0.256,0.247,0.247,0.247,0.249,0.245,0.245,0.247,0.251,0.0,0.0,0.061,0.031,0.031,0.043,0.061,0.061,0.176,0.179,0.182,0.182
Plyn_SD11-9,0.255,0.255,0.255,0.256,0.256,0.255,0.258,0.26,0.251,0.251,0.251,0.253,0.249,0.249,0.251,0.255,0.061,0.061,0.0,0.053,0.053,0.061,0.075,0.075,0.187,0.189,0.192,0.192
Plyn_ShKm41,0.249,0.249,0.249,0.251,0.251,0.249,0.253,0.255,0.245,0.245,0.245,0.247,0.243,0.243,0.245,0.249,0.031,0.031,0.053,0.0,0.0,0.031,0.053,0.053,0.179,0.182,0.184,0.184
Plyn_TRB101-1,0.249,0.249,0.249,0.251,0.251,0.249,0.253,0.255,0.245,0.245,0.245,0.247,0.243,0.243,0.245,0.249,0.031,0.031,0.053,0.0,0.0,0.031,0.053,0.053,0.179,0.182,0.184,0.184
Plyn_PO16-1,0.247,0.247,0.247,0.249,0.249,0.247,0.251,0.253,0.243,0.243,0.243,0.245,0.241,0.241,0.243,0.247,0.043,0.043,0.061,0.031,0.031,0.0,0.043,0.043,0.176,0.179,0.182,0.182
Plyn_C8-2,0.247,0.247,0.247,0.249,0.249,0.247,0.251,0.253,0.243,0.243,0.243,0.245,0.241,0.241,0.243,0.247,0.061,0.061,0.075,0.053,0.053,0.043,0.0,0.0,0.171,0.174,0.176,0.176
Plyn_V105-1,0.247,0.247,0.247,0.249,0.249,0.247,0.251,0.253,0.243,0.243,0.243,0.245,0.241,0.241,0.243,0.247,0.061,0.061,0.075,0.053,0.053,0.043,0.0,0.0,0.171,0.174,0.176,0.176
Pcaud_Kr113-3,0.256,0.256,0.256,0.258,0.258,0.256,0.26,0.262,0.243,0.243,0.243,0.245,0.241,0.241,0.243,0.249,0.176,0.176,0.187,0.179,0.179,0.176,0.171,0.171,0.0,0.031,0.053,0.069
Pcaud_K5-2,0.258,0.258,0.258,0.26,0.26,0.258,0.262,0.264,0.245,0.245,0.245,0.247,0.243,0.243,0.245,0.251,0.179,0.179,0.189,0.182,0.182,0.179,0.174,0.174,0.031,0.0,0.061,0.075
Pcaud_CA,0.253,0.253,0.253,0.255,0.255,0.253,0.256,0.258,0.239,0.239,0.239,0.241,0.241,0.241,0.243,0.249,0.182,0.182,0.192,0.184,0.184,0.182,0.176,0.176,0.053,0.061,0.0,0.043
Pcaud_GB4-26,0.249,0.249,0.249,0.251,0.251,0.249,0.253,0.255,0.235,0.235,0.235,0.237,0.237,0.237,0.239,0.245,0.182,0.182,0.192,0.184,0.184,0.182,0.176,0.176,0.069,0.075,0.043,0.0
