,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pbur_K11-4B,0.0,0.327,0.564,0.564,0.549,0.538,0.557,0.559,0.55,0.55,0.534,0.535,0.541,0.54,0.516,0.516,0.516,0.517,0.517,0.516,0.519,0.519,0.519,0.535,0.525,0.637,0.643,0.63,0.635,0.631,0.556,0.571,0.566,0.557,0.528,0.544,0.541,0.547,0.54,0.541,0.557,0.557,0.554,0.553
Pbur_OLI,0.327,0.0,0.577,0.577,0.534,0.519,0.535,0.531,0.519,0.519,0.537,0.538,0.544,0.535,0.519,0.519,0.519,0.52,0.519,0.519,0.519,0.517,0.517,0.531,0.52,0.632,0.626,0.622,0.625,0.626,0.559,0.577,0.566,0.556,0.519,0.551,0.526,0.526,0.52,0.522,0.535,0.535,0.526,0.522
Pclor_HSG1-11,0.564,0.577,0.0,0.0,0.541,0.534,0.546,0.544,0.549,0.549,0.528,0.532,0.543,0.529,0.522,0.522,0.522,0.523,0.522,0.522,0.528,0.526,0.526,0.534,0.535,0.612,0.621,0.61,0.63,0.608,0.519,0.543,0.522,0.571,0.547,0.538,0.54,0.543,0.534,0.537,0.547,0.546,0.55,0.551
Pclor_Kon,0.564,0.577,0.0,0.0,0.541,0.534,0.546,0.544,0.549,0.549,0.528,0.532,0.543,0.529,0.522,0.522,0.522,0.523,0.522,0.522,0.528,0.526,0.526,0.534,0.535,0.612,0.621,0.61,0.63,0.608,0.519,0.543,0.522,0.571,0.547,0.538,0.54,0.543,0.534,0.537,0.547,0.546,0.55,0.551
Pmult_OmN-1,0.549,0.534,0.541,0.541,0.0,0.211,0.215,0.296,0.282,0.282,0.357,0.355,0.334,0.359,0.361,0.361,0.361,0.364,0.359,0.361,0.376,0.374,0.374,0.383,0.407,0.502,0.498,0.487,0.505,0.479,0.474,0.519,0.5,0.498,0.497,0.494,0.106,0.16,0.183,0.219,0.222,0.215,0.307,0.288
Pmult_CyP5-3,0.538,0.519,0.534,0.534,0.211,0.0,0.219,0.288,0.274,0.274,0.355,0.352,0.334,0.366,0.37,0.37,0.37,0.372,0.368,0.37,0.381,0.379,0.379,0.387,0.399,0.506,0.498,0.49,0.503,0.484,0.469,0.516,0.498,0.503,0.49,0.495,0.191,0.203,0.149,0.056,0.226,0.219,0.291,0.279
Pmult_ChP3-4,0.557,0.535,0.546,0.546,0.215,0.219,0.0,0.317,0.301,0.301,0.383,0.385,0.35,0.381,0.374,0.374,0.374,0.376,0.372,0.374,0.389,0.387,0.387,0.393,0.42,0.5,0.494,0.487,0.494,0.474,0.482,0.537,0.517,0.516,0.503,0.514,0.203,0.222,0.203,0.226,0.056,0.0,0.319,0.307
Pfok_strain12,0.559,0.531,0.544,0.544,0.296,0.288,0.317,0.0,0.271,0.271,0.389,0.381,0.381,0.381,0.376,0.376,0.376,0.379,0.381,0.376,0.387,0.389,0.389,0.387,0.424,0.523,0.517,0.505,0.522,0.503,0.487,0.529,0.505,0.498,0.495,0.49,0.291,0.285,0.288,0.293,0.317,0.317,0.2,0.276
Pfok_CyL3-21,0.55,0.519,0.549,0.549,0.282,0.274,0.301,0.271,0.0,0.0,0.37,0.372,0.383,0.379,0.376,0.376,0.376,0.379,0.379,0.376,0.387,0.385,0.385,0.37,0.419,0.516,0.514,0.498,0.52,0.503,0.479,0.52,0.5,0.505,0.495,0.497,0.262,0.279,0.271,0.279,0.307,0.301,0.249,0.056
Pfok_strain14,0.55,0.519,0.549,0.549,0.282,0.274,0.301,0.271,0.0,0.0,0.37,0.372,0.383,0.379,0.376,0.376,0.376,0.379,0.379,0.376,0.387,0.385,0.385,0.37,0.419,0.516,0.514,0.498,0.52,0.503,0.479,0.52,0.5,0.505,0.495,0.497,0.262,0.279,0.271,0.279,0.307,0.301,0.249,0.056
