,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06
Pbur_K11-4B,0.0,0.327,0.565,0.565,0.551,0.541,0.56,0.561,0.552,0.552,0.535,0.536,0.542,0.541,0.517,0.517,0.517,0.518,0.518,0.517,0.52,0.52,0.52,0.536,0.526,0.638,0.644,0.631,0.636,0.632,0.557,0.572,0.567,0.545,0.526,0.545
Pbur_OLI,0.327,0.0,0.578,0.578,0.536,0.521,0.538,0.533,0.521,0.521,0.538,0.539,0.545,0.536,0.52,0.52,0.52,0.521,0.52,0.52,0.52,0.518,0.518,0.532,0.521,0.633,0.627,0.623,0.626,0.627,0.56,0.578,0.567,0.552,0.518,0.552
Pclor_HSG1-11,0.565,0.578,0.0,0.0,0.544,0.536,0.548,0.547,0.551,0.551,0.529,0.533,0.544,0.53,0.523,0.523,0.523,0.524,0.523,0.523,0.529,0.527,0.527,0.535,0.536,0.613,0.622,0.611,0.631,0.609,0.52,0.544,0.523,0.554,0.533,0.539
Pclor_Kon,0.565,0.578,0.0,0.0,0.544,0.536,0.548,0.547,0.551,0.551,0.529,0.533,0.544,0.53,0.523,0.523,0.523,0.524,0.523,0.523,0.529,0.527,0.527,0.535,0.536,0.613,0.622,0.611,0.631,0.609,0.52,0.544,0.523,0.554,0.533,0.539
Pmult_OmN-1,0.551,0.536,0.544,0.544,0.0,0.211,0.215,0.296,0.283,0.283,0.36,0.357,0.337,0.362,0.364,0.364,0.364,0.366,0.362,0.364,0.379,0.377,0.377,0.385,0.41,0.504,0.501,0.49,0.507,0.481,0.476,0.521,0.502,0.52,0.504,0.496
Pmult_CyP5-3,0.541,0.521,0.536,0.536,0.211,0.0,0.219,0.288,0.274,0.274,0.357,0.355,0.337,0.368,0.373,0.373,0.373,0.375,0.371,0.373,0.383,0.381,0.381,0.39,0.402,0.509,0.501,0.493,0.506,0.486,0.471,0.518,0.501,0.524,0.499,0.498
Pmult_ChP3-4,0.56,0.538,0.548,0.548,0.215,0.219,0.0,0.317,0.302,0.302,0.385,0.388,0.353,0.383,0.377,0.377,0.377,0.379,0.375,0.377,0.392,0.39,0.39,0.396,0.423,0.502,0.496,0.49,0.496,0.476,0.485,0.539,0.52,0.532,0.509,0.517
Pfok_strain12,0.561,0.533,0.547,0.547,0.296,0.288,0.317,0.0,0.271,0.271,0.392,0.383,0.383,0.383,0.379,0.379,0.379,0.381,0.383,0.379,0.39,0.392,0.392,0.39,0.427,0.526,0.52,0.507,0.524,0.506,0.49,0.532,0.507,0.52,0.502,0.493
Pfok_CyL3-21,0.552,0.521,0.551,0.551,0.283,0.274,0.302,0.271,0.0,0.0,0.373,0.375,0.385,0.381,0.379,0.379,0.379,0.381,0.381,0.379,0.39,0.388,0.388,0.373,0.421,0.518,0.517,0.501,0.523,0.506,0.481,0.523,0.502,0.523,0.502,0.499
Pfok_strain14,0.552,0.521,0.551,0.551,0.283,0.274,0.302,0.271,0.0,0.0,0.373,0.375,0.385,0.381,0.379,0.379,0.379,0.381,0.381,0.379,0.39,0.388,0.388,0.373,0.421,0.518,0.517,0.501,0.523,0.506,0.481,0.523,0.502,0.523,0.502,0.499
Pcaud_V-1,0.535,0.538,0.529,0.529,0.36,0.357,0.385,0.392,0.373,0.373,0.0,0.089,0.265,0.283,0.351,0.351,0.351,0.353,0.346,0.351,0.362,0.36,0.36,0.353,0.396,0.502,0.512,0.473,0.504,0.471,0.485,0.504,0.496,0.52,0.491,0.493
Pcaud_OR4-4,0.536,0.539,0.533,0.533,0.357,0.355,0.388,0.383,0.375,0.375,0.089,0.0,0.268,0.277,0.351,0.351,0.351,0.353,0.346,0.351,0.362,0.36,0.36,0.351,0.398,0.506,0.509,0.47,0.501,0.475,0.481,0.504,0.496,0.521,0.491,0.491
Pcaud_SH42,0.542,0.545,0.544,0.544,0.337,0.337,0.353,0.383,0.385,0.385,0.265,0.268,0.0,0.299,0.337,0.337,0.337,0.339,0.334,0.337,0.353,0.351,0.351,0.366,0.39,0.509,0.498,0.478,0.493,0.485,0.488,0.515,0.502,0.536,0.498,0.51
Pcaud_INL-1,0.541,0.536,0.53,0.53,0.362,0.368,0.383,0.383,0.381,0.381,0.283,0.277,0.299,0.0,0.33,0.33,0.33,0.332,0.332,0.33,0.337,0.334,0.334,0.357,0.385,0.499,0.501,0.478,0.499,0.481,0.486,0.515,0.491,0.538,0.496,0.504
Plyn_SD11-9,0.517,0.52,0.523,0.523,0.364,0.373,0.377,0.379,0.379,0.379,0.351,0.351,0.337,0.33,0.0,0.0,0.0,0.04,0.057,0.04,0.144,0.138,0.138,0.371,0.366,0.509,0.513,0.506,0.524,0.496,0.483,0.51,0.478,0.523,0.498,0.501
Plyn_V105-1,0.517,0.52,0.523,0.523,0.364,0.373,0.377,0.379,0.379,0.379,0.351,0.351,0.337,0.33,0.0,0.0,0.0,0.04,0.057,0.04,0.144,0.138,0.138,0.371,0.366,0.509,0.513,0.506,0.524,0.496,0.483,0.51,0.478,0.523,0.498,0.501
Plyn_PO16-1,0.517,0.52,0.523,0.523,0.364,0.373,0.377,0.379,0.379,0.379,0.351,0.351,0.337,0.33,0.0,0.0,0.0,0.04,0.057,0.04,0.144,0.138,0.138,0.371,0.366,0.509,0.513,0.506,0.524,0.496,0.483,0.51,0.478,0.523,0.498,0.501
Plyn_CB8-2,0.518,0.521,0.524,0.524,0.366,0.375,0.379,0.381,0.381,0.381,0.353,0.353,0.339,0.332,0.04,0.04,0.04,0.0,0.069,0.057,0.15,0.144,0.144,0.373,0.368,0.51,0.515,0.507,0.526,0.498,0.485,0.512,0.48,0.524,0.499,0.502
Plyn_HSG3-10,0.518,0.52,0.523,0.523,0.362,0.371,0.375,0.383,0.381,0.381,0.346,0.346,0.334,0.332,0.057,0.057,0.057,0.069,0.0,0.069,0.144,0.138,0.138,0.366,0.366,0.507,0.512,0.506,0.521,0.496,0.485,0.509,0.48,0.521,0.498,0.501
Plyn_SP-1,0.517,0.52,0.523,0.523,0.364,0.373,0.377,0.379,0.379,0.379,0.351,0.351,0.337,0.33,0.04,0.04,0.04,0.057,0.069,0.0,0.15,0.144,0.144,0.371,0.366,0.51,0.513,0.506,0.524,0.496,0.483,0.51,0.478,0.524,0.499,0.502
