,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_ChP5-3,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.176,0.118,0.118,0.47,0.603,0.47,0.592,0.235,0.235,0.235,0.235,0.0,0.059,0.118,0.0,0.118,1.233,1.297,1.292,1.263,1.292,1.292,1.292,1.292,1.292,1.292,1.278,1.233
Pmult_PS23,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.124,0.124,0.124,0.124,0.124,0.185,0.124,0.124,0.494,0.274,0.494,0.434,0.247,0.247,0.247,0.247,0.0,0.062,0.124,0.0,0.062,1.297,1.359,1.359,1.324,1.359,1.359,1.359,1.359,1.359,1.359,1.297,1.297
Pmult_ChP10-2,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.176,0.118,0.118,0.47,0.603,0.47,0.592,0.235,0.235,0.235,0.235,0.0,0.059,0.118,0.0,0.118,1.233,1.297,1.292,1.263,1.292,1.292,1.292,1.292,1.292,1.292,1.278,1.233
Pmult_L72-1,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.176,0.118,0.118,0.47,0.603,0.47,0.592,0.235,0.235,0.235,0.235,0.0,0.059,0.118,0.0,0.118,1.233,1.297,1.292,1.263,1.292,1.292,1.292,1.292,1.292,1.292,1.278,1.233
Pmult_strain4,0.059,0.062,0.059,0.059,0.0,0.059,0.059,0.177,0.177,0.177,0.177,0.177,0.236,0.177,0.177,0.531,0.69,0.531,0.651,0.295,0.295,0.295,0.295,0.059,0.118,0.177,0.059,0.118,1.297,1.356,1.356,1.323,1.356,1.356,1.356,1.356,1.356,1.356,1.345,1.297
Pmult_R51-6,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.176,0.118,0.118,0.47,0.603,0.47,0.592,0.235,0.235,0.235,0.235,0.0,0.059,0.118,0.0,0.118,1.233,1.297,1.292,1.263,1.292,1.292,1.292,1.292,1.292,1.292,1.278,1.233
Pmult_K4-2,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.176,0.118,0.118,0.47,0.603,0.47,0.592,0.235,0.235,0.235,0.235,0.0,0.059,0.118,0.0,0.118,1.233,1.297,1.292,1.263,1.292,1.292,1.292,1.292,1.292,1.292,1.278,1.233
Pmult_AC2,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.059,0.236,0.236,0.354,0.431,0.354,0.474,0.118,0.118,0.118,0.118,0.118,0.177,0.0,0.118,0.177,1.179,1.237,1.237,1.202,1.237,1.237,1.237,1.237,1.237,1.237,1.222,1.179
Pmult_PC6,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.059,0.236,0.236,0.354,0.431,0.354,0.474,0.118,0.118,0.118,0.118,0.118,0.177,0.0,0.118,0.177,1.179,1.237,1.237,1.202,1.237,1.237,1.237,1.237,1.237,1.237,1.222,1.179
Pmult_TP2_India,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.059,0.236,0.236,0.354,0.431,0.354,0.474,0.118,0.118,0.118,0.118,0.118,0.177,0.0,0.118,0.177,1.179,1.237,1.237,1.202,1.237,1.237,1.237,1.237,1.237,1.237,1.222,1.179
