,Pmult_strain4,Pmult_Kr154-4,Pmult_ThK-16,Pmult_R51-6,Pmult_L72-1,Pmult_CyP5-3,Pmult_OmN-1,Pmult_ChP10-2,Pfok_FCB10-1,Pfok_SMM81-1,Pfok_PL4-1,Pfok_T42-1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain6,Pfok_strain12,Plyn_SP-1,Plyn_HSG3-10,Plyn_SD11-9,Plyn_ShKm41,Plyn_TRB101-1,Plyn_PO16-1,Plyn_C8-2,Plyn_V105-1,Pcaud_Kr113-3,Pcaud_K5-2,Pcaud_CA,Pcaud_GB4-26
Pmult_strain4,0.0,0.0,0.0,0.094,0.094,0.094,0.188,0.094,1.883,1.883,1.883,1.977,1.977,1.977,2.072,1.883,5.728,5.728,5.915,5.634,5.634,5.54,5.54,5.54,6.009,6.103,5.822,5.634
Pmult_Kr154-4,0.0,0.0,0.0,0.094,0.094,0.094,0.188,0.094,1.883,1.883,1.883,1.977,1.977,1.977,2.072,1.883,5.728,5.728,5.915,5.634,5.634,5.54,5.54,5.54,6.009,6.103,5.822,5.634
Pmult_ThK-16,0.0,0.0,0.0,0.094,0.094,0.094,0.188,0.094,1.883,1.883,1.883,1.977,1.977,1.977,2.072,1.883,5.728,5.728,5.915,5.634,5.634,5.54,5.54,5.54,6.009,6.103,5.822,5.634
Pmult_R51-6,0.094,0.094,0.094,0.0,0.0,0.188,0.094,0.0,1.789,1.789,1.789,1.883,1.883,1.883,1.977,1.789,5.822,5.822,6.009,5.728,5.728,5.634,5.634,5.634,6.103,6.197,5.915,5.728
Pmult_L72-1,0.094,0.094,0.094,0.0,0.0,0.188,0.094,0.0,1.789,1.789,1.789,1.883,1.883,1.883,1.977,1.789,5.822,5.822,6.009,5.728,5.728,5.634,5.634,5.634,6.103,6.197,5.915,5.728
Pmult_CyP5-3,0.094,0.094,0.094,0.188,0.188,0.0,0.282,0.188,1.977,1.977,1.977,2.072,2.072,2.072,2.166,1.977,5.728,5.728,5.915,5.634,5.634,5.54,5.54,5.54,6.009,6.103,5.822,5.634
Pmult_OmN-1,0.188,0.188,0.188,0.094,0.094,0.282,0.0,0.094,1.883,1.883,1.883,1.977,1.977,1.977,2.072,1.883,5.915,5.915,6.103,5.822,5.822,5.728,5.728,5.728,6.197,6.291,6.009,5.822
Pmult_ChP10-2,0.094,0.094,0.094,0.0,0.0,0.188,0.094,0.0,1.789,1.789,1.789,1.883,1.883,1.883,1.977,1.789,5.822,5.822,6.009,5.728,5.728,5.634,5.634,5.634,6.103,6.197,5.915,5.728
Pfok_FCB10-1,1.883,1.883,1.883,1.789,1.789,1.977,1.883,1.789,0.0,0.0,0.0,0.094,0.094,0.094,0.188,0.942,5.54,5.54,5.728,5.446,5.446,5.352,5.352,5.352,5.352,5.446,5.164,4.977
Pfok_SMM81-1,1.883,1.883,1.883,1.789,1.789,1.977,1.883,1.789,0.0,0.0,0.0,0.094,0.094,0.094,0.188,0.942,5.54,5.54,5.728,5.446,5.446,5.352,5.352,5.352,5.352,5.446,5.164,4.977
