,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pbur_K11-4B,0.0,10.669,31.847,31.847,30.096,28.981,31.051,31.21,30.255,30.255,28.503,28.662,29.299,29.14,26.592,26.592,26.592,26.752,26.752,26.592,26.911,26.911,26.911,28.662,27.548,40.605,41.401,39.65,39.809,39.809,30.892,32.643,32.006,30.096,26.911,29.618,29.299,29.936,29.14,29.299,31.051,31.051,30.732,30.573
Pbur_OLI,10.669,0.0,33.28,33.28,28.503,26.911,28.662,28.185,26.911,26.911,28.822,28.981,29.618,28.662,26.911,26.911,26.911,27.07,26.911,26.911,26.911,26.752,26.752,28.185,27.07,39.968,39.172,38.694,38.535,39.172,31.21,33.28,32.006,29.936,25.955,30.414,27.707,27.707,27.07,27.229,28.662,28.662,27.707,27.229
Pclor_HSG1-11,31.847,33.28,0.0,0.0,29.299,28.503,29.777,29.618,30.096,30.096,27.866,28.344,29.459,28.025,27.229,27.229,27.229,27.389,27.229,27.229,27.866,27.707,27.707,28.503,28.662,37.42,38.535,37.261,39.172,36.943,26.911,29.459,27.229,31.688,28.981,28.981,29.14,29.459,28.503,28.822,29.936,29.777,30.255,30.414
Pclor_Kon,31.847,33.28,0.0,0.0,29.299,28.503,29.777,29.618,30.096,30.096,27.866,28.344,29.459,28.025,27.229,27.229,27.229,27.389,27.229,27.229,27.866,27.707,27.707,28.503,28.662,37.42,38.535,37.261,39.172,36.943,26.911,29.459,27.229,31.688,28.981,28.981,29.14,29.459,28.503,28.822,29.936,29.777,30.255,30.414
Pmult_OmN-1,30.096,28.503,29.299,29.299,0.0,4.459,4.618,8.758,7.962,7.962,12.739,12.58,11.146,12.898,13.057,13.057,13.057,13.217,12.898,13.057,14.172,14.013,14.013,14.65,16.561,25.159,24.841,23.726,25.0,22.93,22.452,26.911,25.0,23.885,23.726,24.363,1.115,2.548,3.344,4.777,4.936,4.618,9.395,8.28
Pmult_CyP5-3,28.981,26.911,28.503,28.503,4.459,0.0,4.777,8.28,7.484,7.484,12.58,12.42,11.146,13.376,13.694,13.694,13.694,13.854,13.535,13.694,14.49,14.331,14.331,14.968,15.924,25.637,24.841,24.045,24.841,23.408,21.975,26.592,24.841,24.363,23.089,24.522,3.662,4.14,2.229,0.318,5.096,4.777,8.439,7.803
Pmult_ChP3-4,31.051,28.662,29.777,29.777,4.618,4.777,0.0,10.032,9.076,9.076,14.65,14.809,12.261,14.49,14.013,14.013,14.013,14.172,13.854,14.013,15.127,14.968,14.968,15.446,17.675,25.0,24.363,23.726,23.885,22.452,23.248,28.822,26.752,25.637,24.363,26.433,4.14,4.936,4.14,5.096,0.318,0.0,10.191,9.395
Pfok_strain12,31.21,28.185,29.618,29.618,8.758,8.28,10.032,0.0,7.325,7.325,15.127,14.49,14.49,14.49,14.172,14.172,14.172,14.331,14.49,14.172,14.968,15.127,15.127,14.968,17.994,27.389,26.752,25.478,26.752,25.318,23.726,28.025,25.478,23.885,23.567,24.045,8.439,8.121,8.28,8.599,10.032,10.032,3.981,7.643
Pfok_CyL3-21,30.255,26.911,30.096,30.096,7.962,7.484,9.076,7.325,0.0,0.0,13.694,13.854,14.65,14.331,14.172,14.172,14.172,14.331,14.331,14.172,14.968,14.809,14.809,13.694,17.516,26.592,26.433,24.841,26.592,25.318,22.93,27.07,25.0,24.522,23.567,24.682,6.847,7.803,7.325,7.803,9.395,9.076,6.21,0.318
Pfok_strain14,30.255,26.911,30.096,30.096,7.962,7.484,9.076,7.325,0.0,0.0,13.694,13.854,14.65,14.331,14.172,14.172,14.172,14.331,14.331,14.172,14.968,14.809,14.809,13.694,17.516,26.592,26.433,24.841,26.592,25.318,22.93,27.07,25.0,24.522,23.567,24.682,6.847,7.803,7.325,7.803,9.395,9.076,6.21,0.318
