,Pmult_ChP5-3,Pmult_strain16,Pmult_strain17,Pmult_G1-2,Pmult_PrO166-3,Pmult_strain4,Pmult_Kr154-4,Pmult_Ir3-6,Pmult_D237-6,Pmult_SPb63-2,Pmult_SR212-9,Pmult_SR213-1,Pmult_AMA5-7,Pmult_ThK-16,Pmult_K4-2,Pmult_SK6-3,Pmult_Wg8,Pmult_BR,Pmult_R51-6,Pmult_L72-1,Pmult_CyP5-3,Pmult_ITR,Pmult_OmN-1,Pmult_Or4-3,Pmult_LB-1,Pmult_MSA-5,Pmult_ChP10-2,Pfok_FCB10-1,Pfok_SMM81-1,Pfok_PL4-1,Pfok_T42-1,Pfok_AM,Pfok_strain14,Pfok_CyL3-21,Pfok_strain6,Pfok_strain12,Pfok_US_Bl_16I1,Plyn_SP-1,Plyn_HSG3-10,Plyn_SD11-9,Plyn_ShKm41,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_PO16-1,Plyn_C8-2,Plyn_V105-1,Pcaud_Kr113-3,Pcaud_K5-2,Pcaud_43c3d,Pcaud_CA,Pcaud_GB4-26
Pmult_ChP5-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_strain16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_strain17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_G1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_PrO166-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_strain4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_Kr154-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_Ir3-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_D237-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
Pmult_SPb63-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009421839,0.0009434658,0.0018882120999999998,0.0009434658,0.0018893493,0.0009430725,0.0018929259,0.0196159599,0.0196159599,0.0196159599,0.0206391191,0.0206391191,0.0206391191,0.0206391191,0.0216362254,0.0195220756,0.0195220756,0.0725703806,0.0725703806,0.07503076389999999,0.0714748856,0.0714748856,0.0714748856,0.0703806412,0.0702806421,0.0702806421,0.0740328027,0.0752436891,0.07829582759999999,0.0715747762,0.0692373074
