,Pmult_G1-2,Pmult_C7,Pmult_AMA5-7,Pmult_ISN-11,Pmult_C1(1),Pmult_ID1-13,Pmult_MSA-5,Pmult_AH1-5,Pmult_N16,Pmult_C6,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_LB2,Pmult_C3(1),Pmult_C3(2),Pmult_SPb63-2,Pmult_BSP-7,Pmult_K4-2,Pmult_SMM80-11,Pmult_ChP10-2,Pmult_L72-1,Pmult_Peniche31,Pmult_Wg8,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_OLI-Parame-mult-03,Pmult_C12,Pmult_Chp5-3,Pmult_E59-1B,Pmult_IP2-1,Pfok_SMM81-1,Pfok_T42-1,Pfok_AM,Pfok_M04,Pfok_BR,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_PL4-1,Pfok_strain14,Pfok_N6,Pfok_OLI-Parame-mult-01,Pfok_OLI-Parame-mult-02
Pmult_G1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_C7,0.0016043473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_AMA5-7,0.0000000000,0.0016043473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_ISN-11,0.0000000000,0.0015520608,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_C1(1),0.0000000000,0.0013222352,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_ID1-13,0.0000000000,0.0013222352,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_MSA-5,0.0000000000,0.0013222352,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_AH1-5,0.0015996067,0.0031079418,0.0015996067,0.0015476237,0.0015476237,0.0015476237,0.0015476237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_N16,0.0032127760,0.0039847714,0.0032127760,0.0031079418,0.0026472443,0.0026472443,0.0026472443,0.0046676463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_C6,0.0032127760,0.0039847714,0.0032127760,0.0031079418,0.0026472443,0.0026472443,0.0026472443,0.0046676463,0.0053186010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_OmN-1,0.0476261887,0.0463257584,0.0476261887,0.0476867041,0.0462592387,0.0462592387,0.0462592387,0.0493908328,0.0492892860,0.0463766582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_R51-6,0.0389446810,0.0406449561,0.0389446810,0.0392921947,0.0405867575,0.0405867575,0.0405867575,0.0409791241,0.0435863834,0.0406899061,0.0133767441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_SK6-3,0.0440551266,0.0462592387,0.0440551266,0.0459276058,0.0446979118,0.0446979118,0.0446979118,0.0476255887,0.0477103569,0.0448110601,0.0259521495,0.0288151655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_LB2,0.0440551266,0.0462592387,0.0440551266,0.0459276058,0.0446979118,0.0446979118,0.0446979118,0.0476255887,0.0477103569,0.0448110601,0.0259521495,0.0288151655,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_C3(1),0.0229166725,0.0216312540,0.0229166725,0.0221554641,0.0202083555,0.0202083555,0.0202083555,0.0237668071,0.0230070046,0.0230070046,0.0375726730,0.0376677733,0.0388211359,0.0388211359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_C3(2),0.0229166725,0.0230070046,0.0229166725,0.0237668071,0.0215778875,0.0215778875,0.0215778875,0.0253820158,0.0243855716,0.0243855716,0.0361435821,0.0362350365,0.0373958137,0.0373958137,0.0013190131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_SPb63-2,0.0212813236,0.0225710064,0.0212813236,0.0212813236,0.0208715262,0.0208715262,0.0208715262,0.0229470624,0.0242129740,0.0242129740,0.0363562835,0.0364178048,0.0362138463,0.0362138463,0.0047263705,0.0047263705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_BSP-7,0.0471914619,0.0507972330,0.0471914619,0.0489547097,0.0489547097,0.0489547097,0.0489547097,0.0506476455,0.0524992423,0.0524992423,0.0567539255,0.0585945422,0.0513594034,0.0513594034,0.0386334390,0.0369786854,0.0383200570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_K4-2,0.0372046727,0.0406449561,0.0372046727,0.0376092865,0.0405867575,0.0405867575,0.0405867575,0.0392921947,0.0435863834,0.0406899061,0.0160855620,0.0026407906,0.0316247521,0.0316247521,0.0405420262,0.0391034352,0.0381201818,0.0603419363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_SMM80-11,0.0389446810,0.0406449561,0.0389446810,0.0392921947,0.0405867575,0.0405867575,0.0405867575,0.0409791241,0.0435863834,0.0406899061,0.0133767441,0.0000000000,0.0288151655,0.0288151655,0.0376677733,0.0362350365,0.0364178048,0.0585945422,0.0026407906,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_ChP10-2,0.0425096393,0.0435994644,0.0425096393,0.0427401100,0.0435367801,0.0435367801,0.0435367801,0.0444379656,0.0465601361,0.0436476441,0.0133946578,0.0052996589,0.0288547223,0.0288547223,0.0377203247,0.0362855397,0.0347769819,0.0621975641,0.0079661489,0.0052996589,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_L72-1,0.0406889871,0.0420901721,0.0406889871,0.0409791241,0.0420298236,0.0420298236,0.0420298236,0.0426700811,0.0450390453,0.0421366716,0.0120265299,0.0039653346,0.0274146595,0.0274146595,0.0362350365,0.0348052212,0.0330254246,0.0603419363,0.0066227307,0.0039653346,0.0013207551,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_Peniche31,0.0423076218,0.0433802935,0.0423076218,0.0425437295,0.0433182326,0.0433182326,0.0433182326,0.0442336550,0.0463257584,0.0434280106,0.0052984689,0.0106673778,0.0231468651,0.0231468651,0.0375313152,0.0361037565,0.0346155639,0.0549471999,0.0133620772,0.0106673778,0.0106816186,0.0093242147,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_Wg8,0.0440551266,0.0432521363,0.0440551266,0.0440551266,0.0431786012,0.0431786012,0.0431786012,0.0458069337,0.0467551209,0.0433087140,0.0063096641,0.0095032836,0.0226377343,0.0226377343,0.0345702440,0.0345702440,0.0363086866,0.0569330574,0.0111009593,0.0095032836,0.0079220865,0.0063197723,0.0015694826,,,,,,,,,,,,,,,,,,,,,,,
Pmult_CyP5-3,0.0000000000,0.0013222352,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015476237,0.0026472443,0.0026472443,0.0462592387,0.0405867575,0.0446979118,0.0446979118,0.0202083555,0.0215778875,0.0208715262,0.0489547097,0.0405867575,0.0405867575,0.0435367801,0.0420298236,0.0433182326,0.0431786012,,,,,,,,,,,,,,,,,,,,,,
Pmult_ChP3-4,0.0511558896,0.0478314955,0.0511558896,0.0493908328,0.0462592387,0.0462592387,0.0462592387,0.0510990072,0.0492892860,0.0463766582,0.0493063926,0.0465105646,0.0536804203,0.0536804203,0.0418315014,0.0432707463,0.0448360898,0.0686093156,0.0494319775,0.0465105646,0.0465760897,0.0450543124,0.0434425342,0.0450479268,0.0462592387,,,,,,,,,,,,,,,,,,,,,
Pmult_ThK-16,0.0032223304,0.0039945613,0.0032223304,0.0031168825,0.0026537294,0.0026537294,0.0026537294,0.0046810804,0.0053316734,0.0053316734,0.0494147733,0.0436974918,0.0478314955,0.0478314955,0.0230640641,0.0244460715,0.0242845860,0.0526547882,0.0436974918,0.0436974918,0.0466790579,0.0451538904,0.0464435139,0.0468965181,0.0026537294,0.0494147733,,,,,,,,,,,,,,,,,,,,
Pmult_MB2-5,0.0547752512,0.0555883082,0.0547752512,0.0547752512,0.0536752926,0.0536752926,0.0536752926,0.0565575444,0.0573430648,0.0538377552,0.0521132869,0.0487149593,0.0520454429,0.0520454429,0.0465539745,0.0465539745,0.0483387533,0.0711932246,0.0504570081,0.0487149593,0.0470559145,0.0452434716,0.0468352366,0.0485677799,0.0536752926,0.0031469977,0.0575172408,,,,,,,,,,,,,,,,,,,
Pmult_OLI-Parame-mult-03,0.0511558896,0.0462592387,0.0511558896,0.0493908328,0.0446979118,0.0446979118,0.0446979118,0.0510990072,0.0477103569,0.0448110601,0.0477267191,0.0449399509,0.0520813917,0.0520813917,0.0402934843,0.0417261528,0.0448360898,0.0686093156,0.0478479506,0.0449399509,0.0450030450,0.0434903848,0.0418912897,0.0450479268,0.0446979118,0.0013222352,0.0478314955,0.0031469977,,,,,,,,,,,,,,,,,,
