	description	length
5C9181D926	 K11-4B P.bursaria MT078144.1	769
F10C5943C2	 HSG1-11 P.chlorelligerum KX669632.1	760
32A56D7A63	 P.multimicronucleatum Wg8 JF741271.1  USA, VA	638
A710810275	 P.multimicronucleatum OLI-Parame-mult-01 FJ905143.1 USA?	704
3F7924970D	 P.multimicronucleatum MB2-5 JF741245.1 Moldova	638
F2C9B1DBCD	 P.multimicronucleatum OLI-Parame-mult-03 FJ905145.1 Japan	760
22ACF1E2F7	 P.multimicronucleatum OLI-Parame-mult-02 FJ905144.1 USA?	760
415A432E7D	 P.multimicronucleatum haplotype C12 MH544200.1 China	760
69A07956D6	 P.multimicronucleatum haplotype C3(1) MH544190.1 China	760
83ACBD48C1	 P.multimicronucleatum haplotype C7 MH544195.1 China	760
3C8C09316E	 P.multimicronucleatum haplotype C3(2) MH544191.1 China	760
DF568CE49A	 P.multimicronucleatum L72-1 MT078145.1 Mexico	760
208A9C73FA	 P.multimicronucleatum K4-2 MT078146.1 Mexico	760
0692464571	 P.multimicronucleatum Chp5-3 MT078147.1 Mexico	759
A513045424	 P.multimicronucleatum T42-1 MT078148.1 Mexico	760
22B90BC2F9	 P.multimicronucleatum SMM81-1 MT078149.1 Mexico	760
2831DF3AE5	 P.caudatum V-1 MT078150.1 Mexico	760
BBEF6F9169	P.caudatum OLI-Parame-caud-01 FJ905142.1 USA?	726
8DDBC6F7F7	P.caudatum OLI-Parame-caud-02 FJ905148.1 Russia, SPb	760
D02BD76A25	P.caudatum SH42 MG013510.1 Germany	681
BB8124DC88	P.caudatum HUN-BA, FN256277.1 haplotype PcCOI_a12 Hungary	648
2C1F6ADA05	P.caudatum CA JF304187.1 Cyprus	717
FCDE09D4D1	P.caudatum PcC30 JX082093.1 China	760
8089EDB293	P.caudatum BRA-RIO FN256282.1 haplotype PcCOI_b03 Brazil	648
4F6CDDA271	P.caudatum INK-1 HQ149722.1 Indonesia	648
7016B6BE7B	 P.caudatum K5-2 MT078151.1 Mexico	756
8AD31A7546	LB2 Mexico	760
A74F4B729F	 “Paramecium germanicum” GO1 KM091240.1 Germany	703
F2F65E0F7C	strain 14 PP-2 Russia, Pskov region	737
D599DE06C9	SD11-9 Russia, SPb	724
6E5A6FDDD9	HSG3-10 Russia, SPb	761
27A184B4B6	CB8-2 MN264581.1 (Rautian) China	626
63EC3AF3B3	G1-2 MN264582.1 (Rautian)	626
6B647B213F	V105-1 MN264579.1 (Rautian) Russia, Vologda region	626
EDA93212B1	P.multimicronucleatum AMA5-7 MN264578.1 (Rautian)	626
5BCEAA1F51	P.multimicronucleatum AM MN264577.1 (Rautian)	617
4BB5FA86FF	P.multimicronucleatum GB4-26 MN264576.1 (Rautian) UK?	626
679FED019F	 P. multimicronucleatum Kr113-3 JF741258.1 Russia, Krasnoyarsk	638
BE6CA13FCD	P.multimicronucleatum mult M04(ParameciumDB)Australia	760
67250A3D48	P.multimicronucleatum Peniche31(ParameciumDB)Portugal	760
2CA4A83CAC	P.multimicronucleatum TRB101-1 JF741262.1 Russia, Baikal	638
D4A34ED86A	P.multimicronucleatum TRB101-4 JF741263.1 Russia, Baikal	638
89460CAC09	SK6-3 Mexico	760
106FCF64BB	R51-6 Mexico	760
80AC8B43F5	ChP10-2 Mexico	760
548A32507C	ChP3-4 Mexico	760
2023E27D09	E59-1B Mexico	760
012D624830	SMM80-11 Mexico	759
19E901AD17	CyL3-21 Cyprus	760
E63E3D3353	CyP5-3 Cyprus	760
715311003E	PO16-1 (COIlongF needed) Russia, Pskov region	744
F40C890AF7	SP-1 Russia, SPb	748
9464C347BF	Or4-4 Russia, Orenburg	760
51519BB04F	N6 (OP13) Russia, SPb	760
4EE69B1726	N16 (Ns2-16) Russia, Novosibirsk	760
F9C446D980	N12 (AB9-8) USA, MA	760
E60FEDE6D7	ThK-16 Thailand	760
E3E8D488D0	 P.multimicronucleatum BSP-7 AM072772.1 Brazil	648
F4C98DE271	 P.multimicronucleatum SPb63-2 JF741248.1 Russia, SPb	638
8270A2E22C	 P.multimicronucleatum ISN-11 AM072769.1 Italy	648
58F7F11A54	 P.multimicronucleatum AH1-5 AM072768.1 Hawaii	648
D08100723F	 P.multimicronucleatum BR JF304189.1 USA, LA	717
D0E37178C7	 P.multimicronucleatum US_Bl 16I1 MK806287.1 USA, IN	760
C48C8C194C	 P.multimicronucleatum haplotype C1(1) MH544185.1 China	760
C52E698CB3	 P.multimicronucleatum haplotype C6 MH544194.1 China	760
44FAB837D5	 P.caudatum INP-3 HQ149724.1 Indonesia	648
1AF9FCFAE0	 P.caudatum INL-1 HQ149723.1 Indonesia	648
965AAC90D1	mito_caud_C083 USA, IN	760
893BBDEA84	mito_caud_43c3d USA, IN	760
2611D1BC3E	mito_caud_GB-E, UK	760
CA1787FEBF	mito_caud_C026 USA, LA	760
064F6D2313	mito_caud_C104 Spain	760
33B712DA9F	 P.caudatum POE-1 HQ149725.1 Portugal	648
338E32E2DA	 P.caudatum G-E12 FN256263.1 Germany	648
5D6C096B69	 P.caudatum SLO-R FN256281.1 Slovenia	648
2D2C58D5CA	 P.caudatum M3 KY399443.1	648
EA186D39CE	 P.caudatum RanNy1602-AP18 MG589328.1 Germany	648
EA3735726E	 P.caudatum G-PL-2 FN256264.1 Germany	648
9BF6B7CAF6	OmN-1 USA, NE	760
70C028E4BF	ID1-13 India	760
A7B85FDAB2	MSA-5 Malta	760
BD7BA5F146	IP2-1 Italy	760
02526F5BDF	PL4-1 Portugal	760
F5D5E443E4	227 MT318934 P.septaurelia	767
8FDA66C874	V1-4 PBIAU.V1-4.MITO.1.G040 P.biaurelia	760
E1D61DAB10	 51 M15281.1 P.tetraurelia	757
8CDEE4BF35	N1A PQUAD.NiA.MITO.1.G040 P.quadecaurelia	760
301FFB9B85	 AZ8-4 PSEXA.AZ8-4.MITO.1.G040 P.sexaurelia	760
3C95954CEA	 274 PDODE.274.MITO.1.G040 P.dodecaurelia	760
A57F5929EA	 223 PDECA.223.MITO.1.G040 P.decaurelia	760
DD931CBB70	AZ9-3 PPRIM.AZ9-3.MITO.1.G040 P.primaurelia	760
DE74DCBA93	TE PNOVA.TE.MITO.1.G040 P.novaurelia	759
0E13E2BFC5	M PJENN.M.MITO.1.G040 P.jenningsi	760
C80EDD48AB	FT8 Paramecium sp.	760
383A0FBBF5	IP P. bursaria JF304186	723
1AB9140D10	Pb1C30 P. bursaria JX082041	769
