,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06
Pbur_K11-4B,0.0,0.1181525393,0.5249611094,0.5249611094,0.47015097170000003,0.442731506,0.49654089170000004,0.5123634374,0.4697294574,0.4955958482,0.454842384,0.46106863270000004,0.5172212964,0.5298341504999999,0.40172118560000003,0.46422337259999996,0.4025571277,0.46812614799999996,0.4000606507,0.39273000420000004,0.46891300799999996,0.46891300799999996,0.4213299059,0.4307501785,0.4524696821,0.8107360791,0.8675616131999999,0.801976244,0.7557629106,0.7744793001000001,0.4990707828,0.5431854891,0.5388127418,0.4932637211,0.43847248829999996,0.4939772295
Pbur_OLI,0.1181525393,0.0,0.5584382902,0.5584382902,0.4348226443,0.3971565511,0.43946273469999997,0.4373299115,0.3918757868,0.41581714329999997,0.4532589676,0.4594605403,0.5169392947,0.5118657562,0.4195998023,0.470962365,0.4199884329,0.4748948985,0.4104733252,0.4097830983,0.47366323060000004,0.4696512888,0.4257363274,0.4142030299,0.43361626700000006,0.7814258288,0.7664268278,0.7475833822,0.7378303468999999,0.7346267993000001,0.5168259423,0.5854933598,0.5345732853,0.502180163,0.42145423020000006,0.5169269611
Pclor_HSG1-11,0.5249611094,0.5584382902,0.0,0.0,0.4489033475,0.4330977925,0.46143822079999997,0.4579497228,0.4786400868,0.4907344396,0.4111871186,0.4230378165,0.4942734479,0.4820744439,0.4282466812,0.4788476293,0.4308203071,0.4828207352,0.4209554663,0.4243809454,0.5011096007,0.4969350467,0.4538072762,0.44121743049999995,0.4815378007,0.7062909458,0.7488736403,0.6750480657,0.7550362598,0.66205918,0.4145383663,0.4720561082,0.4130792667,0.5010726412,0.4354074944,0.47234694229999996
Pclor_Kon,0.5249611094,0.5584382902,0.0,0.0,0.4489033475,0.4330977925,0.46143822079999997,0.4579497228,0.4786400868,0.4907344396,0.4111871186,0.4230378165,0.4942734479,0.4820744439,0.4282466812,0.4788476293,0.4308203071,0.4828207352,0.4209554663,0.4243809454,0.5011096007,0.4969350467,0.4538072762,0.44121743049999995,0.4815378007,0.7062909458,0.7488736403,0.6750480657,0.7550362598,0.66205918,0.4145383663,0.4720561082,0.4130792667,0.5010726412,0.4354074944,0.47234694229999996
Pmult_OmN-1,0.47015097170000003,0.4348226443,0.4489033475,0.4489033475,0.0,0.0459028915,0.0489211358,0.09672030289999999,0.0816820925,0.0845645322,0.1552076131,0.1513689118,0.13856621789999998,0.15978232,0.1547241571,0.1681728175,0.1599718108,0.1705045796,0.1562563975,0.1551109934,0.1830716162,0.18067556420000003,0.1777807362,0.1792451265,0.22212832079999997,0.3568612604,0.3622149645,0.352812599,0.3481943659,0.3173660261,0.3003132978,0.3992275971,0.35871645869999996,0.4130003517,0.3672941739,0.3632051119
Pmult_CyP5-3,0.442731506,0.3971565511,0.4330977925,0.4330977925,0.0459028915,0.0,0.0459028915,0.09316410039999999,0.0768957948,0.0795972546,0.1537459277,0.14999570369999998,0.1417453189,0.1694378938,0.1617867363,0.179129277,0.166945492,0.18151738550000002,0.164980346,0.16389634320000002,0.189406095,0.18696924980000001,0.18104662670000002,0.181791549,0.2071887609,0.3618330707,0.367625319,0.3519014714,0.34656621390000003,0.3162229443,0.29292885739999996,0.39354256,0.3507397896,0.4235615561,0.35099539539999997,0.36024657979999997
Pmult_ChP3-4,0.49654089170000004,0.43946273469999997,0.46143822079999997,0.46143822079999997,0.0489211358,0.0459028915,0.0,0.1135048945,0.098138597,0.10166154919999999,0.1860377352,0.185984366,0.15655174119999998,0.18582663559999998,0.17222608600000003,0.1837208241,0.17721712010000001,0.1861244625,0.17500733870000001,0.1740545016,0.1987799848,0.1963071855,0.19567322469999998,0.1917262526,0.2385775409,0.35535402159999996,0.3606374879,0.35256146759999996,0.33760402310000004,0.3120030237,0.3209945514,0.432885501,0.3953583166,0.44672020490000003,0.37866647950000004,0.40774520810000003
Pfok_strain12,0.5123634374,0.4373299115,0.4579497228,0.4579497228,0.09672030289999999,0.09316410039999999,0.1135048945,0.0,0.08437195119999999,0.08566335259999999,0.19067957160000001,0.1886383186,0.1957636881,0.1842426426,0.18112006719999998,0.18621673739999997,0.1838958879,0.18862983379999998,0.1916590609,0.18275966170000002,0.19733707379999998,0.1998232975,0.2073941802,0.1857693635,0.2462370957,0.39505950409999996,0.3869070797,0.3839684942,0.39247741259999996,0.3754434138,0.3286336175,0.4251140637,0.37536753359999997,0.42180900689999995,0.37306014369999996,0.3521294817
Pfok_CyL3-21,0.4697294574,0.3918757868,0.4786400868,0.4786400868,0.0816820925,0.0768957948,0.098138597,0.08437195119999999,0.0,0.0013622148,0.16939713920000002,0.17324905079999997,0.191698581,0.1864780989,0.16540814869999998,0.1888810411,0.17077551100000002,0.1913316159,0.17246230010000002,0.163260189,0.20001716170000003,0.1975047625,0.1871815716,0.1639288245,0.2369855108,0.3883182032,0.4006803354,0.3785115555,0.38679511340000006,0.36031731590000005,0.3027562518,0.409791426,0.36046095570000003,0.42133194630000004,0.36350800920000004,0.37016261659999994
Pfok_strain14,0.4955958482,0.41581714329999997,0.4907344396,0.4907344396,0.0845645322,0.0795972546,0.10166154919999999,0.08566335259999999,0.0013622148,0.0,0.1698067926,0.17378894039999998,0.19394400809999998,0.184147332,0.1642651156,0.1888810411,0.1639776525,0.1913316159,0.1730256774,0.1666651738,0.20001716170000003,0.1975047625,0.1870138297,0.1661838753,0.2393554514,0.3885958958,0.3990075097,0.3727738375,0.3841048832,0.3549055713,0.3167926492,0.41663967609999997,0.3754330959,0.4394162667,0.36885183229999996,0.37318178119999995
