	description	length
975E63C276	 K11-4B P.bursaria MT078144.1	769
2F274AEC6D	 HSG1-11 P.chlorelligerum KX669632.1	760
05FF7B6DC0	 P.multimicronucleatum Wg8 JF741271.1  USA, VA	638
5626AA6507	 P.multimicronucleatum OLI-Parame-mult-01 FJ905143.1 USA?	704
26FD1C437C	 P.multimicronucleatum MB2-5 JF741245.1 Moldova	638
AC1F119A22	 P.multimicronucleatum OLI-Parame-mult-03 FJ905145.1 Japan	760
C0D698558A	 P.multimicronucleatum OLI-Parame-mult-02 FJ905144.1 USA?	760
E2973A7CE3	 P.multimicronucleatum haplotype C12 MH544200.1 China	760
2C33C0F29B	 P.multimicronucleatum haplotype C3(1) MH544190.1 China	760
A783C97961	 P.multimicronucleatum haplotype C7 MH544195.1 China	760
19714C4DE5	 P.multimicronucleatum haplotype C3(2) MH544191.1 China	760
5AE48ECE9F	 P.multimicronucleatum L72-1 MT078145.1 Mexico	760
1451136BCD	 P.multimicronucleatum K4-2 MT078146.1 Mexico	760
C5875449DC	 P.multimicronucleatum Chp5-3 MT078147.1 Mexico	759
7DBEDD14DD	 P.multimicronucleatum T42-1 MT078148.1 Mexico	760
89477C8AF8	 P.multimicronucleatum SMM81-1 MT078149.1 Mexico	760
4237CE75E3	 P.caudatum V-1 MT078150.1 Mexico	760
34713570E4	P.caudatum OLI-Parame-caud-01 FJ905142.1 USA?	726
228AC81C24	P.caudatum OLI-Parame-caud-02 FJ905148.1 Russia, SPb	760
7748FF43B2	P.caudatum SH42 MG013510.1 Germany	681
DF256DF15E	P.caudatum HUN-BA, FN256277.1 haplotype PcCOI_a12 Hungary	648
0F3F2D735B	P.caudatum CA JF304187.1 Cyprus	717
0DCCCC3A13	P.caudatum PcC30 JX082093.1 China	760
5F5EC68ED8	P.caudatum BRA-RIO FN256282.1 haplotype PcCOI_b03 Brazil	648
CACE94FF16	P.caudatum INK-1 HQ149722.1 Indonesia	648
C5202DEC3E	 P.caudatum K5-2 MT078151.1 Mexico	756
935A8264FB	LB2 Mexico	760
BFB436CF40	 “Paramecium germanicum” GO1 KM091240.1 Germany	703
E9D8CB657F	strain 14 PP-2 Russia, Pskov region	737
4DF6251095	SD11-9 Russia, SPb	724
1FCF2A5F46	HSG3-10 Russia, SPb	761
5EB024F919	CB8-2 MN264581.1 (Rautian) China	626
0AB0571EB9	G1-2 MN264582.1 (Rautian)	626
6CAE11953D	V105-1 MN264579.1 (Rautian) Russia, Vologda region	626
FCECC44A11	P.multimicronucleatum AMA5-7 MN264578.1 (Rautian)	626
C713877A8F	P.multimicronucleatum AM MN264577.1 (Rautian)	617
F8C7841F9B	P.multimicronucleatum GB4-26 MN264576.1 (Rautian) UK?	626
65BE57B8E8	 P. multimicronucleatum Kr113-3 JF741258.1 Russia, Krasnoyarsk	638
5AB2A01312	P.multimicronucleatum mult M04(ParameciumDB)Australia	760
14B6836F01	P.multimicronucleatum Peniche31(ParameciumDB)Portugal	760
36D4861004	P.multimicronucleatum TRB101-1 JF741262.1 Russia, Baikal	638
111C552EDA	P.multimicronucleatum TRB101-4 JF741263.1 Russia, Baikal	638
8B3845824D	SK6-3 Mexico	760
903BE81299	R51-6 Mexico	760
8FF6253967	ChP10-2 Mexico	760
2320C42BCE	ChP3-4 Mexico	760
2E483C1627	E59-1B Mexico	760
153C93EA43	SMM80-11 Mexico	759
6694CA23B7	CyL3-21 Cyprus	760
D8C2F62DEE	CyP5-3 Cyprus	760
4BFBDA23B0	PO16-1 (COIlongF needed) Russia, Pskov region	744
3BC1945637	SP-1 Russia, SPb	748
855BAA965B	Or4-4 Russia, Orenburg	760
752FC374D3	N6 (OP13) Russia, SPb	760
1BDD8F5635	N16 (Ns2-16) Russia, Novosibirsk	760
C38D611786	N12 (AB9-8) USA, MA	760
2FE57EA287	ThK-16 Thailand	760
F91C3EC218	 P.multimicronucleatum BSP-7 AM072772.1 Brazil	648
832AFD6B25	 P.multimicronucleatum SPb63-2 JF741248.1 Russia, SPb	638
F2128FA9E1	 P.multimicronucleatum ISN-11 AM072769.1 Italy	648
3E3D26C7C1	 P.multimicronucleatum AH1-5 AM072768.1 Hawaii	648
6704CFA502	 P.multimicronucleatum BR JF304189.1 USA, LA	717
B25F69319D	 P.multimicronucleatum US_Bl 16I1 MK806287.1 USA, IN	760
892B4DF048	 P.multimicronucleatum haplotype C1(1) MH544185.1 China	760
B62FA3AD19	 P.multimicronucleatum haplotype C6 MH544194.1 China	760
F402402523	 P.caudatum INP-3 HQ149724.1 Indonesia	648
ACC982B65D	 P.caudatum INL-1 HQ149723.1 Indonesia	648
F726DB5F62	mito_caud_C083 USA, IN	760
E08C8FB450	mito_caud_43c3d USA, IN	760
967B577F4D	mito_caud_GB-E, UK	760
3E5CC541E4	mito_caud_C026 USA, LA	760
0E8CB0055F	mito_caud_C104 Spain	760
721071EAD0	 P.caudatum POE-1 HQ149725.1 Portugal	648
CD77F0D365	 P.caudatum G-E12 FN256263.1 Germany	648
A1E36AB038	 P.caudatum SLO-R FN256281.1 Slovenia	648
EFB8BD30BE	 P.caudatum M3 KY399443.1	648
6B17C8F049	 P.caudatum RanNy1602-AP18 MG589328.1 Germany	648
ABB972B220	 P.caudatum G-PL-2 FN256264.1 Germany	648
91BFD8E1A0	OmN-1 USA, NE	760
6EA01A052B	ID1-13 India	760
711A41757B	MSA-5 Malta	760
9829977775	IP2-1 Italy	760
09B73E3113	PL4-1 Portugal	760
4540D95893	227 MT318934 P.septaurelia	767
E3F4AA9836	V1-4 PBIAU.V1-4.MITO.1.G040 P.biaurelia	760
3DAC752935	 51 M15281.1 P.tetraurelia	757
A827F1A1BC	N1A PQUAD.NiA.MITO.1.G040 P.quadecaurelia	760
D2C875ECF0	 AZ8-4 PSEXA.AZ8-4.MITO.1.G040 P.sexaurelia	760
E64981E685	 274 PDODE.274.MITO.1.G040 P.dodecaurelia	760
8A78F2F36B	 223 PDECA.223.MITO.1.G040 P.decaurelia	760
80A7B77259	AZ9-3 PPRIM.AZ9-3.MITO.1.G040 P.primaurelia	760
3B673B508B	TE PNOVA.TE.MITO.1.G040 P.novaurelia	759
A57B8F3C42	M PJENN.M.MITO.1.G040 P.jenningsi	760
9B50BED6E2	FT8	716
