,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06
Pbur_K11-4B,100.0,89.297,68.051,68.051,69.649,70.767,68.69,68.53,69.489,69.489,71.406,71.246,70.607,70.767,73.323,73.323,73.323,73.163,73.163,73.323,73.003,73.003,73.003,71.246,72.364,59.265,58.466,60.224,59.585,60.064,69.01,67.252,67.891,70.288,72.364,70.288
Pbur_OLI,89.297,100.0,66.613,66.613,71.246,72.843,71.086,71.565,72.843,72.843,71.086,70.927,70.288,71.246,73.003,73.003,73.003,72.843,73.003,73.003,73.003,73.163,73.163,71.725,72.843,59.904,60.703,61.182,60.863,60.703,68.69,66.613,67.891,69.489,73.163,69.489
Pclor_HSG1-11,68.051,66.613,100.0,100.0,70.447,71.246,69.968,70.128,69.649,69.649,72.045,71.565,70.447,71.885,72.684,72.684,72.684,72.524,72.684,72.684,72.045,72.204,72.204,71.406,71.246,62.46,61.342,62.62,60.224,62.939,73.003,70.447,72.684,69.329,71.565,70.927
Pclor_Kon,68.051,66.613,100.0,100.0,70.447,71.246,69.968,70.128,69.649,69.649,72.045,71.565,70.447,71.885,72.684,72.684,72.684,72.524,72.684,72.684,72.045,72.204,72.204,71.406,71.246,62.46,61.342,62.62,60.224,62.939,73.003,70.447,72.684,69.329,71.565,70.927
Pmult_OmN-1,69.649,71.246,70.447,70.447,100.0,95.527,95.367,91.214,92.013,92.013,87.061,87.22,88.658,86.901,86.741,86.741,86.741,86.581,86.901,86.741,85.623,85.783,85.783,85.144,83.227,74.601,74.92,76.038,74.281,76.837,77.316,72.843,74.76,73.003,74.601,75.399
Pmult_CyP5-3,70.767,72.843,71.246,71.246,95.527,100.0,95.208,91.693,92.492,92.492,87.22,87.38,88.658,86.422,86.102,86.102,86.102,85.942,86.262,86.102,85.304,85.463,85.463,84.824,83.866,74.121,74.92,75.719,74.441,76.358,77.796,73.163,74.92,72.524,75.08,75.24
Pmult_ChP3-4,68.69,71.086,69.968,69.968,95.367,95.208,100.0,89.936,90.895,90.895,85.144,84.984,87.54,85.304,85.783,85.783,85.783,85.623,85.942,85.783,84.665,84.824,84.824,84.345,82.109,74.76,75.399,76.038,75.399,77.316,76.518,70.927,73.003,71.725,74.121,73.323
Pfok_strain12,68.53,71.565,70.128,70.128,91.214,91.693,89.936,100.0,92.652,92.652,84.665,85.304,85.304,85.304,85.623,85.623,85.623,85.463,85.304,85.623,84.824,84.665,84.665,84.824,81.789,72.364,73.003,74.281,72.524,74.441,76.038,71.725,74.281,73.003,74.76,75.719
Pfok_CyL3-21,69.489,72.843,69.649,69.649,92.013,92.492,90.895,92.652,100.0,100.0,86.102,85.942,85.144,85.463,85.623,85.623,85.623,85.463,85.463,85.623,84.824,84.984,84.984,86.102,82.268,73.163,73.323,74.92,72.684,74.441,76.837,72.684,74.76,72.684,74.76,75.08
Pfok_strain14,69.489,72.843,69.649,69.649,92.013,92.492,90.895,92.652,100.0,100.0,86.102,85.942,85.144,85.463,85.623,85.623,85.623,85.463,85.463,85.623,84.824,84.984,84.984,86.102,82.268,73.163,73.323,74.92,72.684,74.441,76.837,72.684,74.76,72.684,74.76,75.08
Pcaud_V-1,71.406,71.086,72.045,72.045,87.061,87.22,85.144,84.665,86.102,86.102,100.0,99.201,92.971,92.013,87.7,87.7,87.7,87.54,88.019,87.7,86.901,87.061,87.061,87.54,84.345,74.76,73.802,77.636,74.601,77.796,76.518,74.601,75.399,73.003,75.879,75.719
Pcaud_OR4-4,71.246,70.927,71.565,71.565,87.22,87.38,84.984,85.304,85.942,85.942,99.201,100.0,92.812,92.332,87.7,87.7,87.7,87.54,88.019,87.7,86.901,87.061,87.061,87.7,84.185,74.441,74.121,77.955,74.92,77.476,76.837,74.601,75.399,72.843,75.879,75.879
Pcaud_SH42,70.607,70.288,70.447,70.447,88.658,88.658,87.54,85.304,85.144,85.144,92.971,92.812,100.0,91.054,88.658,88.658,88.658,88.498,88.818,88.658,87.54,87.7,87.7,86.581,84.824,74.121,75.24,77.157,75.719,76.518,76.198,73.482,74.76,71.246,75.24,73.962
Pcaud_INL-1,70.767,71.246,71.885,71.885,86.901,86.422,85.304,85.304,85.463,85.463,92.013,92.332,91.054,100.0,89.137,89.137,89.137,88.978,88.978,89.137,88.658,88.818,88.818,87.22,85.144,75.08,74.92,77.157,75.08,76.837,76.358,73.482,75.879,71.086,75.399,74.601
Plyn_SD11-9,73.323,73.003,72.684,72.684,86.741,86.102,85.783,85.623,85.623,85.623,87.7,87.7,88.658,89.137,100.0,100.0,100.0,99.84,99.681,99.84,97.923,98.083,98.083,86.262,86.581,74.121,73.642,74.441,72.524,75.399,76.677,73.962,77.157,72.684,75.24,74.92
Plyn_V105-1,73.323,73.003,72.684,72.684,86.741,86.102,85.783,85.623,85.623,85.623,87.7,87.7,88.658,89.137,100.0,100.0,100.0,99.84,99.681,99.84,97.923,98.083,98.083,86.262,86.581,74.121,73.642,74.441,72.524,75.399,76.677,73.962,77.157,72.684,75.24,74.92
Plyn_PO16-1,73.323,73.003,72.684,72.684,86.741,86.102,85.783,85.623,85.623,85.623,87.7,87.7,88.658,89.137,100.0,100.0,100.0,99.84,99.681,99.84,97.923,98.083,98.083,86.262,86.581,74.121,73.642,74.441,72.524,75.399,76.677,73.962,77.157,72.684,75.24,74.92
Plyn_CB8-2,73.163,72.843,72.524,72.524,86.581,85.942,85.623,85.463,85.463,85.463,87.54,87.54,88.498,88.978,99.84,99.84,99.84,100.0,99.521,99.681,97.764,97.923,97.923,86.102,86.422,73.962,73.482,74.281,72.364,75.24,76.518,73.802,76.997,72.524,75.08,74.76
Plyn_HSG3-10,73.163,73.003,72.684,72.684,86.901,86.262,85.942,85.304,85.463,85.463,88.019,88.019,88.818,88.978,99.681,99.681,99.681,99.521,100.0,99.521,97.923,98.083,98.083,86.581,86.581,74.281,73.802,74.441,72.843,75.399,76.518,74.121,76.997,72.843,75.24,74.92
Plyn_SP-1,73.323,73.003,72.684,72.684,86.741,86.102,85.783,85.623,85.623,85.623,87.7,87.7,88.658,89.137,99.84,99.84,99.84,99.681,99.521,100.0,97.764,97.923,97.923,86.262,86.581,73.962,73.642,74.441,72.524,75.399,76.677,73.962,77.157,72.524,75.08,74.76
Plyn_TRB101-1,73.003,73.003,72.045,72.045,85.623,85.304,84.665,84.824,84.824,84.824,86.901,86.901,87.54,88.658,97.923,97.923,97.923,97.764,97.923,97.764,100.0,99.84,99.84,85.942,85.783,74.281,74.441,74.121,72.364,74.76,75.719,73.482,75.879,71.885,74.441,74.441
Plyn_TRB101-4,73.003,73.163,72.204,72.204,85.783,85.463,84.824,84.665,84.984,84.984,87.061,87.061,87.7,88.818,98.083,98.083,98.083,97.923,98.083,97.923,99.84,100.0,100.0,86.102,85.942,74.441,74.601,74.281,72.524,74.92,75.879,73.642,76.038,72.045,74.601,74.601
Plyn_ShKm41,73.003,73.163,72.204,72.204,85.783,85.463,84.824,84.665,84.984,84.984,87.061,87.061,87.7,88.818,98.083,98.083,98.083,97.923,98.083,97.923,99.84,100.0,100.0,86.102,85.942,74.441,74.601,74.281,72.524,74.92,75.879,73.642,76.038,72.045,74.601,74.601
Psp_FT8,71.246,71.725,71.406,71.406,85.144,84.824,84.345,84.824,86.102,86.102,87.54,87.7,86.581,87.22,86.262,86.262,86.262,86.102,86.581,86.262,85.942,86.102,86.102,100.0,84.185,76.518,74.92,76.837,73.962,76.677,77.157,73.323,75.399,70.927,75.399,74.281
Pgerm_GO1,72.364,72.843,71.246,71.246,83.227,83.866,82.109,81.789,82.268,82.268,84.345,84.185,84.824,85.144,86.581,86.581,86.581,86.422,86.581,86.581,85.783,85.942,85.942,84.185,100.0,72.364,71.725,72.524,70.128,72.524,77.157,74.281,75.24,72.364,74.76,75.559
Psept_227,59.265,59.904,62.46,62.46,74.601,74.121,74.76,72.364,73.163,73.163,74.76,74.441,74.121,75.08,74.121,74.121,74.121,73.962,74.281,73.962,74.281,74.441,74.441,76.518,72.364,100.0,80.671,83.067,81.15,80.831,66.933,63.738,64.537,61.182,63.578,64.377
Pdec_223,58.466,60.703,61.342,61.342,74.92,74.92,75.399,73.003,73.323,73.323,73.802,74.121,75.24,74.92,73.642,73.642,73.642,73.482,73.802,73.642,74.441,74.601,74.601,74.92,71.725,80.671,100.0,81.789,81.47,77.796,67.093,63.898,64.058,63.259,63.259,65.655
Psex_AZ8-4,60.224,61.182,62.62,62.62,76.038,75.719,76.038,74.281,74.92,74.92,77.636,77.955,77.157,77.157,74.441,74.441,74.441,74.281,74.441,74.441,74.121,74.281,74.281,76.837,72.524,83.067,81.789,100.0,79.393,80.192,67.572,65.974,65.176,63.259,64.377,64.377
Ptetr_51,59.585,60.863,60.224,60.224,74.281,74.441,75.399,72.524,72.684,72.684,74.601,74.92,75.719,75.08,72.524,72.524,72.524,72.364,72.843,72.524,72.364,72.524,72.524,73.962,70.128,81.15,81.47,79.393,100.0,79.233,65.335,63.419,63.419,61.342,62.46,64.058
Pjen_M,60.064,60.703,62.939,62.939,76.837,76.358,77.316,74.441,74.441,74.441,77.796,77.476,76.518,76.837,75.399,75.399,75.399,75.24,75.399,75.399,74.76,74.92,74.92,76.677,72.524,80.831,77.796,80.192,79.233,100.0,67.093,65.335,65.016,63.419,63.578,66.613
Ppol_TR-5,69.01,68.69,73.003,73.003,77.316,77.796,76.518,76.038,76.837,76.837,76.518,76.837,76.198,76.358,76.677,76.677,76.677,76.518,76.518,76.677,75.719,75.879,75.879,77.157,77.157,66.933,67.093,67.572,65.335,67.093,100.0,76.837,76.198,72.524,76.038,73.962
Pnephr_PnC72,67.252,66.613,70.447,70.447,72.843,73.163,70.927,71.725,72.684,72.684,74.601,74.601,73.482,73.482,73.962,73.962,73.962,73.802,74.121,73.962,73.482,73.642,73.642,73.323,74.281,63.738,63.898,65.974,63.419,65.335,76.837,100.0,74.76,70.767,71.246,72.684
Pcalk_GN5-1,67.891,67.891,72.684,72.684,74.76,74.92,73.003,74.281,74.76,74.76,75.399,75.399,74.76,75.879,77.157,77.157,77.157,76.997,76.997,77.157,75.879,76.038,76.038,75.399,75.24,64.537,64.058,65.176,63.419,65.016,76.198,74.76,100.0,73.323,73.962,72.364
Pdub_PdC95,70.288,69.489,69.329,69.329,73.003,72.524,71.725,73.003,72.684,72.684,73.003,72.843,71.246,71.086,72.684,72.684,72.684,72.524,72.843,72.524,71.885,72.045,72.045,70.927,72.364,61.182,63.259,63.259,61.342,63.419,72.524,70.767,73.323,100.0,79.712,75.399
Pput_PG-5,72.364,73.163,71.565,71.565,74.601,75.08,74.121,74.76,74.76,74.76,75.879,75.879,75.24,75.399,75.24,75.24,75.24,75.08,75.24,75.08,74.441,74.601,74.601,75.399,74.76,63.578,63.259,64.377,62.46,63.578,76.038,71.246,73.962,79.712,100.0,76.837
Pbuet_N06,70.288,69.489,70.927,70.927,75.399,75.24,73.323,75.719,75.08,75.08,75.719,75.879,73.962,74.601,74.92,74.92,74.92,74.76,74.92,74.76,74.441,74.601,74.601,74.281,75.559,64.377,65.655,64.377,64.058,66.613,73.962,72.684,72.364,75.399,76.837,100.0
