	description	length
C0FF30338F	KX669629.1 Paramecium chlorelligerum strain HSG1-11	2796
55CEC58B7B	Paramecium putrinum ETu 7-4 MG573199.1	2801
F48FEA8E3D	Paramecium bursaria Ek JF708936.1	1095
61411D15C0	Paramecium bursaria HZ75-5 JF708933.1	1097
757B2A02BB	Paramecium bursaria T316 JF708925.1	1096
87876A753A	CD11-9	1636
D4CE20BD5A	HSG3-10 ITS	1638
7EB0465780	strain14 PP-2	1637
F2145CCC2C	T42-1	1162
70890594D2	PO-16	1163
4571A227E6	CyL3-21	1169
317A91CB34	ChP5-3	1169
F5F4A73DA3	ChP10-2	1167
7AB785E8EB	SP-1	1163
8E203F786B	SMM81-1	1171
5EDFE55A10	K4-2	1173
4C5F4E4CDE	L72-1	1172
E24B3A4289	LB-1	1638
7760F61162	OmN-1	1162
3232DFC4C6	PL4-1	1167
E4C28EC0EC	ThK-16	1700
06BCC826BF	MSA-5	1161
A50EB0413A	ShKm41	1172
3B4F40C1B6	K5-2	1173
754C622D24	FCB10-1	1169
AFED3029BB	CyP5-3	1169
0C044FF14F	SK6-3	1168
20D1316E5D	R51-6	1172
ABB2EFBA0D	Or4-3	1162
7337CC22D1	6 Paramecium multimicronucleatum OP13 JF741217.1	1064
55622BCCF2	12 Paramecium multimicronucleatum AB9-8 JF741240.1	1064
E5A80E2658	4 Paramecium multimicronucleatum MB2-5 JF741213.1	1064
1B54F3DD84	16 Paramecium multimicronucleatum Ns2-16 JF741224.1	1064
4EC675C343	17 Paramecium multimicronucleatum Vv171-1 JF741234.1	1064
5C6FFC6CBD	Paramecium caudatum CA JF304170.1	1065
0E763B90CC	Paramecium sonneborni ATCC 30995 JF304167.1	1064
1AFEB97DB8	Paramecium tredecaurelia 209 JF304165.1	1064
BAFBB32B3C	Paramecium primaurelia CyL4-1 MH185950.1	2792
954787BF1B	Paramecium primaurelia 16/IP 17-21 MG573196.1	2808
7D994C6B64	Paramecium triaurelia 324 JX010642.1	1064
5E7A71725D	Paramecium schewiakoffi Sh1-38 JF304168.1	1064
6A22C8816B	Paramecium pentaurelia strain Nr1-10 MG573197.1	2795
F80FB0D01F	Paramecium jenningsi MVP1 KY635365.1	1064
FFCD65A9C1	Paramecium primaurelia 16/IP 4-1 MG573195.1	2793
A9D77FB142	Paramecium primaurelia ThK-1 MG573194.1	2797
05EB3CB2EF	Paramecium jenningsi FL KF110697.1	1064
391B7278BF	Paramecium jenningsi IB KF110700.1	1064
E7A249B71B	Paramecium jenningsi SA JF304171.1	1064
76B85155B2	Paramecium jenningsi JU KF110706.1	1064
A3B2854DF9	Paramecium jenningsi KTI KY635364.1	1064
85358EE9CD	Paramecium jenningsi U KF110698.1	1064
49EEF6D205	Paramecium tetraurelia S JF304164.1	1064
6F9419D58D	Paramecium quadecaurelia 328 JX010635.1	1063
2B7EA06615	Paramecium undecaurelia 219 JX010656.1	1063
A100F8A811	Paramecium biaurelia isolate US_Bl 12I1 KX712111.1	2794
A22A7EB077	Paramecium biaurelia isolate US_Bl 15I1 KU729877.1	2800
84CE765D07	Paramecium biaurelia isolate US_Bl 11III1 KU729876.1	2800
FE6BF56E99	Paramecium nephridiatum Sr 2-6 MG573198.1	2793
BF1E22FC57	JF304154.1 Paramecium calkinsi strain BM1-11 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence; macronuclear	1073
D4804FA5A3	JN998651.1 Paramecium polycaryum strain Khb7-20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence; macronuclear	1071
6D0466B8F0	Paramecium sp. G1-2 MN264575.1	1064
3FF25BC3AE	Paramecium sp. C8-2 MN264574.1	1065
6318BB1CDF	Paramecium sp. V105-1 MN264572.1	1065
B23CFDAC0B	Paramecium multimicronucleatum Wg8 JF741239.1	1064
77F8203663	Paramecium multimicronucleatum PrO166-3 JF741237.1	1064
B8C3E33A41	Paramecium multimicronucleatum TRB101-4 JF741231.1	1065
E7FF713006	Paramecium multimicronucleatum TRB101-1 JF741230.1	1065
2F09B16F03	Paramecium multimicronucleatum strain Kr154-4 JF741227.1	1064
0CECC9DB9F	Paramecium multimicronucleatum Kr113-3 JF741226.1	1065
079BC8FC67	Paramecium multimicronucleatum strain Ir3-6 JF741225.1	1064
AE9BCC8A85	Paramecium multimicronucleatum D237-6 JF741219.1	1064
DC061FA098	Paramecium multimicronucleatum strain SPb63-2 JF741216.1	1064
AA8A550A83	Paramecium multimicronucleatum strain SR212-9 JF741215.1	1064
3B98E87038	Paramecium multimicronucleatum strain SR213-1 JF741214.1	1064
9434C0FD7E	Paramecium multimicronucleatum ITR JF741210.1	1064
A3594B2C70	Paramecium multimicronucleatum AMA5-7 MN264571.1	1064
F3D512F60D	Paramecium multimicronucleatum AM MN264570.1	1064
FEAC225A4C	Paramecium multimicronucleatum GB4-26 MN264569.1	1065
2DD5E56A37	Paramecium multimicronucleatum BR JF304172.1	1064
9F17B676E6	Paramecium multimicronucleatum US_Bl 16I1 MK595741.1	2792
A28E935B8D	Pdub HE819875.1	2644
