,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1
Pmult_ChP5-3,100.0,99.941,100.0,100.0,99.882,99.397,99.295,99.53,99.941,99.823,99.941,98.649,98.585,98.591,98.617,98.591
Pmult_strain4,99.941,100.0,99.941,99.941,99.823,99.31,99.233,99.469,99.882,99.823,99.941,98.585,98.526,98.526,98.557,98.526
Pmult_R51-6,100.0,99.941,100.0,100.0,99.882,99.397,99.295,99.53,99.941,99.823,99.941,98.649,98.585,98.591,98.617,98.591
Pmult_K4-2,100.0,99.941,100.0,100.0,99.882,99.397,99.295,99.53,99.941,99.823,99.941,98.649,98.585,98.591,98.617,98.591
Pmult_CyP5-3,99.882,99.823,99.882,99.882,100.0,99.569,99.413,99.648,99.824,99.941,99.823,98.592,98.527,98.533,98.558,98.533
Pmult_BNB-2015,99.397,99.31,99.397,99.397,99.569,100.0,98.881,99.053,99.31,99.569,99.397,97.676,97.676,97.676,97.676,97.676
Pmult_FT5,99.295,99.233,99.295,99.295,99.413,98.881,100.0,99.062,99.237,99.352,99.234,98.006,97.939,97.947,97.958,97.947
Pmult_FT2,99.53,99.469,99.53,99.53,99.648,99.053,99.062,100.0,99.472,99.588,99.47,98.24,98.174,98.182,98.198,98.182
Pmult_SK6-3,99.941,99.882,99.941,99.941,99.824,99.31,99.237,99.472,100.0,99.764,99.882,98.591,98.526,98.532,98.557,98.532
Pmult_ThK-16,99.823,99.823,99.823,99.823,99.941,99.569,99.352,99.588,99.764,100.0,99.882,98.529,98.525,98.47,98.558,98.47
Pmult_OmN-1,99.941,99.941,99.941,99.941,99.823,99.397,99.234,99.47,99.882,99.882,100.0,98.587,98.583,98.528,98.617,98.528
Pfok_US_Bl_16I1,98.649,98.585,98.649,98.649,98.592,97.676,98.006,98.24,98.591,98.529,98.587,100.0,99.823,99.824,100.0,99.824
Pfok_strain14,98.585,98.526,98.585,98.585,98.527,97.676,97.939,98.174,98.526,98.525,98.583,99.823,100.0,100.0,99.819,100.0
Pfok_CyL3-21,98.591,98.526,98.591,98.591,98.533,97.676,97.947,98.182,98.532,98.47,98.528,99.824,100.0,100.0,99.819,100.0
Pfok_strain12,98.617,98.557,98.617,98.617,98.558,97.676,97.958,98.198,98.557,98.558,98.617,100.0,99.819,99.819,100.0,99.819
Pfok_T42-1,98.591,98.526,98.591,98.591,98.533,97.676,97.947,98.182,98.532,98.47,98.528,99.824,100.0,100.0,99.819,100.0
