,Pmult_G1-2,Pmult_C7,Pmult_AMA5-7,Pmult_ISN-11,Pmult_C1(1),Pmult_ID1-13,Pmult_MSA-5,Pmult_AH1-5,Pmult_N16,Pmult_C6,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_LB2,Pmult_C3(1),Pmult_C3(2),Pmult_SPb63-2,Pmult_BSP-7,Pmult_K4-2,Pmult_SMM80-11,Pmult_ChP10-2,Pmult_L72-1,Pmult_Peniche31,Pmult_Wg8,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_OLI-Parame-mult-03,Pmult_C12,Pmult_Chp5-3,Pmult_E59-1B,Pmult_IP2-1,Pfok_SMM81-1,Pfok_T42-1,Pfok_AM,Pfok_M04,Pfok_BR,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_PL4-1,Pfok_strain14,Pfok_N6,Pfok_OLI-Parame-mult-01,Pfok_OLI-Parame-mult-02
Pmult_G1-2,100.0,99.84,100.0,100.0,100.0,100.0,100.0,99.84,99.681,99.681,95.527,96.326,95.847,95.847,97.764,97.764,97.923,95.527,96.486,96.326,96.0,96.166,96.006,95.847,100.0,95.208,99.681,94.888,95.208,95.208,95.208,95.208,95.208,92.492,92.492,92.508,92.492,91.879,91.72,92.492,92.058,92.492,92.492,92.185,92.208,92.208
Pmult_C7,99.84,100.0,99.84,99.845,99.868,99.868,99.868,99.691,99.605,99.605,95.652,96.179,95.652,95.652,97.892,97.76,97.806,95.209,96.179,96.179,95.91,96.047,95.916,95.925,99.868,95.52,99.605,94.828,95.652,95.652,95.652,95.652,95.652,93.281,93.281,92.671,93.281,92.028,91.984,93.281,92.126,93.281,93.169,93.026,91.915,91.984
Pmult_AMA5-7,100.0,99.84,100.0,100.0,100.0,100.0,100.0,99.84,99.681,99.681,95.527,96.326,95.847,95.847,97.764,97.764,97.923,95.527,96.486,96.326,96.0,96.166,96.006,95.847,100.0,95.208,99.681,94.888,95.208,95.208,95.208,95.208,95.208,92.492,92.492,92.508,92.492,91.879,91.72,92.492,92.058,92.492,92.492,92.185,92.208,92.208
Pmult_ISN-11,100.0,99.845,100.0,100.0,100.0,100.0,100.0,99.845,99.691,99.691,95.518,96.291,95.672,95.672,97.836,97.682,97.923,95.363,96.445,96.291,95.975,96.136,95.981,95.847,100.0,95.363,99.691,94.888,95.363,95.363,95.363,95.363,95.363,92.427,92.427,92.508,92.427,91.879,91.834,92.427,92.006,92.427,92.391,92.13,92.308,92.308
Pmult_C1(1),100.0,99.868,100.0,100.0,100.0,100.0,100.0,99.845,99.736,99.736,95.652,96.179,95.784,95.784,98.024,97.892,97.962,95.363,96.179,96.179,95.91,96.047,95.916,95.925,100.0,95.652,99.736,94.984,95.784,95.784,95.784,95.784,95.784,93.149,93.149,92.508,93.149,91.888,91.853,93.149,91.995,93.149,93.033,92.895,91.773,91.853
Pmult_ID1-13,100.0,99.868,100.0,100.0,100.0,100.0,100.0,99.845,99.736,99.736,95.652,96.179,95.784,95.784,98.024,97.892,97.962,95.363,96.179,96.179,95.91,96.047,95.916,95.925,100.0,95.652,99.736,94.984,95.784,95.784,95.784,95.784,95.784,93.149,93.149,92.508,93.149,91.888,91.853,93.149,91.995,93.149,93.033,92.895,91.773,91.853
Pmult_MSA-5,100.0,99.868,100.0,100.0,100.0,100.0,100.0,99.845,99.736,99.736,95.652,96.179,95.784,95.784,98.024,97.892,97.962,95.363,96.179,96.179,95.91,96.047,95.916,95.925,100.0,95.652,99.736,94.984,95.784,95.784,95.784,95.784,95.784,93.149,93.149,92.508,93.149,91.888,91.853,93.149,91.995,93.149,93.033,92.895,91.773,91.853
Pmult_AH1-5,99.84,99.691,99.84,99.845,99.845,99.845,99.845,100.0,99.536,99.536,95.363,96.136,95.518,95.518,97.682,97.527,97.764,95.209,96.291,96.136,95.82,95.981,95.827,95.687,99.845,95.209,99.536,94.728,95.209,95.209,95.209,95.209,95.209,92.272,92.272,92.345,92.272,91.72,91.68,92.272,92.163,92.272,92.236,91.975,92.151,92.151
Pmult_N16,99.681,99.605,99.681,99.691,99.736,99.736,99.736,99.536,100.0,99.473,95.389,95.916,95.52,95.52,97.76,97.628,97.649,95.054,95.916,95.916,95.646,95.784,95.652,95.611,99.736,95.389,99.473,94.671,95.52,95.52,95.52,95.52,95.52,92.885,92.885,92.182,92.885,91.608,91.59,92.885,91.732,92.885,92.76,92.632,91.489,91.59
Pmult_C6,99.681,99.605,99.681,99.691,99.736,99.736,99.736,99.536,99.473,100.0,95.652,96.179,95.784,95.784,97.76,97.628,97.649,95.054,96.179,96.179,95.91,96.047,95.916,95.925,99.736,95.652,99.473,94.984,95.784,95.784,95.784,95.784,95.784,92.885,92.885,92.182,92.885,91.888,91.853,92.885,91.732,92.885,92.76,92.632,91.773,91.853
Pmult_OmN-1,95.527,95.652,95.527,95.518,95.652,95.652,95.652,95.363,95.389,95.652,100.0,98.682,97.497,97.497,96.443,96.574,96.552,94.745,98.419,98.682,98.681,98.814,99.473,99.373,95.652,95.389,95.389,95.141,95.52,95.52,95.52,95.52,95.52,92.754,92.754,92.02,92.754,91.445,91.568,92.754,91.316,92.754,92.623,92.368,91.619,91.842
Pmult_R51-6,96.326,96.179,96.326,96.291,96.179,96.179,96.179,96.136,95.916,96.179,98.682,100.0,97.233,97.233,96.443,96.574,96.552,94.59,99.736,100.0,99.472,99.605,98.946,99.06,96.179,95.652,95.916,95.455,95.784,95.784,95.784,95.784,95.784,93.544,93.544,93.16,93.544,91.585,91.7,93.544,91.842,93.544,93.443,93.158,91.903,92.105
Pmult_SK6-3,95.847,95.652,95.847,95.672,95.784,95.784,95.784,95.518,95.52,95.784,97.497,97.233,100.0,100.0,96.311,96.443,96.552,95.209,96.97,97.233,97.23,97.365,97.76,97.806,95.784,94.993,95.52,95.141,95.125,95.125,95.125,95.125,95.125,92.622,92.622,92.562,92.622,92.157,91.974,92.622,91.579,92.622,92.623,92.237,91.915,91.984
Pmult_LB2,95.847,95.652,95.847,95.672,95.784,95.784,95.784,95.518,95.52,95.784,97.497,97.233,100.0,100.0,96.311,96.443,96.552,95.209,96.97,97.233,97.23,97.365,97.76,97.806,95.784,94.993,95.52,95.141,95.125,95.125,95.125,95.125,95.125,92.622,92.622,92.562,92.622,92.157,91.974,92.622,91.579,92.622,92.623,92.237,91.915,91.984
Pmult_C3(1),97.764,97.892,97.764,97.836,98.024,98.024,98.024,97.682,97.76,97.76,96.443,96.443,96.311,96.311,100.0,99.868,99.53,96.291,96.179,96.443,96.438,96.574,96.443,96.708,98.024,96.047,97.76,95.611,96.179,96.179,96.179,96.179,96.179,93.149,93.149,92.671,93.149,91.865,91.7,93.149,92.095,93.149,93.169,92.895,92.319,92.227
Pmult_C3(2),97.764,97.76,97.764,97.682,97.892,97.892,97.892,97.527,97.628,97.628,96.574,96.574,96.443,96.443,99.868,100.0,99.53,96.445,96.311,96.574,96.57,96.706,96.574,96.708,97.892,95.916,97.628,95.611,96.047,96.047,96.047,96.047,96.047,93.281,93.281,92.671,93.281,91.865,91.831,93.281,92.227,93.281,93.306,93.026,92.461,92.358
Pmult_SPb63-2,97.923,97.806,97.923,97.923,97.962,97.962,97.962,97.764,97.649,97.649,96.552,96.552,96.552,96.552,99.53,99.53,100.0,96.326,96.395,96.552,96.703,96.865,96.708,96.552,97.962,95.768,97.649,95.455,95.768,95.768,95.768,95.768,95.768,92.947,92.947,92.834,92.947,91.811,91.654,92.947,91.85,92.947,92.947,92.645,92.283,92.283
Pmult_BSP-7,95.527,95.209,95.527,95.363,95.363,95.363,95.363,95.209,95.054,95.054,94.745,94.59,95.209,95.209,96.291,96.445,96.326,100.0,94.436,94.59,94.272,94.436,94.9,94.728,95.363,93.663,95.054,93.45,93.663,93.663,93.663,93.663,93.663,91.499,91.499,91.531,91.499,90.909,90.895,91.499,90.881,91.499,91.46,91.204,90.895,90.895
Pmult_K4-2,96.486,96.179,96.486,96.445,96.179,96.179,96.179,96.291,95.916,96.179,98.419,99.736,96.97,96.97,96.179,96.311,96.395,94.436,100.0,99.736,99.208,99.341,98.682,98.903,96.179,95.389,95.916,95.298,95.52,95.52,95.52,95.52,95.52,93.281,93.281,92.997,93.281,91.469,91.459,93.281,91.601,93.281,93.306,92.895,91.785,91.864
Pmult_SMM80-11,96.326,96.179,96.326,96.291,96.179,96.179,96.179,96.136,95.916,96.179,98.682,100.0,97.233,97.233,96.443,96.574,96.552,94.59,99.736,100.0,99.472,99.605,98.946,99.06,96.179,95.652,95.916,95.455,95.784,95.784,95.784,95.784,95.784,93.544,93.544,93.16,93.544,91.585,91.7,93.544,91.842,93.544,93.443,93.158,91.903,92.105
Pmult_ChP10-2,96.0,95.91,96.0,95.975,95.91,95.91,95.91,95.82,95.646,95.91,98.681,99.472,97.23,97.23,96.438,96.57,96.703,94.272,99.208,99.472,100.0,99.868,98.945,99.215,95.91,95.646,95.646,95.604,95.778,95.778,95.778,95.778,95.778,93.272,93.272,92.822,93.272,91.573,91.689,93.272,91.568,93.272,93.16,92.885,91.892,92.095
Pmult_L72-1,96.166,96.047,96.166,96.136,96.047,96.047,96.047,95.981,95.784,96.047,98.814,99.605,97.365,97.365,96.574,96.706,96.865,94.436,99.341,99.605,99.868,100.0,99.078,99.373,96.047,95.784,95.784,95.768,95.916,95.916,95.916,95.916,95.916,93.412,93.412,92.997,93.412,91.725,91.831,93.412,91.711,93.412,93.306,93.026,92.045,92.237
Pmult_Peniche31,96.006,95.916,96.006,95.981,95.916,95.916,95.916,95.827,95.652,95.916,99.473,98.946,97.76,97.76,96.443,96.574,96.708,94.9,98.682,98.946,98.945,99.078,100.0,99.843,95.916,95.916,95.652,95.611,96.047,96.047,96.047,96.047,96.047,93.017,93.017,92.508,93.017,91.549,91.568,93.017,91.579,93.017,92.896,92.632,91.761,91.842
Pmult_Wg8,95.847,95.925,95.847,95.847,95.925,95.925,95.925,95.687,95.611,95.925,99.373,99.06,97.806,97.806,96.708,96.708,96.552,94.728,98.903,99.06,99.215,99.373,99.843,100.0,95.925,95.768,95.611,95.455,95.768,95.768,95.768,95.768,95.768,92.476,92.476,92.345,92.476,91.496,91.339,92.476,91.236,92.476,92.476,92.019,91.667,91.667
Pmult_CyP5-3,100.0,99.868,100.0,100.0,100.0,100.0,100.0,99.845,99.736,99.736,95.652,96.179,95.784,95.784,98.024,97.892,97.962,95.363,96.179,96.179,95.91,96.047,95.916,95.925,100.0,95.652,99.736,94.984,95.784,95.784,95.784,95.784,95.784,93.149,93.149,92.508,93.149,91.888,91.853,93.149,91.995,93.149,93.033,92.895,91.773,91.853
Pmult_ChP3-4,95.208,95.52,95.208,95.363,95.652,95.652,95.652,95.209,95.389,95.652,95.389,95.652,94.993,94.993,96.047,95.916,95.768,93.663,95.389,95.652,95.646,95.784,95.916,95.768,95.652,100.0,95.389,99.687,99.868,99.868,99.868,99.868,99.868,91.436,91.436,90.879,91.436,90.282,90.25,91.436,90.25,91.436,91.257,91.184,90.754,90.777
Pmult_ThK-16,99.681,99.605,99.681,99.691,99.736,99.736,99.736,99.536,99.473,99.473,95.389,95.916,95.52,95.52,97.76,97.628,97.649,95.054,95.916,95.916,95.646,95.784,95.652,95.611,99.736,95.389,100.0,94.671,95.52,95.52,95.52,95.52,95.52,92.885,92.885,92.508,92.885,91.608,91.59,92.885,91.732,92.885,92.76,92.632,91.489,91.59
Pmult_MB2-5,94.888,94.828,94.888,94.888,94.984,94.984,94.984,94.728,94.671,94.984,95.141,95.455,95.141,95.141,95.611,95.611,95.455,93.45,95.298,95.455,95.604,95.768,95.611,95.455,94.984,99.687,94.671,100.0,99.687,99.687,99.687,99.687,99.687,90.752,90.752,90.554,90.752,90.236,90.079,90.752,89.969,90.752,90.752,90.454,91.024,91.024
Pmult_OLI-Parame-mult-03,95.208,95.652,95.208,95.363,95.784,95.784,95.784,95.209,95.52,95.784,95.52,95.784,95.125,95.125,96.179,96.047,95.768,93.663,95.52,95.784,95.778,95.916,96.047,95.768,95.784,99.868,95.52,99.687,100.0,100.0,100.0,100.0,100.0,91.568,91.568,90.879,91.568,90.423,90.382,91.568,90.382,91.568,91.393,91.316,90.896,90.909
Pmult_C12,95.208,95.652,95.208,95.363,95.784,95.784,95.784,95.209,95.52,95.784,95.52,95.784,95.125,95.125,96.179,96.047,95.768,93.663,95.52,95.784,95.778,95.916,96.047,95.768,95.784,99.868,95.52,99.687,100.0,100.0,100.0,100.0,100.0,91.568,91.568,90.879,91.568,90.423,90.382,91.568,90.382,91.568,91.393,91.316,90.896,90.909
Pmult_Chp5-3,95.208,95.652,95.208,95.363,95.784,95.784,95.784,95.209,95.52,95.784,95.52,95.784,95.125,95.125,96.179,96.047,95.768,93.663,95.52,95.784,95.778,95.916,96.047,95.768,95.784,99.868,95.52,99.687,100.0,100.0,100.0,100.0,100.0,91.568,91.568,90.879,91.568,90.423,90.382,91.568,90.382,91.568,91.393,91.316,90.896,90.909
Pmult_E59-1B,95.208,95.652,95.208,95.363,95.784,95.784,95.784,95.209,95.52,95.784,95.52,95.784,95.125,95.125,96.179,96.047,95.768,93.663,95.52,95.784,95.778,95.916,96.047,95.768,95.784,99.868,95.52,99.687,100.0,100.0,100.0,100.0,100.0,91.568,91.568,90.879,91.568,90.423,90.382,91.568,90.382,91.568,91.393,91.316,90.896,90.909
Pmult_IP2-1,95.208,95.652,95.208,95.363,95.784,95.784,95.784,95.209,95.52,95.784,95.52,95.784,95.125,95.125,96.179,96.047,95.768,93.663,95.52,95.784,95.778,95.916,96.047,95.768,95.784,99.868,95.52,99.687,100.0,100.0,100.0,100.0,100.0,91.568,91.568,90.879,91.568,90.423,90.382,91.568,90.382,91.568,91.393,91.316,90.896,90.909
Pfok_SMM81-1,92.492,93.281,92.492,92.427,93.149,93.149,93.149,92.272,92.885,92.885,92.754,93.544,92.622,92.622,93.149,93.281,92.947,91.499,93.281,93.544,93.272,93.412,93.017,92.476,93.149,91.436,92.885,90.752,91.568,91.568,91.568,91.568,91.568,100.0,100.0,100.0,100.0,92.707,92.49,100.0,93.412,99.868,100.0,99.605,93.03,93.017
